number,value,datetime_start,datetime_complete,duration,params_replan_interval,params_social_distance,params_x_res,params_y_res,state
0,0.6112638888888889,2026-08-13 19:34:56.472272,2026-08-13 19:36:01.849475,0 days 00:01:05.377203,2.0069084401791097,0.9993715012965866,1.3232202558909871,0.4718352148675887,COMPLETE
1,0.46008333333333334,2026-08-13 19:36:01.849475,2026-08-13 19:36:57.773912,0 days 00:00:55.924437,1.5939680281567312,1.3809503008602877,1.135482199008357,0.4406523508799952,COMPLETE
2,0.0,2026-08-13 19:36:57.773912,2026-08-13 19:38:07.849512,0 days 00:01:10.075600,2.4793125952066615,0.981784411728195,1.9454941407515438,0.32254868347159993,COMPLETE
3,0.3040555555555556,2026-08-13 19:38:07.849512,2026-08-13 19:38:59.637604,0 days 00:00:51.788092,0.6775901454947173,0.4958422296716948,1.3520668416408985,0.5665184872316974,COMPLETE
4,0.4615902777777778,2026-08-13 19:38:59.637604,2026-08-13 19:40:01.688029,0 days 00:01:02.050425,2.445391877374626,1.357013363071501,0.5303275961604885,0.5246789304965721,COMPLETE
5,0.0,2026-08-13 19:40:01.688029,2026-08-13 19:40:10.723508,0 days 00:00:09.035479,1.6536984056323296,1.2585820939151011,1.967927513349146,0.5096213538975256,PRUNED
6,0.60825,2026-08-13 19:40:10.723508,2026-08-13 19:41:23.913818,0 days 00:01:13.190310,0.858383218522616,1.4391358087545423,0.6774116388033998,0.4379644595973857,COMPLETE
7,0.0,2026-08-13 19:41:23.913818,2026-08-13 19:41:30.324508,0 days 00:00:06.410690,1.1613890302615675,1.2516570583776385,1.2827724826251075,0.3365978729957356,PRUNED
8,0.0,2026-08-13 19:41:30.324508,2026-08-13 19:41:40.231824,0 days 00:00:09.907316,0.5469745010908879,1.0793990467834649,1.1842254983248228,0.4057952769908918,PRUNED
9,0.0,2026-08-13 19:41:40.231824,2026-08-13 19:41:50.919447,0 days 00:00:10.687623,2.8593701962865605,1.150002329013832,1.418143584083632,0.4276202985936406,PRUNED
10,0.0,2026-08-13 19:41:50.919447,2026-08-13 19:41:57.448429,0 days 00:00:06.528982,1.9285043661608299,0.7503541636519373,1.6495084383675955,0.17489652611671197,PRUNED
11,0.0,2026-08-13 19:41:57.448429,2026-08-13 19:42:08.396063,0 days 00:00:10.947634,1.134182405979963,0.8880881318678957,0.7052397312039637,0.34569023118670517,PRUNED
12,0.0,2026-08-13 19:42:08.396063,2026-08-13 19:42:15.920873,0 days 00:00:07.524810,2.1155033701764534,1.476885850313428,0.9223703104437484,0.4843811523419831,PRUNED
13,0.46302777777777776,2026-08-13 19:42:15.920873,2026-08-13 19:43:13.284013,0 days 00:00:57.363140,1.1024931606811696,0.7379531296998316,0.8512730022067754,0.5902449718093099,COMPLETE
14,0.0,2026-08-13 19:43:13.284013,2026-08-13 19:43:20.829363,0 days 00:00:07.545350,1.5051248283457932,0.48094330462414925,1.6249195481084193,0.23317489028801075,PRUNED
15,0.5943680555555556,2026-08-13 19:43:20.829363,2026-08-13 19:44:45.351268,0 days 00:01:24.521905,2.905256604573051,0.6927269978872858,0.511999664030524,0.3863154804367229,COMPLETE
16,0.46027083333333335,2026-08-13 19:44:45.351268,2026-08-13 19:45:41.207198,0 days 00:00:55.855930,0.7712726866497333,0.8897463357165032,0.9834760043052292,0.45710787444462114,COMPLETE
17,0.0,2026-08-13 19:45:41.207198,2026-08-13 19:45:48.627081,0 days 00:00:07.419883,2.093754857185651,1.489427921404094,1.606480526788428,0.253755200576984,PRUNED
18,0.7628541666666666,2026-08-13 19:45:48.627081,2026-08-13 19:46:57.357099,0 days 00:01:08.730018,0.935650727931937,0.6243310674372824,0.6614636854909104,0.5426821172157336,COMPLETE
19,0.0,2026-08-13 19:46:57.357099,2026-08-13 19:47:06.471781,0 days 00:00:09.114682,1.3826424976692049,0.6044584779684192,1.0469240728355136,0.5397819121527863,PRUNED
20,0.0,2026-08-13 19:47:06.471781,2026-08-13 19:47:12.395839,0 days 00:00:05.924058,1.8276069421002896,0.8595588372995261,1.7813423773284909,0.48957608436618855,PRUNED
21,0.4619305555555555,2026-08-13 19:47:12.395839,2026-08-13 19:48:02.990328,0 days 00:00:50.594489,0.8754038157972358,1.064704506171887,0.7351416226066765,0.46598360573544656,COMPLETE
22,0.4624236111111111,2026-08-13 19:48:02.990328,2026-08-13 19:49:03.330900,0 days 00:01:00.340572,0.9722539871160416,0.4194984595017452,0.7197469462468783,0.5589694184075902,COMPLETE
23,0.6120972222222222,2026-08-13 19:49:03.330900,2026-08-13 19:50:08.868254,0 days 00:01:05.537354,0.5175276885133581,0.608623648506678,0.6252350865559781,0.37829803855336924,COMPLETE
24,0.4621944444444444,2026-08-13 19:50:08.868254,2026-08-13 19:51:14.286593,0 days 00:01:05.418339,0.5480305957071012,0.6205233262303026,0.5954546036494504,0.3805143519792476,COMPLETE
25,0.45508333333333334,2026-08-13 19:51:14.286593,2026-08-13 19:52:14.172363,0 days 00:00:59.885770,1.286548598262934,0.5796889541395721,0.8245096818151284,0.3024193852829915,COMPLETE
26,0.6133472222222222,2026-08-13 19:52:14.172363,2026-08-13 19:53:19.179151,0 days 00:01:05.006788,0.5250710669956501,0.755018285993851,0.8264989116243006,0.5829697747379878,COMPLETE
27,0.46316666666666667,2026-08-13 19:53:19.179151,2026-08-13 19:54:20.241038,0 days 00:01:01.061887,0.682542914881736,0.8037715847710141,0.8464169509562119,0.5962619978652798,COMPLETE
28,0.7601944444444445,2026-08-13 19:54:20.241038,2026-08-13 19:55:42.031291,0 days 00:01:21.790253,0.5112767156227148,0.5301403159930196,0.6029129528071897,0.564409699439745,COMPLETE
29,0.31293055555555555,2026-08-13 19:55:42.031291,2026-08-13 19:56:22.146239,0 days 00:00:40.114948,1.0005545479592006,0.5230428109989378,0.9652405345129067,0.5538678377817796,COMPLETE
30,0.0,2026-08-13 19:56:22.146239,2026-08-13 19:56:29.584571,0 days 00:00:07.438332,0.7200474012492739,0.7199428538957187,0.7919404943451295,0.5112174560180159,PRUNED
31,0.6130694444444444,2026-08-13 19:56:29.584571,2026-08-13 19:57:35.442468,0 days 00:01:05.857897,0.551117859971214,0.5921490441062887,0.6343273560748122,0.5796144566195126,COMPLETE
32,0.6132777777777778,2026-08-13 19:57:35.442468,2026-08-13 19:58:41.511343,0 days 00:01:06.068875,0.5205724774617868,0.40381787955260096,0.607890340787594,0.5786092528892903,COMPLETE
33,0.6120069444444445,2026-08-13 19:58:41.511343,2026-08-13 19:59:47.915702,0 days 00:01:06.404359,0.8572056172890378,0.4055562064073071,0.553028661308008,0.5299312948491578,COMPLETE
34,0.3082708333333333,2026-08-13 19:59:47.915702,2026-08-13 20:00:36.291030,0 days 00:00:48.375328,0.708755110161859,0.6678197146099045,0.7629167745919196,0.5669245565567448,COMPLETE
35,0.3077916666666667,2026-08-13 20:00:36.291030,2026-08-13 20:01:34.012620,0 days 00:00:57.721590,0.9799327258667107,0.5001668767236421,1.1178926973906886,0.5993998966697622,COMPLETE
36,0.0,2026-08-13 20:01:34.012620,2026-08-13 20:01:39.915349,0 days 00:00:05.902729,0.6543505011153352,0.5345530823671178,0.9167502324298666,0.5418202444067459,PRUNED
37,0.6116805555555556,2026-08-13 20:01:39.915349,2026-08-13 20:02:45.739949,0 days 00:01:05.824600,0.8071741692664588,0.45998042236391334,0.5079973456425756,0.5038635718293629,COMPLETE
38,0.46221527777777777,2026-08-13 20:02:45.739949,2026-08-13 20:03:47.279346,0 days 00:01:01.539397,0.5013348175465628,0.808496439522102,0.6474601471637411,0.5688634449397744,COMPLETE
39,0.46207638888888886,2026-08-13 20:03:47.279346,2026-08-13 20:04:44.273026,0 days 00:00:56.993680,1.2886047517941646,0.9620368965048987,0.589923454990364,0.51911697019932,COMPLETE
40,0.3071875,2026-08-13 20:04:44.273026,2026-08-13 20:05:45.697612,0 days 00:01:01.424586,0.6508402480736402,0.6470760811928261,0.889088906851293,0.5455458185573863,COMPLETE
41,0.46309722222222227,2026-08-13 20:05:45.697612,2026-08-13 20:06:48.530466,0 days 00:01:02.832854,0.6155772773695776,0.5513192408013362,0.6553029602931302,0.5789028742660058,COMPLETE
42,0.4626527777777778,2026-08-13 20:06:48.530970,2026-08-13 20:07:37.881749,0 days 00:00:49.350779,0.9115257428241017,0.45435169674022424,0.7709358957123229,0.5769764762581564,COMPLETE
43,0.46309722222222227,2026-08-13 20:07:37.881749,2026-08-13 20:08:43.509717,0 days 00:01:05.627968,0.7572599783996083,0.7805331506863035,0.6558532295332722,0.5995537811236108,COMPLETE
44,0.0,2026-08-13 20:08:43.509717,2026-08-13 20:08:55.203048,0 days 00:00:11.693331,0.504604761216379,0.676504228696719,0.5802707717618919,0.5269986801483344,PRUNED
45,0.9111180555555555,2026-08-13 20:08:55.203048,2026-08-13 20:10:23.078157,0 days 00:01:27.875109,1.0298558491110361,0.5739945449874442,0.7127298194302534,0.4901257689876003,COMPLETE
46,0.4515,2026-08-13 20:10:23.078157,2026-08-13 20:10:37.176503,0 days 00:00:14.098346,1.0938686392420254,0.5447026918235516,0.7309243988154606,0.5052158042979118,PRUNED
47,0.4550625,2026-08-13 20:10:37.176503,2026-08-13 20:10:51.308207,0 days 00:00:14.131704,1.2100062121996473,0.4471535222579812,0.9972478139754906,0.4754303302585879,PRUNED
48,0.6117222222222222,2026-08-13 20:10:51.308207,2026-08-13 20:12:03.676496,0 days 00:01:12.368289,1.0435234339308,0.5021285792596765,0.8510019577788069,0.45148422413729783,COMPLETE
49,0.757875,2026-08-13 20:12:03.676496,2026-08-13 20:13:21.970900,0 days 00:01:18.294404,1.4931971326178795,0.7225030641344051,0.6962540968726377,0.42560094191296693,COMPLETE
