number,value,datetime_start,datetime_complete,duration,params_grrt_corridor_sample,params_grrt_goal_bias,params_grrt_max_iters,params_grrt_step_m,state
0,0.153,2026-08-14 13:06:11.044023,2026-08-14 13:11:24.053794,0 days 00:05:13.009771,0.7013816880358219,0.22879734159310489,39520,9.488135039273248,COMPLETE
1,0.30033333333333334,2026-08-14 13:11:24.054793,2026-08-14 13:16:46.841197,0 days 00:05:22.786404,0.6187936056313463,0.21147352826666405,55130,8.236547993389047,COMPLETE
2,0.45374305555555555,2026-08-14 13:16:46.841197,2026-08-14 13:21:35.698128,0 days 00:04:48.856931,0.7958625190413323,0.14586037970644444,38800,13.636627605010293,COMPLETE
3,0.2825069444444444,2026-08-14 13:21:35.698128,2026-08-14 13:26:28.934324,0 days 00:04:53.236196,0.4355180290989435,0.28139915957316525,18920,9.680445610939323,COMPLETE
4,0.4448958333333333,2026-08-14 13:26:28.934324,2026-08-14 13:30:08.783506,0 days 00:03:39.849182,0.7890783754749253,0.2581549613869845,54151,4.202183974403257,COMPLETE
5,0.0,2026-08-14 13:30:08.783506,2026-08-14 13:32:10.344651,0 days 00:02:01.561145,0.630739681126466,0.2497896410541809,50124,13.78618342232764,PRUNED
6,0.45055555555555554,2026-08-14 13:32:10.344651,2026-08-14 13:36:47.100952,0 days 00:04:36.756301,0.4716766437045232,0.20998025533188097,57511,5.182744258689333,COMPLETE
7,0.31,2026-08-14 13:36:47.100952,2026-08-14 13:38:53.538159,0 days 00:02:06.437207,0.5322778060523135,0.15366548499763089,49841,9.218483217500717,PRUNED
8,0.46089583333333334,2026-08-14 13:38:53.538159,2026-08-14 13:39:59.592210,0 days 00:01:06.054051,0.4093949002181776,0.19210848721716212,42794,8.561503322165485,PRUNED
9,0.30945138888888885,2026-08-14 13:39:59.592210,2026-08-14 13:44:09.742315,0 days 00:04:10.150105,0.8718740392573121,0.20423349921868922,45682,10.120957227224213,COMPLETE
10,0.4605208333333333,2026-08-14 13:44:09.742315,2026-08-14 13:45:09.034803,0 days 00:00:59.292488,0.876389130430058,0.06034069241920441,29332,13.51565931847945,PRUNED
11,0.0,2026-08-14 13:45:09.034803,2026-08-14 13:45:45.213213,0 days 00:00:36.178410,0.5279791285787758,0.1276912524612423,34486,4.277226932479687,PRUNED
12,0.30916666666666665,2026-08-14 13:45:45.213213,2026-08-14 13:50:41.133137,0 days 00:04:55.919924,0.7662682461003896,0.13256514275689216,59055,6.49740219501013,COMPLETE
13,0.0,2026-08-14 13:50:41.133137,2026-08-14 13:52:40.032438,0 days 00:01:58.899301,0.5386929658931962,0.07581530428765855,18901,12.051554677741422,PRUNED
14,0.46375,2026-08-14 13:52:40.032438,2026-08-14 13:53:21.687937,0 days 00:00:41.655499,0.6809582665598785,0.17875275940128396,28728,6.498899555563318,PRUNED
15,0.3042361111111111,2026-08-14 13:53:21.687937,2026-08-14 13:57:05.816817,0 days 00:03:44.128880,0.7833023826510627,0.10899001942577674,34237,11.302475831339365,COMPLETE
16,0.0,2026-08-14 13:57:05.816817,2026-08-14 13:58:46.235144,0 days 00:01:40.418327,0.4567043708203427,0.16496981456902232,26040,6.482717113171507,PRUNED
17,0.45627083333333335,2026-08-14 13:58:46.235144,2026-08-14 13:59:36.418290,0 days 00:00:50.183146,0.593872636452764,0.2992287431728091,59555,11.9752234880719,PRUNED
18,0.2992847222222222,2026-08-14 13:59:36.418290,2026-08-14 14:04:53.358774,0 days 00:05:16.940484,0.7111482869806391,0.09960873342407656,38167,7.459130543166662,COMPLETE
19,0.0,2026-08-14 14:04:53.358774,2026-08-14 14:06:23.031790,0 days 00:01:29.673016,0.47338728581089046,0.1488125802013044,47097,5.4807653824929465,PRUNED
20,0.15020833333333336,2026-08-14 14:06:23.031790,2026-08-14 14:12:00.233103,0 days 00:05:37.201313,0.5689152878971837,0.23732864746453786,25792,10.71216140292443,COMPLETE
21,0.0,2026-08-14 14:12:00.233103,2026-08-14 14:14:05.049994,0 days 00:02:04.816891,0.8149830303207534,0.2600682515794646,54196,4.114340156523287,PRUNED
22,0.0,2026-08-14 14:14:05.049994,2026-08-14 14:14:52.304211,0 days 00:00:47.254217,0.8229661542098812,0.26951933030759756,54438,5.41785664247692,PRUNED
23,0.4619375,2026-08-14 14:14:52.304211,2026-08-14 14:16:21.335868,0 days 00:01:29.031657,0.7372728003558836,0.2175976516908823,51596,5.042531954401299,PRUNED
24,0.0,2026-08-14 14:16:21.335868,2026-08-14 14:16:57.346906,0 days 00:00:36.011038,0.8204401376811618,0.24925910585422972,44310,4.685132211419321,PRUNED
25,0.30898611111111113,2026-08-14 14:16:57.346906,2026-08-14 14:18:56.408627,0 days 00:01:59.061721,0.659121080668249,0.18738461816640045,56995,13.058982986534076,PRUNED
26,0.30843055555555554,2026-08-14 14:18:56.408627,2026-08-14 14:20:09.784915,0 days 00:01:13.376288,0.756308084607175,0.29053876374332654,15451,7.484543981934392,PRUNED
