number,value,datetime_start,datetime_complete,duration,params_grrt_corridor_sample,params_grrt_goal_bias,params_grrt_max_iters,params_grrt_step_m,state
0,0.30890972222222224,2026-08-14 11:23:06.034613,2026-08-14 11:24:32.824311,0 days 00:01:26.789698,0.7013816880358219,0.22879734159310489,39520,9.488135039273248,COMPLETE
1,0.6183958333333334,2026-08-14 11:24:32.824311,2026-08-14 11:26:19.537148,0 days 00:01:46.712837,0.6187936056313463,0.21147352826666405,55130,8.236547993389047,COMPLETE
2,0.7477222222222223,2026-08-14 11:26:19.537148,2026-08-14 11:28:35.497182,0 days 00:02:15.960034,0.7958625190413323,0.14586037970644444,38800,13.636627605010293,COMPLETE
3,0.6168958333333333,2026-08-14 11:28:35.497182,2026-08-14 11:30:37.329711,0 days 00:02:01.832529,0.4355180290989435,0.28139915957316525,18920,9.680445610939323,COMPLETE
4,0.7568541666666667,2026-08-14 11:30:37.329711,2026-08-14 11:32:48.203560,0 days 00:02:10.873849,0.7890783754749253,0.2581549613869845,54151,4.202183974403257,COMPLETE
5,0.4529166666666667,2026-08-14 11:32:48.203560,2026-08-14 11:34:12.728922,0 days 00:01:24.525362,0.630739681126466,0.2497896410541809,50124,13.78618342232764,PRUNED
6,0.4689652777777778,2026-08-14 11:34:12.728922,2026-08-14 11:36:28.861408,0 days 00:02:16.132486,0.4716766437045232,0.20998025533188097,57511,5.182744258689333,COMPLETE
7,0.7632291666666666,2026-08-14 11:36:28.861408,2026-08-14 11:38:08.736613,0 days 00:01:39.875205,0.5322778060523135,0.15366548499763089,49841,9.218483217500717,COMPLETE
8,0.45966666666666667,2026-08-14 11:38:08.736613,2026-08-14 11:39:09.510147,0 days 00:01:00.773534,0.4093949002181776,0.19210848721716212,42794,8.561503322165485,PRUNED
9,0.4663125,2026-08-14 11:39:09.510147,2026-08-14 11:40:08.503838,0 days 00:00:58.993691,0.8718740392573121,0.20423349921868922,45682,10.120957227224213,PRUNED
10,0.7575069444444443,2026-08-14 11:40:08.503838,2026-08-14 11:42:11.756135,0 days 00:02:03.252297,0.5485613696436733,0.06084214439779424,26816,6.449440836249486,COMPLETE
11,0.7558819444444445,2026-08-14 11:42:11.756135,2026-08-14 11:44:25.471326,0 days 00:02:13.715191,0.5348239773322079,0.0545331701009886,27160,6.615811453304014,COMPLETE
12,0.45139583333333333,2026-08-14 11:44:25.471326,2026-08-14 11:44:51.806547,0 days 00:00:26.335221,0.5516996736078226,0.05737630125726216,29459,11.753010611324967,PRUNED
13,0.6043541666666666,2026-08-14 11:44:51.806547,2026-08-14 11:46:32.796041,0 days 00:01:40.989494,0.5248904426158396,0.1117622481761384,15151,6.806402322604001,COMPLETE
14,0.0,2026-08-14 11:46:32.796041,2026-08-14 11:47:26.520496,0 days 00:00:53.724455,0.6252109153802254,0.11213201373590517,30386,6.580804612048793,PRUNED
15,0.6104791666666667,2026-08-14 11:47:26.520496,2026-08-14 11:49:14.165461,0 days 00:01:47.644965,0.49981220763441375,0.15432510692395757,33045,11.29338228871491,COMPLETE
16,0.4616736111111111,2026-08-14 11:49:14.165461,2026-08-14 11:51:10.914924,0 days 00:01:56.749463,0.5686643835723916,0.09657639585332795,26040,7.744329205345548,COMPLETE
17,0.6076458333333333,2026-08-14 11:51:10.914924,2026-08-14 11:53:28.609664,0 days 00:02:17.694740,0.6772167909128375,0.16110673443534806,35737,5.500940235717631,COMPLETE
18,0.0,2026-08-14 11:53:28.609664,2026-08-14 11:53:44.438583,0 days 00:00:15.828919,0.5870098575714582,0.07968894931623366,22307,11.130749227225097,PRUNED
19,0.44106249999999997,2026-08-14 11:53:44.438583,2026-08-14 11:55:41.359588,0 days 00:01:56.921005,0.47454238440894575,0.13308518332250602,49242,12.34210834409106,COMPLETE
20,0.0,2026-08-14 11:55:41.359588,2026-08-14 11:56:40.408075,0 days 00:00:59.048487,0.6827361528560157,0.17716517721436054,46426,7.405842352399623,PRUNED
21,0.46108333333333335,2026-08-14 11:56:40.408075,2026-08-14 11:57:42.587131,0 days 00:01:02.179056,0.7781681226463191,0.2912116472661551,53465,4.022056705620114,PRUNED
22,0.0,2026-08-14 11:57:42.587131,2026-08-14 11:58:08.657069,0 days 00:00:26.069938,0.8796340563195391,0.25086801674111353,51797,4.033968380760829,PRUNED
23,0.0,2026-08-14 11:58:08.657069,2026-08-14 11:58:39.291961,0 days 00:00:30.634892,0.7518624711978236,0.2558258139351781,59077,5.333840764088503,PRUNED
24,0.6068888888888889,2026-08-14 11:58:39.291961,2026-08-14 12:00:44.971364,0 days 00:02:05.679403,0.8279048193741136,0.07976342936983748,43925,5.855500127843373,COMPLETE
