number,value,datetime_start,datetime_complete,duration,params_grrt_corridor_sample,params_grrt_goal_bias,params_grrt_max_iters,params_grrt_step_m,params_replan_interval,params_social_distance,params_x_res,params_y_res,state
0,0.303,2026-08-13 19:03:03.926423,2026-08-13 19:04:06.161537,0 days 00:01:02.235114,0.7013816880358219,0.22879734159310489,39520,9.488135039273248,1.5939680281567312,1.3809503008602877,1.135482199008357,0.4406523508799952,COMPLETE
1,0.15044444444444444,2026-08-13 19:04:06.161537,2026-08-13 19:05:01.645213,0 days 00:00:55.483676,0.7958625190413323,0.14586037970644444,38800,13.636627605010293,0.6775901454947173,0.4958422296716948,1.3520668416408985,0.5665184872316974,COMPLETE
2,0.0,2026-08-13 19:05:01.645213,2026-08-13 19:05:45.859761,0 days 00:00:44.214548,0.7890783754749253,0.2581549613869845,54151,4.202183974403257,1.6536984056323296,1.2585820939151011,1.967927513349146,0.5096213538975256,COMPLETE
3,0.15766666666666668,2026-08-13 19:05:45.859761,2026-08-13 19:06:25.962274,0 days 00:00:40.102513,0.4716766437045232,0.20998025533188097,57511,5.182744258689333,1.1613890302615675,1.2516570583776385,1.2827724826251075,0.3365978729957356,COMPLETE
4,0.153875,2026-08-13 19:06:25.962274,2026-08-13 19:07:07.581575,0 days 00:00:41.619301,0.4093949002181776,0.19210848721716212,42794,8.561503322165485,2.8593701962865605,1.150002329013832,1.418143584083632,0.4276202985936406,COMPLETE
5,0.3073263888888889,2026-08-13 19:07:07.581575,2026-08-13 19:08:10.566271,0 days 00:01:02.984696,0.7488155979636324,0.15925798844983535,17710,7.59507900573786,1.0259564026846022,0.5418189274203387,1.5001500731685016,0.4517870413281717,COMPLETE
6,0.30720833333333336,2026-08-13 19:08:10.566271,2026-08-13 19:09:02.155031,0 days 00:00:51.588760,0.6850983852089398,0.14092769273565564,34737,7.154283509241838,1.0221918902370868,0.5774404696734959,1.9825607570888393,0.19592016483661262,COMPLETE
7,0.4578125,2026-08-13 19:09:02.155031,2026-08-13 19:10:24.890774,0 days 00:01:22.735743,0.6331553864281532,0.11332290063494553,25999,10.531083254653984,2.1408239736631836,0.5520012464834751,0.7384543754682795,0.19966881352393728,COMPLETE
8,0.1537638888888889,2026-08-13 19:10:24.890774,2026-08-13 19:11:05.157428,0 days 00:00:40.266654,0.8104966149239676,0.14218129266524104,19369,5.9658236168005345,2.9411486625334895,0.9155163218124718,1.7569173612482059,0.19324428355228337,COMPLETE
9,0.31252083333333336,2026-08-13 19:11:05.157428,2026-08-13 19:11:55.569889,0 days 00:00:50.412461,0.7696317896991509,0.20121137993626148,16763,13.767610881903371,1.2403504938053622,0.5306004908496684,0.9242104438646144,0.204088452545926,COMPLETE
10,0.6026944444444444,2026-08-13 19:11:55.569889,2026-08-13 19:13:14.120798,0 days 00:01:18.550909,0.5862674403316339,0.05913627896172333,28973,11.012003775819748,2.2881950874954047,0.845017929553419,0.5415840398719531,0.2869553387587276,COMPLETE
11,0.0,2026-08-13 19:13:14.120798,2026-08-13 19:13:27.790536,0 days 00:00:13.669738,0.5845687177843535,0.05513160960666226,27657,11.22466378015463,2.271464943593236,0.835879734488182,0.6014658556136654,0.2949989002772058,PRUNED
12,0.7607222222222223,2026-08-13 19:13:27.790536,2026-08-13 19:14:51.350622,0 days 00:01:23.560086,0.5717891330047273,0.06516235346435181,27811,10.984722406459083,2.350635499558647,0.8093290481505009,0.5062577592313364,0.2848767174118575,COMPLETE
13,0.45958333333333334,2026-08-13 19:14:51.350622,2026-08-13 19:15:07.702890,0 days 00:00:16.352268,0.5508146702029821,0.050411134437664304,27953,11.890903290331117,2.4250865184063506,0.8544055439062896,0.5143792772972208,0.30071661246285847,PRUNED
14,0.46089583333333334,2026-08-13 19:15:07.702890,2026-08-13 19:15:25.042937,0 days 00:00:17.340047,0.5173033418706181,0.08745877696184874,31169,12.183368375010565,1.9759856189826863,1.0021974760723937,0.8495113327826784,0.35620767133803594,PRUNED
15,0.4607777777777778,2026-08-13 19:15:25.042937,2026-08-13 19:16:27.607182,0 days 00:01:02.564245,0.6142803869297846,0.08968527210108396,47958,9.44163434703652,2.5775083987776437,0.6964682566218405,0.7140819869191772,0.27378686433448773,COMPLETE
16,0.0,2026-08-13 19:16:27.607182,2026-08-13 19:16:42.111998,0 days 00:00:14.504816,0.48412292355225595,0.08404168573958294,32664,10.222791767224775,1.746734954400994,0.7249712231209895,0.9799151045431509,0.25778000620031116,PRUNED
17,0.0,2026-08-13 19:16:42.111998,2026-08-13 19:16:53.919158,0 days 00:00:11.807160,0.8929508407465601,0.11154392292365511,24088,12.522109237308019,2.6128635877688766,1.0345358360195815,0.5040168172517637,0.3786757422082319,PRUNED
18,0.30390972222222223,2026-08-13 19:16:53.919158,2026-08-13 19:18:01.644674,0 days 00:01:07.725516,0.6419467608813167,0.29053876374332654,22576,11.025526169529245,1.9452935639570539,0.7246262749786619,0.7343761453158544,0.1540893615287147,COMPLETE
19,0.0,2026-08-13 19:18:01.644674,2026-08-13 19:18:14.668922,0 days 00:00:13.024248,0.4093877974839978,0.06999510490980076,35815,8.641640948913086,2.620076296941725,1.0368663451482192,1.0688615237880874,0.25276888440280837,PRUNED
20,0.1547638888888889,2026-08-13 19:18:14.668922,2026-08-13 19:19:17.471612,0 days 00:01:02.802690,0.5557293347498001,0.10705232212993059,45277,12.946817711604911,2.2526025511906838,1.4752059693626025,0.6375379553730337,0.40317266157252685,COMPLETE
21,0.31149305555555556,2026-08-13 19:19:17.471612,2026-08-13 19:20:29.697872,0 days 00:01:12.226260,0.6079476402121801,0.08551179061813191,47731,9.753227119813227,2.597352451314496,0.7007907797176286,0.747881281108949,0.2699040816178377,COMPLETE
22,0.46210416666666665,2026-08-13 19:20:29.697872,2026-08-13 19:20:42.809804,0 days 00:00:13.111932,0.6662513450664469,0.07020010500883268,48918,8.927312024395356,2.4760234755320147,0.6593370802719661,0.643707200581086,0.3221190432037282,PRUNED
23,0.3063888888888889,2026-08-13 19:20:42.809804,2026-08-13 19:21:40.385741,0 days 00:00:57.575937,0.5784117519067992,0.09969807411385324,50876,11.399878130528894,2.7721309217951804,0.8243735298970003,0.8246598360004789,0.23703694329227884,COMPLETE
24,0.0,2026-08-13 19:21:40.385741,2026-08-13 19:21:51.907633,0 days 00:00:11.521892,0.5178779633219979,0.12322393173372723,30912,7.7950191115446,2.033305520226646,0.919797620939067,0.5982730989415509,0.29085750173301145,PRUNED
25,0.46120833333333333,2026-08-13 19:21:51.907633,2026-08-13 19:22:08.469084,0 days 00:00:16.561451,0.623471930048883,0.06683216429722888,41182,10.159009692717078,2.3537148336162526,0.6381274728917607,0.5244382470038645,0.36047831291365573,PRUNED
26,0.6056805555555556,2026-08-13 19:22:08.469084,2026-08-13 19:23:29.333611,0 days 00:01:20.864527,0.7082164719890958,0.050325541887546364,22232,9.1985836592603,2.7692215724347573,0.4451330468622708,0.8475141828722856,0.2322485347753511,COMPLETE
27,0.15530555555555556,2026-08-13 19:23:29.333611,2026-08-13 19:24:25.287321,0 days 00:00:55.953710,0.7275990017498939,0.05042394414191191,21129,10.72941123834617,2.993057359059319,0.40488470364182116,0.8549658296357043,0.22810678110356455,COMPLETE
28,0.5967638888888889,2026-08-13 19:24:25.287321,2026-08-13 19:26:01.224913,0 days 00:01:35.937592,0.4614583505028001,0.07137608381462217,25420,11.75079424218841,2.715184420122897,0.4471535222579812,1.0149651480114548,0.16192431172126517,COMPLETE
29,0.4666458333333333,2026-08-13 19:26:01.224913,2026-08-13 19:26:13.273747,0 days 00:00:12.048834,0.8466592790264096,0.12854407678892557,29231,9.66859315448896,1.8018434047210858,0.8023456198400643,1.1223636994151045,0.32114782474244297,PRUNED
30,0.4672986111111111,2026-08-13 19:26:13.273747,2026-08-13 19:27:05.528284,0 days 00:00:52.254537,0.715088158511572,0.16960821063955955,15101,6.867877440092785,2.155259726313434,0.9545887267518223,1.2001014943440569,0.24016746444671128,COMPLETE
