number,value,datetime_start,datetime_complete,duration,params_centerline_cost_gain,params_goal_cost_gain,params_grrt_corridor_sample,params_grrt_goal_bias,params_grrt_max_iters,params_grrt_step_m,params_obstacle_cost_gain,params_predict_time,params_social_distance,params_speed_cost_gain,state
0,0.4484652777777778,2026-08-13 17:38:57.686076,2026-08-13 17:40:17.664990,0 days 00:01:19.978914,0.4448081371211455,1.9154486356343403,0.7013816880358219,0.22879734159310489,39520,9.488135039273248,2.2378781034469917,2.386233438148933,0.8217856707083555,0.3709488999964028,COMPLETE
1,0.1532361111111111,2026-08-13 17:40:17.664990,2026-08-13 17:41:57.278654,0 days 00:01:39.613664,0.2448197504054232,0.5993156277033217,0.6840222805469662,0.1822237299382261,56652,11.917250380826646,1.906632177323573,1.3989009629540834,1.357013363071501,0.1062440803308903,COMPLETE
2,0.1529236111111111,2026-08-13 17:41:57.278654,2026-08-13 17:43:13.995235,0 days 00:01:16.716581,0.10728589859999589,1.8918045739726355,0.630739681126466,0.2497896410541809,50124,13.78618342232764,2.582538780003099,1.5311683924330128,0.856128133989576,0.15364092985079622,COMPLETE
3,0.4427569444444444,2026-08-13 17:43:13.995235,2026-08-13 17:44:42.338149,0 days 00:01:28.342914,0.41718933029813554,1.8061359511905086,0.6280751661082743,0.24355842235855418,40580,6.64555612104627,1.0631650143343052,1.2526114412217944,1.150002329013832,0.6256837783419192,COMPLETE
4,0.46097222222222217,2026-08-13 17:44:42.338149,2026-08-13 17:45:54.322571,0 days 00:01:11.984422,0.055205189791295455,2.0165841495272927,0.7488155979636324,0.15925798844983535,17710,7.59507900573786,0.2835692192108485,3.0669468032478693,0.800081848036885,0.1878079717563113,COMPLETE
5,0.753625,2026-08-13 17:45:54.322571,2026-08-13 17:47:19.893512,0 days 00:01:25.570941,0.08972314362179301,0.6992734105116742,0.8941869190296131,0.1596503783655801,19592,9.701967704178797,0.39712208080589817,1.784854917065537,0.6688681512017631,0.707478948788083,COMPLETE
6,0.46237500000000004,2026-08-13 17:47:19.893512,2026-08-13 17:47:36.262858,0 days 00:00:16.369346,0.29677458538594254,1.0763710634253203,0.7281647947326367,0.07759378529107629,21218,5.589695836455197,0.26015367028723346,1.7504306127041498,0.5057082486833594,1.1698678831285685,PRUNED
7,0.44735416666666666,2026-08-13 17:47:36.262858,2026-08-13 17:49:13.711611,0 days 00:01:37.448753,0.05188194225139037,0.5424504916194496,0.8883805440951686,0.16716280041192538,42218,13.764594650133958,0.27694410208963904,3.2699380223152446,0.5306004908496684,0.23331375389222184,COMPLETE
8,0.46127083333333335,2026-08-13 17:49:13.711611,2026-08-13 17:49:30.903174,0 days 00:00:17.191563,0.12769345700847634,0.8682416118622965,0.4320737481743922,0.1535657486286675,46161,7.17983179393976,0.2579363852187885,2.7864840717784105,1.4222258173338358,0.47946997105843947,PRUNED
9,0.3076527777777778,2026-08-13 17:49:30.903174,2026-08-13 17:50:30.085444,0 days 00:00:59.182270,0.2882958742324965,0.7318267653950487,0.4658989312021961,0.2168525949909204,47235,7.185689524513236,0.21119240944211662,2.010337060252163,0.4051650238118018,0.5795233258519191,COMPLETE
10,0.6118750000000001,2026-08-13 17:50:30.085444,2026-08-13 17:51:47.128203,0 days 00:01:17.042759,0.02085795076814791,3.8026525057021936,0.876389130430058,0.2918265451738383,29332,4.203344716249308,0.6093938531085078,3.857984403033462,1.0954159269072832,1.2887074135706054,COMPLETE
11,0.3090347222222222,2026-08-13 17:51:47.128203,2026-08-13 17:52:49.636103,0 days 00:01:02.507900,0.024336168782350915,3.902050812159285,0.8996074309726312,0.29474678416214267,27622,4.116467243972692,0.6042969796864889,3.6804556872948258,0.9775286838503441,1.8497882552759428,COMPLETE
12,0.46458333333333335,2026-08-13 17:52:49.636103,2026-08-13 17:53:02.338828,0 days 00:00:12.702725,0.02112781184150074,3.6990308482196226,0.8183534223736585,0.08512849363204793,29940,9.312079472220525,0.49355141540226,3.8337540161529624,1.1860743507338178,1.0292550091677986,PRUNED
13,0.4536805555555556,2026-08-13 17:53:02.338828,2026-08-13 17:54:31.189481,0 days 00:01:28.850653,0.04028592403331939,1.1955878567350107,0.8163720763526465,0.29716144017564794,30850,10.375019428742604,0.5457909898998798,2.408521336470194,0.6575995625790085,1.042798752566806,COMPLETE
14,0.6107708333333334,2026-08-13 17:54:31.189481,2026-08-13 17:55:45.291197,0 days 00:01:14.101716,0.10016619334348101,2.6457532247463966,0.8269020230491347,0.11468041447588828,23679,4.091850458281045,0.8555297065760854,3.465060173160335,1.053325339439216,1.9556775920166072,COMPLETE
15,0.7414166666666667,2026-08-13 17:55:45.291197,2026-08-13 17:57:16.683812,0 days 00:01:31.392615,0.03469149656757841,1.3038152485662466,0.8437818665068435,0.0546125197722767,34236,11.667992496135273,0.38954270425308574,3.9873149079986163,1.2724081393879676,0.7929290310506808,COMPLETE
16,0.7623055555555555,2026-08-13 17:57:16.683812,2026-08-13 17:58:30.822873,0 days 00:01:14.139061,0.07000398572515781,1.188419340909344,0.7743816111598796,0.05456169578750947,34188,11.609113983523171,0.4018921303702387,2.7453801528012094,1.2620090256651726,0.7830892364706711,COMPLETE
17,0.46375,2026-08-13 17:58:30.822873,2026-08-13 17:58:49.186531,0 days 00:00:18.363658,0.07887636588973321,0.8434397601125994,0.7758304465734183,0.12994371027823773,16192,11.742055338878913,0.3887809860062497,2.1593633251040134,0.680552755630254,0.3189653015593361,PRUNED
18,0.0,2026-08-13 17:58:49.186531,2026-08-13 17:59:02.334532,0 days 00:00:13.148001,0.17695962139189067,1.4082657345665335,0.5440206014214263,0.12127947648792675,35477,10.345385215294641,0.9601638948104175,2.7627221969582503,1.4899963733234167,0.7934974221609434,PRUNED
