number,value,datetime_start,datetime_complete,duration,params_grrt_corridor_sample,params_grrt_goal_bias,params_grrt_max_iters,params_grrt_step_m,state
0,0.5961458333333334,2026-08-14 07:30:14.122131,2026-08-14 07:33:52.468804,0 days 00:03:38.346673,0.7013816880358219,0.22879734159310489,39520,9.488135039273248,COMPLETE
1,0.45305555555555554,2026-08-14 07:33:52.468804,2026-08-14 07:36:29.567542,0 days 00:02:37.098738,0.6187936056313463,0.21147352826666405,55130,8.236547993389047,COMPLETE
2,0.6037638888888889,2026-08-14 07:36:29.567542,2026-08-14 07:38:49.031002,0 days 00:02:19.463460,0.7958625190413323,0.14586037970644444,38800,13.636627605010293,COMPLETE
3,0.5983055555555555,2026-08-14 07:38:49.031002,2026-08-14 07:41:31.670219,0 days 00:02:42.639217,0.4355180290989435,0.28139915957316525,18920,9.680445610939323,COMPLETE
4,0.45131944444444444,2026-08-14 07:41:31.670219,2026-08-14 07:45:40.804666,0 days 00:04:09.134447,0.7890783754749253,0.2581549613869845,54151,4.202183974403257,COMPLETE
5,0.4434097222222222,2026-08-14 07:45:40.804666,2026-08-14 07:50:53.334723,0 days 00:05:12.530057,0.630739681126466,0.2497896410541809,50124,13.78618342232764,COMPLETE
6,0.4613125,2026-08-14 07:50:53.334723,2026-08-14 07:51:29.307500,0 days 00:00:35.972777,0.4716766437045232,0.20998025533188097,57511,5.182744258689333,PRUNED
7,0.7630347222222222,2026-08-14 07:51:29.307500,2026-08-14 07:54:05.866687,0 days 00:02:36.559187,0.5322778060523135,0.15366548499763089,49841,9.218483217500717,COMPLETE
8,0.7404930555555556,2026-08-14 07:54:05.866687,2026-08-14 07:57:47.964756,0 days 00:03:42.098069,0.4093949002181776,0.19210848721716212,42794,8.561503322165485,COMPLETE
9,0.5969097222222223,2026-08-14 07:57:47.964756,2026-08-14 08:01:54.187325,0 days 00:04:06.222569,0.8718740392573121,0.20423349921868922,45682,10.120957227224213,COMPLETE
10,0.0,2026-08-14 08:01:54.187325,2026-08-14 08:02:26.905771,0 days 00:00:32.718446,0.5485613696436733,0.06084214439779424,26816,6.449440836249486,PRUNED
11,0.5919513888888889,2026-08-14 08:02:26.905771,2026-08-14 08:06:13.617467,0 days 00:03:46.711696,0.4132130181076059,0.14608764402882446,40775,7.7561505375312905,COMPLETE
12,0.4608472222222222,2026-08-14 08:06:13.617467,2026-08-14 08:09:17.223000,0 days 00:03:03.605533,0.5101003515872479,0.15367793681161587,32029,11.753010611324967,COMPLETE
13,0.4606388888888889,2026-08-14 08:09:17.223000,2026-08-14 08:12:08.759340,0 days 00:02:51.536340,0.5589001383571038,0.10278153366105142,47058,7.72352518676112,COMPLETE
14,0.6021388888888889,2026-08-14 08:12:08.759340,2026-08-14 08:15:55.736530,0 days 00:03:46.977190,0.4915923471303716,0.17875275940128396,34039,11.237113960153415,COMPLETE
15,0.5951388888888889,2026-08-14 08:15:55.736530,2026-08-14 08:18:41.913222,0 days 00:02:46.176692,0.4077321163045396,0.11495149745996855,44611,6.3652436805426955,COMPLETE
16,0.6149236111111112,2026-08-14 08:18:41.913222,2026-08-14 08:21:23.862572,0 days 00:02:41.949350,0.5686643835723916,0.10284055446877807,51705,8.519721518416171,COMPLETE
17,0.15699305555555557,2026-08-14 08:21:23.862572,2026-08-14 08:24:00.841560,0 days 00:02:36.978988,0.6570873429638618,0.1831548771634003,59303,11.853313767641664,COMPLETE
18,0.46464583333333337,2026-08-14 08:24:00.841560,2026-08-14 08:26:28.407209,0 days 00:02:27.565649,0.46864767508516697,0.1763064998076206,15181,6.654110438509569,COMPLETE
19,0.60525,2026-08-14 08:26:28.407209,2026-08-14 08:29:57.353705,0 days 00:03:28.946496,0.5283662827573239,0.053607905326183966,32033,10.847671166286828,COMPLETE
20,0.0,2026-08-14 08:29:57.353705,2026-08-14 08:30:22.005305,0 days 00:00:24.651600,0.5988612142744727,0.12346246386982664,42282,8.94111750908714,PRUNED
21,0.3090347222222222,2026-08-14 08:30:22.005305,2026-08-14 08:33:04.592663,0 days 00:02:42.587358,0.5723880668105207,0.0802986608923292,50579,8.771518385754772,COMPLETE
22,0.46040972222222226,2026-08-14 08:33:04.592663,2026-08-14 08:36:11.859517,0 days 00:03:07.266854,0.678604997921554,0.08250996576373404,50682,7.164412265807837,COMPLETE
23,0.4572083333333333,2026-08-14 08:36:11.859517,2026-08-14 08:37:00.338425,0 days 00:00:48.478908,0.7274802563506217,0.13218413379956878,48671,10.621528848103813,PRUNED
24,0.31211111111111106,2026-08-14 08:37:00.338425,2026-08-14 08:39:21.576856,0 days 00:02:21.238431,0.4545334418816802,0.16162379427642673,53438,8.699993566019954,COMPLETE
25,0.45385416666666667,2026-08-14 08:39:21.576856,2026-08-14 08:39:55.845709,0 days 00:00:34.268853,0.5824216908143293,0.10199161674486018,43599,12.500590107739061,PRUNED
26,0.45222222222222225,2026-08-14 08:39:55.845709,2026-08-14 08:42:41.273225,0 days 00:02:45.427516,0.5184313992431916,0.19853928905901955,36489,9.575162753053952,COMPLETE
27,0.5977291666666666,2026-08-14 08:42:41.273225,2026-08-14 08:46:05.420715,0 days 00:03:24.147490,0.4943407634872692,0.16628841760797392,56644,7.832145768863562,COMPLETE
28,0.4519583333333333,2026-08-14 08:46:05.420715,2026-08-14 08:46:57.324306,0 days 00:00:51.903591,0.6235926519874088,0.13077483137286686,52055,5.234823778393738,PRUNED
29,0.3004791666666667,2026-08-14 08:46:57.324306,2026-08-14 08:49:56.046586,0 days 00:02:58.722280,0.7030517327197805,0.2309687475727677,47320,10.03919004620211,COMPLETE
30,0.7479027777777777,2026-08-14 08:49:56.046586,2026-08-14 08:53:10.838833,0 days 00:03:14.792247,0.43161657542550447,0.094289908163946,59641,9.140537080576392,COMPLETE
31,0.4585416666666667,2026-08-14 08:53:10.838833,2026-08-14 08:53:53.033061,0 days 00:00:42.194228,0.4365849529154727,0.0920518342324339,59786,9.11123760610053,PRUNED
32,0.45426388888888886,2026-08-14 08:53:53.033061,2026-08-14 08:57:20.104223,0 days 00:03:27.071162,0.4042920874195068,0.11248606456504459,55210,8.326386441067202,COMPLETE
33,0.5995277777777778,2026-08-14 08:57:20.104223,2026-08-14 09:00:31.906888,0 days 00:03:11.802665,0.5298586636616984,0.06656049074296536,53043,7.1889676315396445,COMPLETE
34,0.7560694444444445,2026-08-14 09:00:31.907900,2026-08-14 09:03:15.153154,0 days 00:02:43.245254,0.44290132734236465,0.13369981461504626,38763,9.373474043729606,COMPLETE
35,0.4605416666666667,2026-08-14 09:03:15.153154,2026-08-14 09:03:54.160231,0 days 00:00:39.007077,0.4399171540022713,0.14335640747893483,38277,9.35645530803108,PRUNED
36,0.4548888888888889,2026-08-14 09:03:54.160231,2026-08-14 09:06:21.089242,0 days 00:02:26.929011,0.4678465139415378,0.22792706176728436,36594,10.054782762532987,COMPLETE
37,0.0,2026-08-14 09:06:21.089242,2026-08-14 09:06:53.468936,0 days 00:00:32.379694,0.48580669248266084,0.1370434777499308,41183,10.563848199232147,PRUNED
38,0.7474444444444445,2026-08-14 09:06:53.468936,2026-08-14 09:10:24.383160,0 days 00:03:30.914224,0.4302182740238081,0.18945833892202474,27216,9.754657669686063,COMPLETE
39,0.6039791666666666,2026-08-14 09:10:24.383160,2026-08-14 09:12:50.069737,0 days 00:02:25.686577,0.4401316641855985,0.2841508193568556,26504,9.604328121724109,COMPLETE
40,0.59275,2026-08-14 09:12:50.069737,2026-08-14 09:16:12.716905,0 days 00:03:22.647168,0.42920839318683157,0.1697869581173828,25181,13.005870425111487,COMPLETE
41,0.4516736111111111,2026-08-14 09:16:12.716905,2026-08-14 09:19:46.580099,0 days 00:03:33.863194,0.4009156559798375,0.18745337263377823,21990,8.04748184266249,COMPLETE
42,0.45066666666666666,2026-08-14 09:19:46.580099,2026-08-14 09:20:25.293082,0 days 00:00:38.712983,0.4600111355952955,0.19560828808491013,30205,10.055135117645436,PRUNED
43,0.4613125,2026-08-14 09:20:25.293082,2026-08-14 09:21:00.902216,0 days 00:00:35.609134,0.42276605730457484,0.21931633719878169,37895,9.190290421232298,PRUNED
44,0.3098472222222222,2026-08-14 09:21:00.902216,2026-08-14 09:23:55.632464,0 days 00:02:54.730248,0.5035500029462016,0.15495047148263255,23035,8.421513563878566,COMPLETE
45,0.0,2026-08-14 09:23:55.632464,2026-08-14 09:24:32.696327,0 days 00:00:37.063863,0.45105723013933263,0.2684952724987339,45421,11.157189795245674,PRUNED
46,0.4602291666666667,2026-08-14 09:24:32.696327,2026-08-14 09:27:05.945009,0 days 00:02:33.248682,0.542486591085426,0.24624934963574632,29604,7.341661583342411,COMPLETE
47,0.0,2026-08-14 09:27:05.945009,2026-08-14 09:27:43.808215,0 days 00:00:37.863206,0.4818568050728688,0.2975425890939116,34736,10.360103209319131,PRUNED
48,0.6066875,2026-08-14 09:27:43.808215,2026-08-14 09:30:30.463200,0 days 00:02:46.654985,0.8721434763467671,0.19122492695474563,48540,9.66859315448896,COMPLETE
49,0.6133819444444445,2026-08-14 09:30:30.463200,2026-08-14 09:33:30.679363,0 days 00:03:00.216163,0.4190457097863825,0.21100794764190128,56791,11.538481961463392,COMPLETE
