number,value,datetime_start,datetime_complete,duration,params_grrt_corridor_sample,params_grrt_goal_bias,params_grrt_max_iters,params_grrt_step_m,state
0,0.6068194444444445,2026-08-14 13:42:22.977285,2026-08-14 13:44:49.204118,0 days 00:02:26.226833,0.7013816880358219,0.22879734159310489,39520,9.488135039273248,COMPLETE
1,0.46770833333333334,2026-08-14 13:44:49.204118,2026-08-14 13:46:42.869546,0 days 00:01:53.665428,0.6187936056313463,0.21147352826666405,55130,8.236547993389047,COMPLETE
2,0.14650694444444445,2026-08-14 13:46:42.869546,2026-08-14 13:48:15.486824,0 days 00:01:32.617278,0.7958625190413323,0.14586037970644444,38800,13.636627605010293,COMPLETE
3,0.31080555555555556,2026-08-14 13:48:15.486824,2026-08-14 13:49:49.793853,0 days 00:01:34.307029,0.4355180290989435,0.28139915957316525,18920,9.680445610939323,COMPLETE
4,0.453,2026-08-14 13:49:49.793853,2026-08-14 13:52:50.618863,0 days 00:03:00.825010,0.7890783754749253,0.2581549613869845,54151,4.202183974403257,COMPLETE
5,0.0,2026-08-14 13:52:50.618863,2026-08-14 13:53:20.875018,0 days 00:00:30.256155,0.630739681126466,0.2497896410541809,50124,13.78618342232764,PRUNED
6,0.6138611111111111,2026-08-14 13:53:20.875018,2026-08-14 13:55:32.088341,0 days 00:02:11.213323,0.4716766437045232,0.20998025533188097,57511,5.182744258689333,COMPLETE
7,0.4608611111111111,2026-08-14 13:55:32.088341,2026-08-14 13:57:39.957259,0 days 00:02:07.868918,0.5322778060523135,0.15366548499763089,49841,9.218483217500717,COMPLETE
8,0.6172916666666667,2026-08-14 13:57:39.957259,2026-08-14 14:00:15.755342,0 days 00:02:35.798083,0.4093949002181776,0.19210848721716212,42794,8.561503322165485,COMPLETE
9,0.15680555555555556,2026-08-14 14:00:15.755342,2026-08-14 14:02:25.921541,0 days 00:02:10.166199,0.8718740392573121,0.20423349921868922,45682,10.120957227224213,COMPLETE
10,0.7557777777777778,2026-08-14 14:02:25.921541,2026-08-14 14:05:20.530845,0 days 00:02:54.609304,0.5485613696436733,0.06356488479252972,22757,6.760530850153284,COMPLETE
11,0.3103472222222222,2026-08-14 14:05:20.530845,2026-08-14 14:07:01.591213,0 days 00:01:41.060368,0.5348239773322079,0.055112189822044216,22653,6.787815866440441,COMPLETE
12,0.4648541666666666,2026-08-14 14:07:01.591213,2026-08-14 14:08:06.834019,0 days 00:01:05.242806,0.4014513922048312,0.0595969296048998,27329,6.9812518726555375,PRUNED
13,0.15536111111111112,2026-08-14 14:08:06.834019,2026-08-14 14:10:32.587989,0 days 00:02:25.753970,0.5276809373072496,0.10740593450085974,31668,12.051554677741422,COMPLETE
14,0.0,2026-08-14 14:10:32.587989,2026-08-14 14:11:22.050860,0 days 00:00:49.462871,0.6252109153802254,0.10989648616251135,34100,6.764175210479105,PRUNED
15,0.0,2026-08-14 14:11:22.050860,2026-08-14 14:11:56.121941,0 days 00:00:34.071081,0.4755246400948978,0.16907831665879516,15069,11.29338228871491,PRUNED
16,0.4650347222222222,2026-08-14 14:11:56.121941,2026-08-14 14:14:02.568178,0 days 00:02:06.446237,0.57322660047655,0.10420626079646961,26040,7.957581479291792,COMPLETE
17,0.4452013888888889,2026-08-14 14:14:02.568178,2026-08-14 14:16:56.068993,0 days 00:02:53.500815,0.6927363261361565,0.2982612731427635,41996,5.6231320180733455,COMPLETE
18,0.6105694444444444,2026-08-14 14:16:56.068993,2026-08-14 14:19:45.023162,0 days 00:02:48.954169,0.4713070056439315,0.08179955502572162,33866,8.234234886712281,COMPLETE
19,0.0,2026-08-14 14:19:45.023162,2026-08-14 14:20:17.265650,0 days 00:00:32.242488,0.42450049635699416,0.17880243729833634,45472,5.732515597874999,PRUNED
20,0.15748611111111113,2026-08-14 14:20:17.265650,2026-08-14 14:22:24.743882,0 days 00:02:07.478232,0.5646077433134371,0.13598895052052912,29229,10.841642570454884,COMPLETE
21,0.4573541666666667,2026-08-14 14:22:24.743882,2026-08-14 14:23:08.765451,0 days 00:00:44.021569,0.46520854516192545,0.1937050347056121,56981,4.0312834077635085,PRUNED
22,0.6064305555555555,2026-08-14 14:23:08.765451,2026-08-14 14:25:52.259667,0 days 00:02:43.494216,0.49445079742320835,0.23095793779885238,50677,5.317860543348627,COMPLETE
