number,value,datetime_start,datetime_complete,duration,params_grrt_corridor_sample,params_grrt_goal_bias,params_grrt_max_iters,params_grrt_step_m,state
0,0.45629861111111114,2026-08-13 17:34:42.093501,2026-08-13 17:36:16.462226,0 days 00:01:34.368725,0.7013816880358219,0.22879734159310489,39520,9.488135039273248,COMPLETE
1,0.6063402777777778,2026-08-13 17:36:16.462226,2026-08-13 17:38:17.400958,0 days 00:02:00.938732,0.6187936056313463,0.21147352826666405,55130,8.236547993389047,COMPLETE
2,0.15295833333333334,2026-08-13 17:38:17.400958,2026-08-13 17:39:16.046413,0 days 00:00:58.645455,0.7958625190413323,0.14586037970644444,38800,13.636627605010293,COMPLETE
3,0.46197222222222223,2026-08-13 17:39:16.046413,2026-08-13 17:40:52.753305,0 days 00:01:36.706892,0.4355180290989435,0.28139915957316525,18920,9.680445610939323,COMPLETE
4,0.4578125,2026-08-13 17:40:52.753305,2026-08-13 17:43:37.681271,0 days 00:02:44.927966,0.7890783754749253,0.2581549613869845,54151,4.202183974403257,COMPLETE
5,0.30933333333333335,2026-08-13 17:43:37.681271,2026-08-13 17:45:58.263476,0 days 00:02:20.582205,0.630739681126466,0.2497896410541809,50124,13.78618342232764,COMPLETE
6,0.7573402777777778,2026-08-13 17:45:58.263476,2026-08-13 17:48:13.675304,0 days 00:02:15.411828,0.4716766437045232,0.20998025533188097,57511,5.182744258689333,COMPLETE
7,0.6151875,2026-08-13 17:48:13.675304,2026-08-13 17:49:42.965521,0 days 00:01:29.290217,0.5322778060523135,0.15366548499763089,49841,9.218483217500717,COMPLETE
8,0.45664583333333336,2026-08-13 17:49:42.965521,2026-08-13 17:50:08.741358,0 days 00:00:25.775837,0.4093949002181776,0.19210848721716212,42794,8.561503322165485,PRUNED
9,0.3076527777777778,2026-08-13 17:50:08.741358,2026-08-13 17:51:37.145802,0 days 00:01:28.404444,0.8718740392573121,0.20423349921868922,45682,10.120957227224213,COMPLETE
10,0.6114236111111111,2026-08-13 17:51:37.145802,2026-08-13 17:53:40.314991,0 days 00:02:03.169189,0.5485613696436733,0.06377495640992686,26823,4.203344716249308,COMPLETE
11,0.6076874999999999,2026-08-13 17:53:40.314991,2026-08-13 17:56:19.515008,0 days 00:02:39.200017,0.49636146209884985,0.14288251046613093,58660,6.615811453304014,COMPLETE
12,0.0,2026-08-13 17:56:19.515008,2026-08-13 17:56:42.201897,0 days 00:00:22.686889,0.5206736753556853,0.14476222000724356,59465,11.753010611324967,PRUNED
13,0.7543125,2026-08-13 17:56:42.201897,2026-08-13 17:59:34.043750,0 days 00:02:51.841853,0.5890021724813257,0.0912753944675897,48877,6.26579554078212,COMPLETE
14,0.45685416666666673,2026-08-13 17:59:34.043750,2026-08-13 18:02:43.107300,0 days 00:03:09.063550,0.6182184709125217,0.05139920702406185,30386,6.129932930924328,COMPLETE
15,0.6001111111111112,2026-08-13 18:02:43.107300,2026-08-13 18:05:24.722976,0 days 00:02:41.615676,0.46352755671587953,0.09791863075574196,49220,6.095289409150156,COMPLETE
16,0.4604722222222222,2026-08-13 18:05:24.722976,2026-08-13 18:09:00.486187,0 days 00:03:35.763211,0.5686643835723916,0.0962233122092077,34829,7.162365339314375,COMPLETE
17,0.45979166666666665,2026-08-13 18:09:00.486187,2026-08-13 18:09:42.088821,0 days 00:00:41.602634,0.6851805628757988,0.29837273258890995,54085,5.214479439851159,PRUNED
18,0.46565972222222224,2026-08-13 18:09:42.088821,2026-08-13 18:11:52.116346,0 days 00:02:10.027525,0.48713014558638745,0.1765673698742966,45150,7.459130543166662,COMPLETE
19,0.0,2026-08-13 18:11:52.116346,2026-08-13 18:13:07.469267,0 days 00:01:15.352921,0.5821103675478735,0.1085221611189418,55068,5.314931215153493,PRUNED
20,0.0,2026-08-13 18:13:07.469267,2026-08-13 18:13:28.218779,0 days 00:00:20.749512,0.6897135498694968,0.11973375095523042,17122,5.190500641398572,PRUNED
21,0.4493472222222222,2026-08-13 18:13:28.218779,2026-08-13 18:16:33.104030,0 days 00:03:04.885251,0.5280651197003661,0.16939660170283316,49369,10.655302037403507,COMPLETE
22,0.46403472222222225,2026-08-13 18:16:33.104030,2026-08-13 18:20:48.380818,0 days 00:04:15.276788,0.458043768862001,0.08250996576373404,50677,8.025389266144474,COMPLETE
23,0.60475,2026-08-13 18:20:48.380818,2026-08-13 18:24:34.772678,0 days 00:03:46.391860,0.40745197305036857,0.16405091779817818,45769,12.262222806959464,COMPLETE
24,0.7579861111111111,2026-08-13 18:24:34.772678,2026-08-13 18:28:36.842038,0 days 00:04:02.069360,0.5802903471178389,0.12204151506335101,59293,8.929920302238404,COMPLETE
25,0.45775000000000005,2026-08-13 18:28:36.842038,2026-08-13 18:29:27.730139,0 days 00:00:50.888101,0.5927521558723672,0.07509322816629536,57391,6.608195761092097,PRUNED
26,0.46243750000000006,2026-08-13 18:29:27.730139,2026-08-13 18:30:12.023009,0 days 00:00:44.292870,0.6640369474045336,0.1275992921568866,59812,4.8406193178922345,PRUNED
27,0.0,2026-08-13 18:30:12.023009,2026-08-13 18:31:17.899886,0 days 00:01:05.876877,0.7680170190640292,0.13096966645735017,53077,5.960189025189406,PRUNED
28,0.0,2026-08-13 18:31:17.899886,2026-08-13 18:31:46.324303,0 days 00:00:28.424417,0.7213381232969369,0.08663631952821076,56411,11.498778091572145,PRUNED
29,0.6108402777777778,2026-08-13 18:31:46.324303,2026-08-13 18:34:58.309235,0 days 00:03:11.984932,0.4890728227348564,0.22925610030331706,40355,7.656335708155509,COMPLETE
30,0.44214583333333335,2026-08-13 18:34:58.309235,2026-08-13 18:35:39.525555,0 days 00:00:41.216320,0.6497325137579462,0.11410992102802248,52339,8.965733580388267,PRUNED
31,0.46184722222222224,2026-08-13 18:35:39.525555,2026-08-13 18:38:52.270291,0 days 00:03:12.744736,0.5424830044090905,0.15471297272493673,47778,8.90436583551361,COMPLETE
32,0.0,2026-08-13 18:38:52.270291,2026-08-13 18:39:43.263733,0 days 00:00:50.993442,0.5979010999029161,0.18278623130614255,56418,10.659944285442936,PRUNED
33,0.4579166666666667,2026-08-13 18:39:43.264733,2026-08-13 18:42:36.113378,0 days 00:02:52.848645,0.562265998697975,0.13440641485468324,51922,9.629682654606434,COMPLETE
34,0.0,2026-08-13 18:42:36.113378,2026-08-13 18:43:14.058798,0 days 00:00:37.945420,0.5149247367880446,0.2285068919968069,43644,6.999488044057951,PRUNED
35,0.6085208333333333,2026-08-13 18:43:14.058798,2026-08-13 18:47:20.702406,0 days 00:04:06.643608,0.458304423892281,0.20764847587042426,47581,8.119284649271258,COMPLETE
36,0.45870833333333333,2026-08-13 18:47:20.702406,2026-08-13 18:48:11.019711,0 days 00:00:50.317305,0.6152846706722949,0.10350231363490776,39547,9.001958388198146,PRUNED
37,0.9118472222222223,2026-08-13 18:48:11.019711,2026-08-13 18:51:54.054877,0 days 00:03:43.035166,0.6415781813662766,0.26475881228692655,55226,4.667465081396834,COMPLETE
38,0.44443750000000004,2026-08-13 18:51:54.054877,2026-08-13 18:52:23.409274,0 days 00:00:29.354397,0.7243236503878454,0.26483786632797185,55857,4.051658624961524,PRUNED
39,0.0,2026-08-13 18:52:23.409274,2026-08-13 18:52:42.067971,0 days 00:00:18.658697,0.6472934815605641,0.24484525806912474,57730,4.6551539929436725,PRUNED
40,0.0,2026-08-13 18:52:42.067971,2026-08-13 18:53:04.939955,0 days 00:00:22.871984,0.43016804961472804,0.2328344671738445,54034,5.543895948787161,PRUNED
41,0.4644305555555555,2026-08-13 18:53:04.939955,2026-08-13 18:54:33.171328,0 days 00:01:28.231373,0.5524446307962293,0.27873250147789724,51331,4.701101561589638,COMPLETE
42,0.6029583333333334,2026-08-13 18:54:33.172337,2026-08-13 18:57:12.662618,0 days 00:02:39.490281,0.5878456750315092,0.19178021821809516,22232,10.160588531037302,COMPLETE
43,0.4494166666666667,2026-08-13 18:57:12.663621,2026-08-13 18:57:41.299119,0 days 00:00:28.635498,0.5090777586374149,0.2989211959832538,48558,6.4491357259599225,PRUNED
44,0.7608125,2026-08-13 18:57:41.299119,2026-08-13 19:00:04.952198,0 days 00:02:23.653079,0.6266495359201417,0.21463915049085597,59355,4.520228575578865,COMPLETE
45,0.4575416666666667,2026-08-13 19:00:04.952198,2026-08-13 19:02:09.462967,0 days 00:02:04.510769,0.6367486605365771,0.2684952724987339,59853,4.602574396507612,COMPLETE
46,0.4628125,2026-08-13 19:02:09.462967,2026-08-13 19:02:40.307045,0 days 00:00:30.844078,0.6732525920869264,0.21940720139315784,57661,5.750353339638689,PRUNED
47,0.4583402777777778,2026-08-13 19:02:40.307045,2026-08-13 19:04:08.781350,0 days 00:01:28.474305,0.6178178064359325,0.25118863873986264,55021,4.359631792690048,COMPLETE
48,0.45485416666666667,2026-08-13 19:04:08.781350,2026-08-13 19:04:33.304207,0 days 00:00:24.522857,0.8721434763467671,0.1968363344838228,58409,13.20104169520774,PRUNED
49,0.4609375,2026-08-13 19:04:33.304207,2026-08-13 19:06:13.401912,0 days 00:01:40.097705,0.7303138733573437,0.06055721926166784,53673,5.053253822957497,COMPLETE
