number,value,datetime_start,datetime_complete,duration,params_centerline_gain,params_grrt_corridor_sample,params_grrt_goal_bias,params_grrt_max_iters,params_grrt_step_m,params_safe_distance,params_time_horizon,state
0,0.6061736111111111,2026-08-13 21:33:01.521018,2026-08-13 21:35:15.534642,0 days 00:02:14.013624,0.08996299860535256,0.7013816880358219,0.22879734159310489,39520,9.488135039273248,0.375034884505077,3.1182739966945237,COMPLETE
1,0.7629305555555556,2026-08-13 21:35:15.535644,2026-08-13 21:37:04.541008,0 days 00:01:49.005364,0.06903521707993515,0.5917207594128888,0.2909156901252573,50628,12.917730007820797,0.5702386553170644,3.644474598764522,COMPLETE
2,0.3020833333333333,2026-08-13 21:37:04.541008,2026-08-13 21:39:16.604328,0 days 00:02:12.063320,0.19280284410033463,0.4101091987201629,0.07178232492538518,52468,4.710360581978869,0.5914473368931056,4.890783754749252,COMPLETE
3,0.7567291666666667,2026-08-13 21:39:16.604328,2026-08-13 21:41:02.877844,0 days 00:01:46.273516,0.01628359108363256,0.7902645881432278,0.16536984056323295,20322,11.991585642167236,0.5778675668198335,4.19960510663762,COMPLETE
4,0.7688958333333332,2026-08-13 21:41:02.877844,2026-08-13 21:42:16.079600,0 days 00:01:13.201756,0.06912670683424535,0.5322778060523135,0.15366548499763089,49841,9.218483217500717,0.20751592017454207,3.2807516610827427,COMPLETE
5,0.6146319444444445,2026-08-13 21:42:16.079600,2026-08-13 21:43:53.284566,0 days 00:01:37.204966,0.03396540216391729,0.7084669984373785,0.20302393068060537,57469,10.176354970758771,0.37481278151973657,4.409101495517417,COMPLETE
6,0.44095833333333334,2026-08-13 21:43:53.284566,2026-08-13 21:44:14.590195,0 days 00:00:21.305629,0.015503857733727292,0.7333833577228339,0.06505636790731746,45179,10.97631195927265,0.32617134036967355,2.0519128053692044,PRUNED
7,0.7607083333333334,2026-08-13 21:44:14.590195,2026-08-13 21:45:39.943137,0 days 00:01:25.352942,0.020348682523113566,0.6193007567311601,0.1925491926044699,59477,7.6371077094262265,0.2645238071539985,1.5102240537401403,COMPLETE
8,0.6025486111111111,2026-08-13 21:45:39.943137,2026-08-13 21:47:07.551618,0 days 00:01:27.608481,0.014555846498659259,0.6331553864281532,0.11332290063494553,25999,10.531083254653984,0.46253183578610935,1.7948479182275987,COMPLETE
9,0.7477708333333334,2026-08-13 21:47:07.551618,2026-08-13 21:48:32.900179,0 days 00:01:25.348561,0.17288058885750873,0.5843625853304821,0.09914559042001338,51945,5.381829513486138,0.23843936315758524,1.4855063789653062,COMPLETE
10,0.610125,2026-08-13 21:48:32.900179,2026-08-13 21:50:05.321541,0 days 00:01:32.421362,0.05103774884054996,0.876389130430058,0.2917707513110667,33170,7.849048913698326,0.4674300538401801,5.746400719702609,COMPLETE
11,0.45966666666666667,2026-08-13 21:50:05.321541,2026-08-13 21:50:23.071722,0 days 00:00:17.750181,0.08309204113354476,0.489815581923392,0.29822327574571544,44103,13.35609519593444,0.47453372021813384,3.0002166341472107,PRUNED
12,0.7662430555555556,2026-08-13 21:50:23.071722,2026-08-13 21:51:36.239785,0 days 00:01:13.168063,0.06988685138624327,0.5217875951030243,0.2593581017478569,47839,7.958207886559516,0.20408002987896642,3.2521091538022544,COMPLETE
13,0.0,2026-08-13 21:51:36.239785,2026-08-13 21:51:48.956208,0 days 00:00:12.716423,0.12793368720433607,0.5028590016824631,0.24165119132553126,40175,8.052620506692596,0.204938687362544,2.620091757115652,PRUNED
14,0.6078402777777777,2026-08-13 21:51:48.956208,2026-08-13 21:53:28.133064,0 days 00:01:39.176856,0.03736118704789708,0.5021944129278998,0.14363884047112005,34404,6.367962569996271,0.27951941054159557,3.701079369964352,COMPLETE
15,0.6146527777777778,2026-08-13 21:53:28.133064,2026-08-13 21:54:47.075451,0 days 00:01:18.942387,0.29800881797794343,0.407215810652368,0.25855270860227647,46162,9.148139968295437,0.20335740000679048,2.587767009600328,COMPLETE
16,0.6045902777777777,2026-08-13 21:54:47.075451,2026-08-13 21:56:24.260067,0 days 00:01:37.184616,0.048418723559127214,0.5451030973282621,0.15444519029534684,54777,6.598209657516808,0.30677685570913565,1.0298378946301852,COMPLETE
17,0.0,2026-08-13 21:56:24.260067,2026-08-13 21:57:12.097617,0 days 00:00:47.837550,0.029832262595742266,0.4396464462449408,0.19679415898384808,49664,8.659094479943382,0.2383634825839915,5.146048291533294,PRUNED
18,0.4654166666666667,2026-08-13 21:57:12.097617,2026-08-13 21:57:27.871338,0 days 00:00:15.773721,0.12925493468301605,0.5354453717874962,0.12224236128956446,36423,6.544441180649162,0.3390046846584442,3.5789694793551523,PRUNED
19,0.46684027777777776,2026-08-13 21:57:27.871338,2026-08-13 21:59:06.503125,0 days 00:01:38.631787,0.010503719826927582,0.6609200000966221,0.2640358505930419,47068,11.488763958044382,0.20106011514837213,2.332114458299446,COMPLETE
20,0.4642916666666667,2026-08-13 21:59:06.504126,2026-08-13 21:59:54.876703,0 days 00:00:48.372577,0.06092518285466332,0.4633667908157459,0.174869361101539,41306,9.40263057866693,0.2643601863154165,3.235926519874087,PRUNED
21,0.6050208333333333,2026-08-13 21:59:54.876703,2026-08-13 22:01:56.401840,0 days 00:02:01.525137,0.07613522048505249,0.5714314869058207,0.27304940147423357,48974,12.176784189844044,0.5312567284819596,3.895183461047807,COMPLETE
22,0.7539583333333333,2026-08-13 22:01:56.401840,2026-08-13 22:03:40.926458,0 days 00:01:44.524618,0.10639735771976984,0.5950473329590495,0.22613505566194333,54748,13.43929887684453,0.4057373170725962,3.429706265342676,COMPLETE
23,0.0,2026-08-13 22:03:40.926458,2026-08-13 22:04:21.273013,0 days 00:00:40.346555,0.06724823649367302,0.5486960548040383,0.2773811130164018,50329,7.156686484064808,0.5467841637326945,4.236990568530816,PRUNED
