number,value,datetime_start,datetime_complete,duration,params_goal_connect_dist,params_goal_sample_rate,params_max_iter,params_replan_interval,params_step_size,state
0,0.157625,2026-08-13 21:27:37.737752,2026-08-13 21:28:15.817458,0 days 00:00:38.079706,4.179532731987587,0.30031627823034684,1023,1.5591369983472618,3.195254015709299,COMPLETE
1,0.4602916666666667,2026-08-13 21:28:15.817458,2026-08-13 21:29:12.981091,0 days 00:00:57.163633,5.854651042004117,0.20315552394194242,1371,1.4586037970644443,3.5835764522666245,COMPLETE
2,0.31121527777777774,2026-08-13 21:29:12.981091,2026-08-13 21:29:53.547545,0 days 00:00:40.566454,5.702386553170644,0.23511322191351658,982,0.6775901454947173,4.166900152330658,COMPLETE
3,0.4607777777777778,2026-08-13 21:29:53.547545,2026-08-13 21:30:51.055518,0 days 00:00:57.507973,5.1126270037994015,0.057076439104114,1299,2.6750303706170477,1.3485171988061628,COMPLETE
4,0.31135416666666665,2026-08-13 21:30:51.055518,2026-08-13 21:31:35.130150,0 days 00:00:44.074632,5.122116705145822,0.32970549747585326,854,0.795686064672333,4.914473368931056,COMPLETE
5,0.3067708333333333,2026-08-13 21:31:35.130150,2026-08-13 21:32:35.905348,0 days 00:01:00.775198,4.087393287000287,0.10017365059316624,1434,1.5366548499763089,3.5596840853100953,COMPLETE
6,0.4605694444444444,2026-08-13 21:32:35.905348,2026-08-13 21:33:33.369055,0 days 00:00:57.463707,4.273735795474594,0.32098179130197585,847,0.5469745010908879,2.058222448418508,COMPLETE
7,0.3067708333333333,2026-08-13 21:33:33.369055,2026-08-13 21:34:32.917419,0 days 00:00:59.548364,5.774992314058497,0.26423350295284753,1040,2.2045507477587085,3.4705419883035082,COMPLETE
8,0.157625,2026-08-13 21:34:32.917419,2026-08-13 21:35:12.583656,0 days 00:00:39.666237,2.2409018865170793,0.20296118382976952,1137,2.166916788614169,2.438031602295144,COMPLETE
9,0.4604305555555555,2026-08-13 21:35:12.583656,2026-08-13 21:36:15.051578,0 days 00:01:02.467922,3.2617134036967355,0.12363389637584432,454,1.4092769273565566,3.6825514784726376,COMPLETE
10,0.45445138888888886,2026-08-13 21:36:15.051578,2026-08-13 21:37:28.804003,0 days 00:01:13.752425,2.080183372697779,0.3886738963755816,324,2.8841332942848625,1.0813378864997232,COMPLETE
11,0.30711805555555555,2026-08-13 21:37:28.804003,2026-08-13 21:38:27.086466,0 days 00:00:58.282463,4.680788171418588,0.07078076236050168,620,2.984798044099574,1.54745320555685,COMPLETE
12,0.15769444444444444,2026-08-13 21:38:27.086466,2026-08-13 21:39:02.801012,0 days 00:00:35.714546,3.5677247848559723,0.1497824874095765,731,2.413912922633314,2.053700309415248,COMPLETE
13,0.3114236111111111,2026-08-13 21:39:02.801012,2026-08-13 21:39:42.143776,0 days 00:00:39.342764,4.872888573707202,0.3908781562821803,1266,1.0639833726332175,2.2985467241913597,COMPLETE
14,0.3065625,2026-08-13 21:39:42.143776,2026-08-13 21:40:40.057150,0 days 00:00:57.913374,4.319750911744878,0.053698510696569654,1220,1.9688560882647725,1.017002464941909,COMPLETE
15,0.4605694444444444,2026-08-13 21:40:40.057150,2026-08-13 21:41:38.047816,0 days 00:00:57.990666,5.290438784661105,0.16433666877620084,785,1.0268958743663914,1.8429021754708421,COMPLETE
