number,value,datetime_start,datetime_complete,duration,params_goal_connect_dist,params_goal_sample_rate,params_grrt_corridor_sample,params_grrt_goal_bias,params_grrt_max_iters,params_grrt_step_m,params_max_iter,params_replan_interval,params_step_size,state
0,0.4573194444444444,2026-08-13 19:37:08.640895,2026-08-13 19:38:12.223180,0 days 00:01:03.582285,5.5670920031283195,0.27606293957332967,0.7013816880358219,0.22879734159310489,39520,9.488135039273248,825,2.9091569012525733,2.694619197355619,COMPLETE
1,0.0,2026-08-13 19:38:12.223180,2026-08-13 19:38:52.599665,0 days 00:00:40.376485,2.080873589761303,0.07486262036926043,0.6644474598764523,0.24793125952066614,40562,7.834415188257777,404,2.581549613869845,4.702386553170644,COMPLETE
2,0.3042361111111111,2026-08-13 19:38:52.599665,2026-08-13 19:39:35.025901,0 days 00:00:42.426236,4.559684085310096,0.32318521170025943,0.8893091711163821,0.2675030370617048,50962,11.781567509498505,442,0.858383218522616,2.8459174490117274,COMPLETE
3,0.3020833333333333,2026-08-13 19:39:35.025901,2026-08-13 19:40:41.826521,0 days 00:01:06.800620,2.0751592017454206,0.20965261627579201,0.6073309699952618,0.18046208043751794,26905,13.446689170495839,982,2.0440887426896928,4.096934757736866,COMPLETE
4,0.15168055555555557,2026-08-13 19:40:41.826521,2026-08-13 19:41:30.026028,0 days 00:00:48.199507,2.2409018865170793,0.20296118382976952,0.8718740392573121,0.20423349921868922,45682,10.120957227224213,1137,2.166916788614169,2.438031602295144,COMPLETE
5,0.0,2026-08-13 19:41:30.026028,2026-08-13 19:41:36.584400,0 days 00:00:06.558372,5.953495352236905,0.2495688696462579,0.4644631488274267,0.10259564026846023,29194,10.706378696181595,826,0.7551120268700702,2.4548430837704904,PRUNED
6,0.0,2026-08-13 19:41:36.584400,2026-08-13 19:41:47.071428,0 days 00:00:10.487028,2.4415005646572205,0.13554895720056098,0.7265541627326992,0.09032737947124907,26398,6.088767560948347,490,2.1408239736631836,2.865243091425225,PRUNED
7,0.3085902777777778,2026-08-13 19:41:47.071428,2026-08-13 19:42:40.769184,0 days 00:00:53.697756,5.905837860053583,0.3432807176245814,0.5843625853304821,0.09914559042001338,51945,5.381829513486138,415,1.671628004119254,1.388405103172245,COMPLETE
8,0.4612152777777778,2026-08-13 19:42:40.769184,2026-08-13 19:43:28.609246,0 days 00:00:47.840062,2.474910875816976,0.09206879642460913,0.7696317896991509,0.20121137993626148,16763,13.767610881903371,655,1.29495794848494,2.1312278503056383,COMPLETE
9,0.0,2026-08-13 19:43:28.609246,2026-08-13 19:43:37.871874,0 days 00:00:09.262628,4.303785982224717,0.2331368187133449,0.74623605968501,0.06603687408719609,40497,8.1426299451467,412,2.8232404939405353,2.0615579637577817,PRUNED
10,0.0,2026-08-13 19:43:37.871874,2026-08-13 19:43:47.175756,0 days 00:00:09.303882,3.4045479055220262,0.39148404599369224,0.4103844173834669,0.16322333366752645,15902,4.203344716249308,1324,1.1697333691803027,3.70374982000578,PRUNED
11,0.0,2026-08-13 19:43:47.175756,2026-08-13 19:43:54.715733,0 days 00:00:07.539977,4.723367236120679,0.06155906905475744,0.7782647851907979,0.22432156201735284,59965,13.939192176398295,716,1.3636420264927511,1.3911774997260544,PRUNED
12,0.4541875,2026-08-13 19:43:54.715733,2026-08-13 19:44:08.102184,0 days 00:00:13.386451,3.425608794637597,0.1385309646459697,0.8025894930701131,0.29354921576224813,15910,8.763035127876503,740,2.9539578727773446,3.4426558068258344,PRUNED
13,0.0,2026-08-13 19:44:08.102184,2026-08-13 19:44:15.924524,0 days 00:00:07.822340,5.232591724613497,0.28872631789350356,0.6724083146145271,0.15154324660826646,31125,12.156486139454296,930,0.5100772321760647,1.8058261820859656,PRUNED
14,0.31140972222222224,2026-08-13 19:44:15.924524,2026-08-13 19:45:14.408442,0 days 00:00:58.483918,3.2188088323132096,0.14762725133732263,0.5620977497720903,0.21299558327899373,36656,9.640363327952208,616,1.7195308791938848,1.0587363861644108,COMPLETE
15,0.0,2026-08-13 19:45:14.408442,2026-08-13 19:45:22.833934,0 days 00:00:08.425492,3.8659482464855444,0.1684627852501534,0.8303294532588982,0.13426833744993077,21524,12.244653671445587,1021,2.485516504596273,3.0642694161835036,PRUNED
16,0.15384027777777778,2026-08-13 19:45:22.833934,2026-08-13 19:46:19.944797,0 days 00:00:57.110863,2.9034621933389047,0.09067938449436214,0.6855043908181228,0.24626961220797008,22357,6.747910169877078,606,1.2958902567593191,2.0017939862926544,COMPLETE
17,0.3096111111111111,2026-08-13 19:46:19.944797,2026-08-13 19:46:58.271173,0 days 00:00:38.326376,5.289565838149893,0.27864680183489016,0.7248955396454858,0.19191506908128206,35654,11.197280694572765,1491,1.6561120697487768,2.495476106134114,COMPLETE
18,0.15769444444444444,2026-08-13 19:46:58.271173,2026-08-13 19:47:45.037488,0 days 00:00:46.766315,3.9803911562485137,0.10005026921153679,0.5240695293311066,0.23001791840237973,58489,12.7496522440317,1178,2.533809685012694,3.256927642328527,COMPLETE
19,0.46275,2026-08-13 19:47:45.037488,2026-08-13 19:47:58.425837,0 days 00:00:13.388349,5.171345530876614,0.18653313307133468,0.635642380219977,0.29820260764598305,45980,9.235220176149356,823,1.0750019367325732,3.9747879465116718,PRUNED
20,0.45870833333333333,2026-08-13 19:47:58.425837,2026-08-13 19:48:13.358513,0 days 00:00:14.932676,2.6691466330061426,0.38480952412277947,0.7811758100417466,0.26714853844882236,21515,10.44381993843814,302,1.9280242416224909,1.7136044958675212,PRUNED
21,0.4551875,2026-08-13 19:48:13.358513,2026-08-13 19:48:34.646206,0 days 00:00:21.287693,3.1038210082791475,0.12830687171356966,0.5524845769135196,0.20848397631237658,34493,9.702556570434737,583,1.5527164784749332,1.1213086197189708,PRUNED
22,0.4618958333333333,2026-08-13 19:48:34.646206,2026-08-13 19:48:51.967827,0 days 00:00:17.321621,2.6461174133105105,0.15497394804734507,0.48580669248266084,0.17672537706096123,37563,7.685794708899754,650,1.8574399872978922,1.050207275703305,PRUNED
23,0.45975000000000005,2026-08-13 19:48:51.967827,2026-08-13 19:49:04.131843,0 days 00:00:12.164016,3.3196617028431965,0.10974568983288471,0.8434575300497316,0.21822122151184684,45187,8.920974091502998,795,2.314167731215607,2.1451451188205115,PRUNED
24,0.3099166666666667,2026-08-13 19:49:04.131843,2026-08-13 19:50:04.687827,0 days 00:01:00.555984,3.7354748166573364,0.057557553284522944,0.7027567558822718,0.1435492682421074,32546,11.399096538137247,560,1.0788760110068933,1.5653318962980816,COMPLETE
25,0.15734722222222222,2026-08-13 19:50:04.687827,2026-08-13 19:50:47.194737,0 days 00:00:42.506910,2.864371990887262,0.249231766578033,0.63147011347536,0.2417281932168399,39971,6.916681914581939,883,1.4686796796174713,2.6448879570630117,COMPLETE
26,0.46279166666666666,2026-08-13 19:50:47.194737,2026-08-13 19:51:03.078954,0 days 00:00:15.884217,5.647610328381634,0.3316640942358078,0.5562951395766578,0.20143312816318862,48715,9.55615886812123,653,1.784555170995096,2.2461233867430654,PRUNED
27,0.0,2026-08-13 19:51:03.078954,2026-08-13 19:51:18.987192,0 days 00:00:15.908238,4.834917527097717,0.17200572467321548,0.7763781936042236,0.12463571601992435,55345,12.71319942556235,717,0.8349919806029905,1.3171539793753062,PRUNED
28,0.0,2026-08-13 19:51:18.987192,2026-08-13 19:51:36.786242,0 days 00:00:17.799050,4.243854619872027,0.11343018185576587,0.43339591143860945,0.26775017391826833,42642,8.426084187124115,1040,2.695184521711195,1.816148990532727,PRUNED
