number,value,datetime_start,datetime_complete,duration,params_grrt_corridor_sample,params_grrt_goal_bias,params_grrt_max_iters,params_grrt_step_m,state
0,0.7469861111111111,2026-08-14 03:55:34.912680,2026-08-14 03:59:13.181409,0 days 00:03:38.268729,0.7013816880358219,0.22879734159310489,39520,9.488135039273248,COMPLETE
1,0.7578541666666667,2026-08-14 03:59:13.181409,2026-08-14 04:02:56.729450,0 days 00:03:43.548041,0.6187936056313463,0.21147352826666405,55130,8.236547993389047,COMPLETE
2,0.45318055555555553,2026-08-14 04:02:56.729450,2026-08-14 04:06:27.892539,0 days 00:03:31.163089,0.7958625190413323,0.14586037970644444,38800,13.636627605010293,COMPLETE
3,0.30238194444444444,2026-08-14 04:06:27.892539,2026-08-14 04:09:33.611272,0 days 00:03:05.718733,0.4355180290989435,0.28139915957316525,18920,9.680445610939323,COMPLETE
4,0.0,2026-08-14 04:09:33.611272,2026-08-14 04:13:44.969592,0 days 00:04:11.358320,0.7890783754749253,0.2581549613869845,54151,4.202183974403257,COMPLETE
5,0.0,2026-08-14 04:13:44.969592,2026-08-14 04:14:26.878693,0 days 00:00:41.909101,0.630739681126466,0.2497896410541809,50124,13.78618342232764,PRUNED
6,0.6037916666666666,2026-08-14 04:14:26.878693,2026-08-14 04:17:58.890197,0 days 00:03:32.011504,0.4716766437045232,0.20998025533188097,57511,5.182744258689333,COMPLETE
7,0.4528125,2026-08-14 04:17:58.890197,2026-08-14 04:18:46.937808,0 days 00:00:48.047611,0.5322778060523135,0.15366548499763089,49841,9.218483217500717,PRUNED
8,0.45399999999999996,2026-08-14 04:18:46.937808,2026-08-14 04:20:11.860961,0 days 00:01:24.923153,0.4093949002181776,0.19210848721716212,42794,8.561503322165485,PRUNED
9,0.4436875,2026-08-14 04:20:11.860961,2026-08-14 04:20:43.893649,0 days 00:00:32.032688,0.8718740392573121,0.20423349921868922,45682,10.120957227224213,PRUNED
10,0.5955972222222222,2026-08-14 04:20:43.893649,2026-08-14 04:24:31.369587,0 days 00:03:47.475938,0.5862674403316339,0.06378449947532885,26840,6.665410744541762,COMPLETE
11,0.5915347222222223,2026-08-14 04:24:31.369587,2026-08-14 04:27:32.938589,0 days 00:03:01.569002,0.6761928499144473,0.1587167951037251,32899,7.5482218210196175,COMPLETE
12,0.4506527777777778,2026-08-14 04:27:32.938589,2026-08-14 04:31:33.829021,0 days 00:04:00.890432,0.6892197970837607,0.23576730685665728,35795,11.753010611324967,COMPLETE
13,0.4381666666666667,2026-08-14 04:31:33.829021,2026-08-14 04:33:09.476856,0 days 00:01:35.647835,0.7424646481519269,0.29458053989406097,59381,7.020043129154358,PRUNED
