number,value,datetime_start,datetime_complete,duration,params_grrt_corridor_sample,params_grrt_goal_bias,params_grrt_max_iters,params_grrt_step_m,state
0,0.4514861111111111,2026-08-14 11:19:14.551543,2026-08-14 11:21:54.896873,0 days 00:02:40.345330,0.7013816880358219,0.22879734159310489,39520,9.488135039273248,COMPLETE
1,0.606923611111111,2026-08-14 11:21:54.896873,2026-08-14 11:24:45.457882,0 days 00:02:50.561009,0.6187936056313463,0.21147352826666405,55130,8.236547993389047,COMPLETE
2,0.5958472222222222,2026-08-14 11:24:45.457882,2026-08-14 11:28:09.716578,0 days 00:03:24.258696,0.7958625190413323,0.14586037970644444,38800,13.636627605010293,COMPLETE
3,0.4512847222222222,2026-08-14 11:28:09.716578,2026-08-14 11:31:28.758051,0 days 00:03:19.041473,0.4355180290989435,0.28139915957316525,18920,9.680445610939323,COMPLETE
4,0.15022916666666666,2026-08-14 11:31:28.758051,2026-08-14 11:36:27.423725,0 days 00:04:58.665674,0.7890783754749253,0.2581549613869845,54151,4.202183974403257,COMPLETE
5,0.4502083333333333,2026-08-14 11:36:27.423725,2026-08-14 11:40:18.125778,0 days 00:03:50.702053,0.630739681126466,0.2497896410541809,50124,13.78618342232764,COMPLETE
6,0.7469722222222223,2026-08-14 11:40:18.125778,2026-08-14 11:44:15.383547,0 days 00:03:57.257769,0.4716766437045232,0.20998025533188097,57511,5.182744258689333,COMPLETE
7,0.7545208333333333,2026-08-14 11:44:15.383547,2026-08-14 11:46:56.522984,0 days 00:02:41.139437,0.5322778060523135,0.15366548499763089,49841,9.218483217500717,COMPLETE
8,0.601486111111111,2026-08-14 11:46:56.522984,2026-08-14 11:49:57.559843,0 days 00:03:01.036859,0.4093949002181776,0.19210848721716212,42794,8.561503322165485,COMPLETE
9,0.31097916666666664,2026-08-14 11:49:57.559843,2026-08-14 11:53:46.461345,0 days 00:03:48.901502,0.8718740392573121,0.20423349921868922,45682,10.120957227224213,COMPLETE
10,0.4275833333333333,2026-08-14 11:53:46.461345,2026-08-14 11:55:04.829856,0 days 00:01:18.368511,0.5485613696436733,0.06084214439779424,26816,6.449440836249486,PRUNED
11,0.7546458333333333,2026-08-14 11:55:04.829856,2026-08-14 11:58:26.347927,0 days 00:03:21.518071,0.49636146209884985,0.14288251046613093,58660,4.277226932479687,COMPLETE
