number,value,datetime_start,datetime_complete,duration,params_horizon,params_lookahead_distance,params_margin,params_w_obstacle,params_w_smooth,params_w_social,state
0,0.15420833333333334,2026-08-14 01:34:08.352656,2026-08-14 01:35:00.757623,0 days 00:00:52.404967,13,12.867083030096614,0.13980199922133155,2.659312838729078,5.30499275351895,0.5115750615935457,COMPLETE
1,0.15418055555555554,2026-08-14 01:35:00.757623,2026-08-14 01:35:38.827057,0 days 00:00:38.069434,11,14.809503008602878,0.11991213635799376,7.233285227265,12.380980333548363,0.3154052496956797,COMPLETE
2,0.15420833333333334,2026-08-14 01:35:38.828051,2026-08-14 01:36:29.329595,0 days 00:00:50.501544,13,15.181563021219272,0.17154537374314946,0.6088438751830741,2.095310518217303,0.12982485087605056,COMPLETE
3,0.5970902777777778,2026-08-14 01:36:29.329595,2026-08-14 01:37:55.088823,0 days 00:01:25.759228,16,14.570133630715011,0.16268995996869745,7.539523611247054,5.787744592995377,1.095794871004918,COMPLETE
4,0.0,2026-08-14 01:37:55.088823,2026-08-14 01:38:43.787625,0 days 00:00:48.698802,7,12.039131234602763,0.10049252979838902,0.7440199183038533,6.6508678308011655,1.694503994906603,COMPLETE
5,0.0,2026-08-14 01:38:43.787625,2026-08-14 01:39:14.456773,0 days 00:00:30.669148,9,13.516570583776383,0.1349980345028991,1.771045563791841,2.0884293889876693,0.5489712718496442,PRUNED
6,0.3095833333333333,2026-08-14 01:39:14.456773,2026-08-14 01:40:17.287591,0 days 00:01:02.830818,13,11.786273965622327,0.10429543214588805,6.844723740175419,4.576546677755683,0.7710253564584054,COMPLETE
7,0.3092916666666667,2026-08-14 01:40:17.287591,2026-08-14 01:41:16.838498,0 days 00:00:59.550907,15,5.662480187921968,0.051917470601325066,3.1756828975183806,3.2464786918232575,0.7456241820636359,COMPLETE
8,0.449875,2026-08-14 01:41:16.838498,2026-08-14 01:42:18.788592,0 days 00:01:01.950094,10,9.00081848036885,0.047347617827164776,2.4297149709276677,19.47169838368977,0.37207777131480196,COMPLETE
9,0.45403472222222224,2026-08-14 01:42:18.788592,2026-08-14 01:43:09.209296,0 days 00:00:50.420704,8,6.774404696734958,0.07155235064027246,3.057671250622816,5.852491188824884,0.21356986471473188,COMPLETE
10,0.3087986111111111,2026-08-14 01:43:09.209296,2026-08-14 01:44:12.616047,0 days 00:01:03.406751,18,8.916101981491895,0.19716606590945152,1.1395711136343423,9.904304056321143,1.6199066455190256,COMPLETE
11,0.0,2026-08-14 01:44:12.616047,2026-08-14 01:44:19.313611,0 days 00:00:06.697564,6,7.227861865807213,0.08445867268480213,4.290673861496741,7.651878215194133,0.11673834363513096,PRUNED
12,0.0,2026-08-14 01:44:19.313611,2026-08-14 01:44:38.713014,0 days 00:00:19.399403,18,10.04648271582769,0.030951460776362072,4.5982725150156005,3.8161467248440446,0.19657194183592602,PRUNED
13,0.4554722222222222,2026-08-14 01:44:38.713014,2026-08-14 01:45:39.604189,0 days 00:01:00.891175,16,5.809433046241489,0.16263535514937313,1.7469455292868754,6.971502227101618,1.260250484050336,COMPLETE
14,0.4557291666666667,2026-08-14 01:45:39.604189,2026-08-14 01:46:45.090114,0 days 00:01:05.485925,16,5.078969072178198,0.16859379397946955,1.4364792256551182,9.019577429059565,1.1464068752522245,COMPLETE
15,0.0,2026-08-14 01:46:45.090114,2026-08-14 01:46:52.784947,0 days 00:00:07.694833,16,10.729469593280363,0.1943878122239474,1.0436544899686775,11.066126606848995,1.0895936802617647,PRUNED
16,0.0,2026-08-14 01:46:52.784947,2026-08-14 01:47:05.134681,0 days 00:00:12.349734,15,15.869830534128313,0.16501855771948415,4.984935382204173,16.99823940411728,0.9399208108529519,PRUNED
