number,value,datetime_start,datetime_complete,duration,params_grrt_corridor_sample,params_grrt_goal_bias,params_grrt_max_iters,params_grrt_step_m,state
0,0.450375,2026-08-14 02:49:13.732073,2026-08-14 02:51:12.343040,0 days 00:01:58.610967,0.7013816880358219,0.22879734159310489,39520,9.488135039273248,COMPLETE
1,0.29901388888888886,2026-08-14 02:51:12.343040,2026-08-14 02:52:57.387855,0 days 00:01:45.044815,0.6187936056313463,0.21147352826666405,55130,8.236547993389047,COMPLETE
2,0.0,2026-08-14 02:52:57.387855,2026-08-14 02:54:30.844381,0 days 00:01:33.456526,0.7958625190413323,0.14586037970644444,38800,13.636627605010293,COMPLETE
3,0.15334027777777778,2026-08-14 02:54:30.845385,2026-08-14 02:55:57.762549,0 days 00:01:26.917164,0.4355180290989435,0.28139915957316525,18920,9.680445610939323,COMPLETE
4,0.30047222222222225,2026-08-14 02:55:57.762549,2026-08-14 02:58:24.837424,0 days 00:02:27.074875,0.7890783754749253,0.2581549613869845,54151,4.202183974403257,COMPLETE
5,0.31000694444444443,2026-08-14 02:58:24.837424,2026-08-14 03:01:02.613930,0 days 00:02:37.776506,0.630739681126466,0.2497896410541809,50124,13.78618342232764,COMPLETE
6,0.4555902777777778,2026-08-14 03:01:02.613930,2026-08-14 03:03:16.611563,0 days 00:02:13.997633,0.4716766437045232,0.20998025533188097,57511,5.182744258689333,COMPLETE
7,0.6023611111111111,2026-08-14 03:03:16.611563,2026-08-14 03:05:33.303580,0 days 00:02:16.692017,0.5322778060523135,0.15366548499763089,49841,9.218483217500717,COMPLETE
8,0.6127916666666667,2026-08-14 03:05:33.303580,2026-08-14 03:07:48.451982,0 days 00:02:15.148402,0.4093949002181776,0.19210848721716212,42794,8.561503322165485,COMPLETE
9,0.0,2026-08-14 03:07:48.451982,2026-08-14 03:07:59.790890,0 days 00:00:11.338908,0.8718740392573121,0.20423349921868922,45682,10.120957227224213,PRUNED
10,0.0,2026-08-14 03:07:59.790890,2026-08-14 03:08:14.235508,0 days 00:00:14.444618,0.5485613696436733,0.06356488479252972,22757,6.760530850153284,PRUNED
11,0.30154861111111114,2026-08-14 03:08:14.235508,2026-08-14 03:10:37.227156,0 days 00:02:22.991648,0.4132130181076059,0.14608764402882446,34482,11.81655670637091,COMPLETE
12,0.6007222222222223,2026-08-14 03:10:37.227156,2026-08-14 03:13:11.829633,0 days 00:02:34.602477,0.5101003515872479,0.15367793681161587,45133,7.521710303559826,COMPLETE
13,0.0,2026-08-14 03:13:11.829633,2026-08-14 03:13:51.004555,0 days 00:00:39.174922,0.5589001383571038,0.10278153366105142,29608,8.567498152504715,PRUNED
14,0.4461458333333333,2026-08-14 03:13:51.004555,2026-08-14 03:16:15.674114,0 days 00:02:24.669559,0.4915923471303716,0.17875275940128396,46775,11.237113960153415,COMPLETE
15,0.0,2026-08-14 03:16:15.674114,2026-08-14 03:16:37.339322,0 days 00:00:21.665208,0.4077321163045396,0.11495149745996855,38802,6.3652436805426955,PRUNED
16,0.0,2026-08-14 03:16:37.339322,2026-08-14 03:16:51.294195,0 days 00:00:13.954873,0.5686643835723916,0.10933285579762834,28887,11.757896695001591,PRUNED
17,0.31000694444444443,2026-08-14 03:16:51.294195,2026-08-14 03:19:14.975947,0 days 00:02:23.681752,0.6570873429638618,0.1831548771634003,50715,10.541561954781184,COMPLETE
18,0.3080833333333333,2026-08-14 03:19:14.975947,2026-08-14 03:21:24.705279,0 days 00:02:09.729332,0.46864767508516697,0.07321379058141615,42328,8.799236163631083,COMPLETE
19,0.3049236111111111,2026-08-14 03:21:24.705279,2026-08-14 03:23:22.793492,0 days 00:01:58.088213,0.5283662827573239,0.17528650379670582,32033,7.207390683743862,COMPLETE
20,0.0,2026-08-14 03:23:22.793492,2026-08-14 03:23:40.108980,0 days 00:00:17.315488,0.5988612142744727,0.12741881819296993,51426,5.697335591852988,PRUNED
21,0.46304166666666663,2026-08-14 03:23:40.108980,2026-08-14 03:24:15.468576,0 days 00:00:35.359596,0.5023789724188482,0.15549039604015732,44938,7.572808546117708,PRUNED
22,0.3086875,2026-08-14 03:24:15.468576,2026-08-14 03:26:19.954283,0 days 00:02:04.485707,0.5133805631064493,0.16370242907857968,48597,7.711371165619189,COMPLETE
23,0.3102986111111111,2026-08-14 03:26:19.955291,2026-08-14 03:28:00.114579,0 days 00:01:40.159288,0.43959709569678496,0.19363094926356522,42833,9.102013767075247,COMPLETE
24,0.15718055555555557,2026-08-14 03:28:00.114579,2026-08-14 03:29:29.999332,0 days 00:01:29.884753,0.4588993565001124,0.13696159279268702,58320,10.772204220831263,COMPLETE
25,0.0,2026-08-14 03:29:29.999332,2026-08-14 03:29:50.657333,0 days 00:00:20.658001,0.6889262663152905,0.08548812928369319,41488,8.195645914648818,PRUNED
26,0.30083333333333334,2026-08-14 03:29:50.657333,2026-08-14 03:32:16.540137,0 days 00:02:25.882804,0.5803110127079635,0.22470514561414,36489,6.476496542686927,COMPLETE
27,0.15766666666666665,2026-08-14 03:32:16.540137,2026-08-14 03:33:38.326272,0 days 00:01:21.786135,0.5269648503675085,0.16628841760797392,53363,12.806486867748031,COMPLETE
28,0.46239583333333334,2026-08-14 03:33:38.326272,2026-08-14 03:34:03.714004,0 days 00:00:25.387732,0.4066076297032709,0.12629206089535622,47734,9.609107640483803,PRUNED
29,0.461125,2026-08-14 03:34:03.715004,2026-08-14 03:34:30.705256,0 days 00:00:26.990252,0.4890728227348564,0.2349313785544306,44088,9.218321194850533,PRUNED
30,0.0,2026-08-14 03:34:30.705256,2026-08-14 03:34:41.863969,0 days 00:00:11.158713,0.43926064915516366,0.19327769992596494,36493,8.02425768535184,PRUNED
31,0.46216666666666667,2026-08-14 03:34:41.863969,2026-08-14 03:35:04.210371,0 days 00:00:22.346402,0.46908973733880766,0.21803640914027922,58601,5.132822424021341,PRUNED
32,0.4649375,2026-08-14 03:35:04.210371,2026-08-14 03:36:51.858986,0 days 00:01:47.648615,0.5348309050770653,0.20362720082600155,56189,4.15868893371375,COMPLETE
33,0.45447916666666666,2026-08-14 03:36:51.858986,2026-08-14 03:37:16.048384,0 days 00:00:24.189398,0.6111194600966009,0.19479493702231104,55109,4.177186629698466,PRUNED
34,0.45966666666666667,2026-08-14 03:37:16.048384,2026-08-14 03:37:38.481969,0 days 00:00:22.433585,0.5444875323625658,0.23732901772957476,51860,7.151147152597046,PRUNED
35,0.7512083333333334,2026-08-14 03:37:38.481969,2026-08-14 03:40:06.288033,0 days 00:02:27.806064,0.6480044008427313,0.2922909229236388,40221,5.809036911492081,COMPLETE
36,0.15775,2026-08-14 03:40:06.288033,2026-08-14 03:42:13.058815,0 days 00:02:06.770782,0.7502334010772772,0.298914088745347,40439,5.838337193501198,COMPLETE
37,0.6154861111111111,2026-08-14 03:42:13.058815,2026-08-14 03:44:01.682081,0 days 00:01:48.623266,0.722697473736561,0.26475881228692655,36907,8.593219392930825,COMPLETE
38,0.0,2026-08-14 03:44:01.682081,2026-08-14 03:44:14.985885,0 days 00:00:13.303804,0.7359093970339285,0.26527900361567397,25421,9.754657669686063,PRUNED
39,0.6077222222222222,2026-08-14 03:44:14.985885,2026-08-14 03:46:37.071719,0 days 00:02:22.085834,0.8454631386164391,0.2841508193568556,35066,8.616902437665338,COMPLETE
40,0.7604513888888889,2026-08-14 03:46:37.071719,2026-08-14 03:49:04.437720,0 days 00:02:27.366001,0.8332652876837265,0.2740551168712712,35341,8.571323352069935,COMPLETE
41,0.45891666666666664,2026-08-14 03:49:04.437720,2026-08-14 03:49:27.464275,0 days 00:00:23.026555,0.8695550183331161,0.2781111118382542,36458,8.47010120447184,PRUNED
42,0.4608125,2026-08-14 03:49:27.465273,2026-08-14 03:49:53.374434,0 days 00:00:25.909161,0.830928950201247,0.29477253967378897,33395,10.055135117645436,PRUNED
43,0.0,2026-08-14 03:49:53.374434,2026-08-14 03:50:24.530369,0 days 00:00:31.155935,0.8982187470971964,0.2697284644250487,39392,8.845967501860127,PRUNED
44,0.3068472222222222,2026-08-14 03:50:24.530369,2026-08-14 03:52:06.648346,0 days 00:01:42.117977,0.797936703931262,0.2528630017461655,30754,8.025019443912228,COMPLETE
45,0.4609583333333333,2026-08-14 03:52:06.648346,2026-08-14 03:52:29.677547,0 days 00:00:23.029201,0.7751800160606945,0.28985381365279195,15199,4.71093551577699,PRUNED
46,0.4569861111111111,2026-08-14 03:52:29.677547,2026-08-14 03:54:45.563422,0 days 00:02:15.885875,0.8321333859124241,0.27980599760432134,34717,6.882079906877827,COMPLETE
47,0.4517083333333333,2026-08-14 03:54:45.563422,2026-08-14 03:55:14.075695,0 days 00:00:28.512273,0.6946612335423327,0.24491991412385827,26696,10.306308114120098,PRUNED
48,0.0,2026-08-14 03:55:14.075695,2026-08-14 03:55:25.809612,0 days 00:00:11.733917,0.8336053731721179,0.26561681300384177,37122,9.411860276059747,PRUNED
49,0.0,2026-08-14 03:55:25.809612,2026-08-14 03:55:34.104209,0 days 00:00:08.294597,0.7242199350464118,0.27999991084797726,33283,6.15510294414193,PRUNED
