algorithm,algorithm_name,sim_n,sim_success,sim_rank,real_n,real_success,real_rank,rank_shift
mpc,MPC (ours),1198,0.788,1,300,0.6433,3,-2
mpc_dompc,MPC (do-mpc),1200,0.7867,2,300,0.62,5,-3
orca_heuristic,"ORCA (heuristic, ours)",1200,0.765,3,300,0.7833,1,2
cadrl,CADRL (ours),1200,0.7292,4,300,0.58,6,-2
sarl,SARL (ours),1199,0.7256,5,298,0.3154,14,-9
sarl_upstream,SARL (upstream),1200,0.7142,6,300,0.6867,2,4
dwa,DWA (ours),1200,0.6958,7,300,0.5633,8,-1
lstm_rl,LSTM-RL (ours),1199,0.6914,8,300,0.58,7,1
crowdnav_dsrnn,CrowdNav DS-RNN,1200,0.6383,9,300,0.49,11,-2
teb_upstream,TEB (upstream),1200,0.6167,10,300,0.5267,10,0
lstm_rl_upstream,LSTM-RL (upstream),1200,0.605,11,300,0.5567,9,2
orca,ORCA (RVO2),1200,0.6017,12,300,0.64,4,8
astar,A*,1200,0.5333,13,300,0.3467,13,0
teb,TEB (ours),1200,0.4533,14,300,0.2767,16,-2
dijkstra,Dijkstra,1200,0.4317,15,300,0.3133,15,0
rrt,RRT,1200,0.385,16,300,0.2633,17,-1
cadrl_upstream,CADRL (upstream),1200,0.3833,17,300,0.12,18,-1
crowdnav_attngraph,CrowdNav AttnGraph,1198,0.3781,18,300,0.4833,12,6
