combination,global_planner,local_planner,combination_name,sim_n,sim_success,sim_rank,real_n,real_success,real_rank,rank_shift
astar+orca_heuristic,astar,orca_heuristic,"A* + ORCA (heuristic, ours)",400,0.8075,1,100,0.79,1,0
astar+mpc,astar,mpc,A* + MPC (ours),400,0.8025,2,100,0.66,6,-4
rrt+mpc_dompc,rrt,mpc_dompc,RRT + MPC (do-mpc),400,0.8025,3,100,0.58,24,-21
rrt+mpc,rrt,mpc,RRT + MPC (ours),398,0.7864,4,100,0.61,16,-12
astar+mpc_dompc,astar,mpc_dompc,A* + MPC (do-mpc),400,0.78,5,100,0.64,11,-6
dijkstra+mpc_dompc,dijkstra,mpc_dompc,Dijkstra + MPC (do-mpc),400,0.7775,6,100,0.64,13,-7
dijkstra+mpc,dijkstra,mpc,Dijkstra + MPC (ours),400,0.775,7,100,0.66,8,-1
dijkstra+orca_heuristic,dijkstra,orca_heuristic,"Dijkstra + ORCA (heuristic, ours)",400,0.7675,8,100,0.79,2,6
astar+sarl_upstream,astar,sarl_upstream,A* + SARL (upstream),400,0.75,9,100,0.75,4,5
astar+sarl,astar,sarl,A* + SARL (ours),400,0.7425,10,99,0.3333,40,-30
astar+cadrl,astar,cadrl,A* + CADRL (ours),400,0.7375,11,100,0.6,17,-6
astar+teb_upstream,astar,teb_upstream,A* + TEB (upstream),400,0.7375,12,100,0.6,19,-7
dijkstra+sarl,dijkstra,sarl,Dijkstra + SARL (ours),400,0.7325,13,99,0.3333,41,-28
dijkstra+cadrl,dijkstra,cadrl,Dijkstra + CADRL (ours),400,0.73,14,100,0.6,20,-6
astar+dwa,astar,dwa,A* + DWA (ours),400,0.7275,15,100,0.62,14,1
dijkstra+sarl_upstream,dijkstra,sarl_upstream,Dijkstra + SARL (upstream),400,0.725,16,100,0.75,5,11
rrt+cadrl,rrt,cadrl,RRT + CADRL (ours),400,0.72,17,100,0.54,26,-9
rrt+orca_heuristic,rrt,orca_heuristic,"RRT + ORCA (heuristic, ours)",400,0.72,18,100,0.77,3,15
astar+lstm_rl,astar,lstm_rl,A* + LSTM-RL (ours),400,0.7175,19,100,0.64,10,9
dijkstra+teb_upstream,dijkstra,teb_upstream,Dijkstra + TEB (upstream),400,0.7125,20,100,0.6,22,-2
dijkstra+dwa,dijkstra,dwa,Dijkstra + DWA (ours),400,0.71,21,100,0.62,15,6
dijkstra+lstm_rl,dijkstra,lstm_rl,Dijkstra + LSTM-RL (ours),400,0.7025,22,100,0.64,12,10
rrt+sarl,rrt,sarl,RRT + SARL (ours),399,0.7018,23,100,0.28,47,-24
rrt+sarl_upstream,rrt,sarl_upstream,RRT + SARL (upstream),400,0.6675,24,100,0.56,25,-1
astar+crowdnav_dsrnn,astar,crowdnav_dsrnn,A* + CrowdNav DS-RNN,400,0.665,25,100,0.47,30,-5
astar+lstm_rl_upstream,astar,lstm_rl_upstream,A* + LSTM-RL (upstream),400,0.6575,26,100,0.6,18,8
rrt+lstm_rl,rrt,lstm_rl,RRT + LSTM-RL (ours),399,0.6541,27,100,0.46,33,-6
dijkstra+crowdnav_dsrnn,dijkstra,crowdnav_dsrnn,Dijkstra + CrowdNav DS-RNN,400,0.65,28,100,0.47,31,-3
rrt+dwa,rrt,dwa,RRT + DWA (ours),400,0.65,29,100,0.45,34,-5
dijkstra+lstm_rl_upstream,dijkstra,lstm_rl_upstream,Dijkstra + LSTM-RL (upstream),400,0.6375,30,100,0.6,21,9
astar+orca,astar,orca,A* + ORCA (RVO2),400,0.615,31,100,0.66,7,24
rrt+orca,rrt,orca,RRT + ORCA (RVO2),400,0.605,32,100,0.6,23,9
rrt+crowdnav_dsrnn,rrt,crowdnav_dsrnn,RRT + CrowdNav DS-RNN,400,0.6,33,100,0.53,27,6
dijkstra+orca,dijkstra,orca,Dijkstra + ORCA (RVO2),400,0.585,34,100,0.66,9,25
astar+astar,astar,astar,A* + A*,400,0.57,35,100,0.39,36,-1
dijkstra+astar,dijkstra,astar,Dijkstra + A*,400,0.56,36,100,0.39,37,-1
rrt+lstm_rl_upstream,rrt,lstm_rl_upstream,RRT + LSTM-RL (upstream),400,0.52,37,100,0.47,32,5
astar+teb,astar,teb,A* + TEB (ours),400,0.49,38,100,0.26,48,-10
astar+rrt,astar,rrt,A* + RRT,400,0.4825,39,100,0.31,42,-3
dijkstra+teb,dijkstra,teb,Dijkstra + TEB (ours),400,0.48,40,100,0.26,49,-9
rrt+astar,rrt,astar,RRT + A*,400,0.47,41,100,0.26,50,-9
astar+dijkstra,astar,dijkstra,A* + Dijkstra,400,0.4675,42,100,0.3,45,-3
dijkstra+dijkstra,dijkstra,dijkstra,Dijkstra + Dijkstra,400,0.465,43,100,0.3,46,-3
dijkstra+rrt,dijkstra,rrt,Dijkstra + RRT,400,0.46,44,100,0.31,43,1
rrt+crowdnav_attngraph,rrt,crowdnav_attngraph,RRT + CrowdNav AttnGraph,398,0.4422,45,100,0.43,35,10
dijkstra+cadrl_upstream,dijkstra,cadrl_upstream,Dijkstra + CADRL (upstream),400,0.4375,46,100,0.14,53,-7
astar+cadrl_upstream,astar,cadrl_upstream,A* + CADRL (upstream),400,0.43,47,100,0.14,52,-5
rrt+teb_upstream,rrt,teb_upstream,RRT + TEB (upstream),400,0.4,48,100,0.38,38,10
rrt+teb,rrt,teb,RRT + TEB (ours),400,0.39,49,100,0.31,44,5
rrt+dijkstra,rrt,dijkstra,RRT + Dijkstra,400,0.3625,50,100,0.34,39,11
dijkstra+crowdnav_attngraph,dijkstra,crowdnav_attngraph,Dijkstra + CrowdNav AttnGraph,400,0.3475,51,100,0.51,29,22
astar+crowdnav_attngraph,astar,crowdnav_attngraph,A* + CrowdNav AttnGraph,400,0.345,52,100,0.51,28,24
rrt+cadrl_upstream,rrt,cadrl_upstream,RRT + CADRL (upstream),400,0.2825,53,100,0.08,54,-1
rrt+rrt,rrt,rrt,RRT + RRT,400,0.2125,54,100,0.17,51,3
