global_planner,algorithm,algorithm_name,sim_n,sim_success,sim_rank,real_n,real_success,real_rank,rank_shift
astar,sarl_upstream,SARL (upstream),400,0.785,1,100,0.72,2,-1
astar,sarl,SARL,400,0.75,2,100,0.46,7,-5
astar,orca_heuristic,ORCA (heuristic),400,0.7175,3,100,0.75,1,2
astar,lstm_rl,LSTM-RL,400,0.5725,4,100,0.51,4,0
astar,cadrl,CADRL,400,0.55,5,100,0.38,8,-3
astar,lstm_rl_upstream,LSTM-RL (upstream),400,0.4925,6,100,0.34,9,-3
astar,dwa,DWA,400,0.4825,7,100,0.48,6,1
astar,crowdnav_dsrnn,CrowdNav DS-RNN,400,0.46,8,100,0.49,5,3
astar,crowdnav_attngraph,CrowdNav AttnGraph,400,0.4325,9,100,0.66,3,6
astar,cadrl_upstream,CADRL (upstream),400,0.43,10,100,0.21,11,-1
astar,mpc,MPC,400,0.31,11,100,0.23,10,1
astar,astar,A*,400,0.305,12,100,0.13,13,-1
astar,dijkstra,Dijkstra,400,0.2625,13,100,0.13,14,-1
astar,mpc_dompc,MPC (do-mpc),400,0.2225,14,100,0.11,15,-1
astar,orca,ORCA (RVO2),400,0.185,15,100,0.14,12,3
astar,teb_upstream,TEB (upstream),400,0.07,16,100,0.05,16,0
astar,rrt,RRT,400,0.0425,17,100,0.0,17,0
astar,teb,TEB,400,0.0275,18,100,0.0,18,0
dijkstra,sarl_upstream,SARL (upstream),400,0.7725,1,100,0.72,2,-1
dijkstra,sarl,SARL,400,0.7475,2,100,0.46,7,-5
dijkstra,orca_heuristic,ORCA (heuristic),400,0.705,3,100,0.75,1,2
dijkstra,cadrl,CADRL,400,0.5425,4,100,0.38,8,-4
dijkstra,lstm_rl,LSTM-RL,400,0.5425,5,100,0.51,4,1
dijkstra,lstm_rl_upstream,LSTM-RL (upstream),400,0.49,6,100,0.34,9,-3
dijkstra,dwa,DWA,400,0.4725,7,100,0.48,6,1
dijkstra,crowdnav_dsrnn,CrowdNav DS-RNN,400,0.45,8,100,0.49,5,3
dijkstra,crowdnav_attngraph,CrowdNav AttnGraph,400,0.4375,9,100,0.66,3,6
dijkstra,cadrl_upstream,CADRL (upstream),400,0.4125,10,100,0.21,11,-1
dijkstra,mpc,MPC,400,0.305,11,100,0.23,10,1
dijkstra,astar,A*,400,0.2925,12,100,0.13,13,-1
dijkstra,dijkstra,Dijkstra,400,0.2925,13,100,0.13,14,-1
dijkstra,mpc_dompc,MPC (do-mpc),400,0.22,14,100,0.11,15,-1
dijkstra,orca,ORCA (RVO2),400,0.1875,15,100,0.14,12,3
dijkstra,teb_upstream,TEB (upstream),400,0.065,16,100,0.05,16,0
dijkstra,rrt,RRT,400,0.04,17,100,0.0,17,0
dijkstra,teb,TEB,400,0.0275,18,100,0.0,18,0
rrt,sarl_upstream,SARL (upstream),400,0.6525,1,100,0.44,3,-2
rrt,orca_heuristic,ORCA (heuristic),400,0.645,2,100,0.69,1,1
rrt,sarl,SARL,400,0.5925,3,100,0.22,13,-10
rrt,crowdnav_attngraph,CrowdNav AttnGraph,400,0.54,4,99,0.5253,2,2
rrt,dwa,DWA,400,0.5225,5,100,0.34,8,-3
rrt,crowdnav_dsrnn,CrowdNav DS-RNN,400,0.44,6,100,0.43,4,2
rrt,lstm_rl,LSTM-RL,400,0.44,7,100,0.43,5,2
rrt,cadrl,CADRL,400,0.3975,8,100,0.36,7,1
rrt,lstm_rl_upstream,LSTM-RL (upstream),400,0.3375,9,100,0.42,6,3
rrt,mpc,MPC,400,0.32,10,100,0.29,10,0
rrt,mpc_dompc,MPC (do-mpc),400,0.3075,11,100,0.31,9,2
rrt,orca,ORCA (RVO2),400,0.3075,12,100,0.25,12,0
rrt,dijkstra,Dijkstra,400,0.235,13,100,0.27,11,2
rrt,cadrl_upstream,CADRL (upstream),400,0.2325,14,100,0.14,16,-2
rrt,teb_upstream,TEB (upstream),400,0.19,15,100,0.15,15,0
rrt,astar,A*,400,0.1175,16,100,0.15,14,2
rrt,rrt,RRT,400,0.075,17,100,0.06,17,0
rrt,teb,TEB,400,0.055,18,100,0.04,18,0
