combination,global_planner,local_planner,combination_name,sim_n,sim_success,sim_rank,real_n,real_success,real_rank,rank_shift
astar+sarl_upstream,astar,sarl_upstream,A* + SARL (upstream),400,0.785,1,100,0.72,3,-2
dijkstra+sarl_upstream,dijkstra,sarl_upstream,Dijkstra + SARL (upstream),400,0.7725,2,100,0.72,4,-2
astar+sarl,astar,sarl,A* + SARL,400,0.75,3,100,0.46,15,-12
dijkstra+sarl,dijkstra,sarl,Dijkstra + SARL,400,0.7475,4,100,0.46,16,-12
astar+orca_heuristic,astar,orca_heuristic,A* + ORCA (heuristic),400,0.7175,5,100,0.75,1,4
dijkstra+orca_heuristic,dijkstra,orca_heuristic,Dijkstra + ORCA (heuristic),400,0.705,6,100,0.75,2,4
rrt+sarl_upstream,rrt,sarl_upstream,RRT + SARL (upstream),400,0.6525,7,100,0.44,17,-10
rrt+orca_heuristic,rrt,orca_heuristic,RRT + ORCA (heuristic),400,0.645,8,100,0.69,5,3
rrt+sarl,rrt,sarl,RRT + SARL,400,0.5925,9,100,0.22,33,-24
astar+lstm_rl,astar,lstm_rl,A* + LSTM-RL,400,0.5725,10,100,0.51,9,1
astar+cadrl,astar,cadrl,A* + CADRL,400,0.55,11,100,0.38,21,-10
dijkstra+cadrl,dijkstra,cadrl,Dijkstra + CADRL,400,0.5425,12,100,0.38,22,-10
dijkstra+lstm_rl,dijkstra,lstm_rl,Dijkstra + LSTM-RL,400,0.5425,13,100,0.51,10,3
rrt+crowdnav_attngraph,rrt,crowdnav_attngraph,RRT + CrowdNav AttnGraph,400,0.54,14,99,0.5253,8,6
rrt+dwa,rrt,dwa,RRT + DWA,400,0.5225,15,100,0.34,26,-11
astar+lstm_rl_upstream,astar,lstm_rl_upstream,A* + LSTM-RL (upstream),400,0.4925,16,100,0.34,24,-8
dijkstra+lstm_rl_upstream,dijkstra,lstm_rl_upstream,Dijkstra + LSTM-RL (upstream),400,0.49,17,100,0.34,25,-8
astar+dwa,astar,dwa,A* + DWA,400,0.4825,18,100,0.48,13,5
dijkstra+dwa,dijkstra,dwa,Dijkstra + DWA,400,0.4725,19,100,0.48,14,5
astar+crowdnav_dsrnn,astar,crowdnav_dsrnn,A* + CrowdNav DS-RNN,400,0.46,20,100,0.49,11,9
dijkstra+crowdnav_dsrnn,dijkstra,crowdnav_dsrnn,Dijkstra + CrowdNav DS-RNN,400,0.45,21,100,0.49,12,9
rrt+crowdnav_dsrnn,rrt,crowdnav_dsrnn,RRT + CrowdNav DS-RNN,400,0.44,22,100,0.43,18,4
rrt+lstm_rl,rrt,lstm_rl,RRT + LSTM-RL,400,0.44,23,100,0.43,19,4
dijkstra+crowdnav_attngraph,dijkstra,crowdnav_attngraph,Dijkstra + CrowdNav AttnGraph,400,0.4375,24,100,0.66,7,17
astar+crowdnav_attngraph,astar,crowdnav_attngraph,A* + CrowdNav AttnGraph,400,0.4325,25,100,0.66,6,19
astar+cadrl_upstream,astar,cadrl_upstream,A* + CADRL (upstream),400,0.43,26,100,0.21,34,-8
