map,global_planner,algorithm,n,success_rate
map1_straight,astar,astar,100,0.4
map1_straight,astar,cadrl,100,0.64
map1_straight,astar,cadrl_upstream,100,0.56
map1_straight,astar,crowdnav_attngraph,100,0.6
map1_straight,astar,crowdnav_dsrnn,100,0.58
map1_straight,astar,dijkstra,100,0.39
map1_straight,astar,dwa,100,0.56
map1_straight,astar,lstm_rl,100,0.78
map1_straight,astar,lstm_rl_upstream,100,0.64
map1_straight,astar,mpc,100,0.33
map1_straight,astar,mpc_dompc,100,0.19
map1_straight,astar,orca,100,0.14
map1_straight,astar,orca_heuristic,100,0.78
map1_straight,astar,rrt,100,0.02
map1_straight,astar,sarl,100,0.9
map1_straight,astar,sarl_upstream,100,0.9
map1_straight,astar,teb,100,0.02
map1_straight,astar,teb_upstream,100,0.07
map1_straight,dijkstra,astar,100,0.4
map1_straight,dijkstra,cadrl,100,0.64
map1_straight,dijkstra,cadrl_upstream,100,0.56
map1_straight,dijkstra,crowdnav_attngraph,100,0.6
map1_straight,dijkstra,crowdnav_dsrnn,100,0.58
map1_straight,dijkstra,dijkstra,100,0.39
map1_straight,dijkstra,dwa,100,0.56
map1_straight,dijkstra,lstm_rl,100,0.78
map1_straight,dijkstra,lstm_rl_upstream,100,0.64
map1_straight,dijkstra,mpc,100,0.33
map1_straight,dijkstra,mpc_dompc,100,0.19
map1_straight,dijkstra,orca,100,0.14
map1_straight,dijkstra,orca_heuristic,100,0.78
map1_straight,dijkstra,rrt,100,0.02
map1_straight,dijkstra,sarl,100,0.9
map1_straight,dijkstra,sarl_upstream,100,0.9
map1_straight,dijkstra,teb,100,0.02
map1_straight,dijkstra,teb_upstream,100,0.07
map1_straight,rrt,astar,100,0.17
map1_straight,rrt,cadrl,100,0.46
map1_straight,rrt,cadrl_upstream,100,0.4
map1_straight,rrt,crowdnav_attngraph,100,0.72
map1_straight,rrt,crowdnav_dsrnn,100,0.55
map1_straight,rrt,dijkstra,100,0.29
map1_straight,rrt,dwa,100,0.72
map1_straight,rrt,lstm_rl,100,0.63
map1_straight,rrt,lstm_rl_upstream,100,0.44
map1_straight,rrt,mpc,100,0.34
map1_straight,rrt,mpc_dompc,100,0.27
map1_straight,rrt,orca,100,0.36
map1_straight,rrt,orca_heuristic,100,0.75
map1_straight,rrt,rrt,100,0.19
map1_straight,rrt,sarl,100,0.77
map1_straight,rrt,sarl_upstream,100,0.74
map1_straight,rrt,teb,100,0.12
map1_straight,rrt,teb_upstream,100,0.31
map2_crossing,astar,astar,100,0.46
map2_crossing,astar,cadrl,100,0.67
map2_crossing,astar,cadrl_upstream,100,0.46
map2_crossing,astar,crowdnav_attngraph,100,0.47
map2_crossing,astar,crowdnav_dsrnn,100,0.58
map2_crossing,astar,dijkstra,100,0.38
map2_crossing,astar,dwa,100,0.6
map2_crossing,astar,lstm_rl,100,0.56
map2_crossing,astar,lstm_rl_upstream,100,0.57
map2_crossing,astar,mpc,100,0.42
map2_crossing,astar,mpc_dompc,100,0.42
map2_crossing,astar,orca,100,0.38
map2_crossing,astar,orca_heuristic,100,0.78
map2_crossing,astar,rrt,100,0.11
map2_crossing,astar,sarl,100,0.84
map2_crossing,astar,sarl_upstream,100,0.82
map2_crossing,astar,teb,100,0.07
map2_crossing,astar,teb_upstream,100,0.12
map2_crossing,dijkstra,astar,100,0.47
map2_crossing,dijkstra,cadrl,100,0.68
map2_crossing,dijkstra,cadrl_upstream,100,0.43
map2_crossing,dijkstra,crowdnav_attngraph,100,0.48
map2_crossing,dijkstra,crowdnav_dsrnn,100,0.54
map2_crossing,dijkstra,dijkstra,100,0.47
map2_crossing,dijkstra,dwa,100,0.62
map2_crossing,dijkstra,lstm_rl,100,0.48
map2_crossing,dijkstra,lstm_rl_upstream,100,0.56
map2_crossing,dijkstra,mpc,100,0.41
map2_crossing,dijkstra,mpc_dompc,100,0.4
map2_crossing,dijkstra,orca,100,0.4
map2_crossing,dijkstra,orca_heuristic,100,0.76
map2_crossing,dijkstra,rrt,100,0.1
map2_crossing,dijkstra,sarl,100,0.83
map2_crossing,dijkstra,sarl_upstream,100,0.8
map2_crossing,dijkstra,teb,100,0.07
map2_crossing,dijkstra,teb_upstream,100,0.11
map2_crossing,rrt,astar,100,0.16
map2_crossing,rrt,cadrl,100,0.57
map2_crossing,rrt,cadrl_upstream,100,0.32
map2_crossing,rrt,crowdnav_attngraph,100,0.65
map2_crossing,rrt,crowdnav_dsrnn,100,0.59
map2_crossing,rrt,dijkstra,100,0.38
map2_crossing,rrt,dwa,100,0.69
map2_crossing,rrt,lstm_rl,100,0.58
map2_crossing,rrt,lstm_rl_upstream,100,0.55
map2_crossing,rrt,mpc,100,0.39
map2_crossing,rrt,mpc_dompc,100,0.44
map2_crossing,rrt,orca,100,0.45
map2_crossing,rrt,orca_heuristic,100,0.66
map2_crossing,rrt,rrt,100,0.09
