unit,unit_name,n,goal_n,goal_rate,goal_lo,goal_hi,collision_n,collision_rate,collision_lo,collision_hi,timeout_n,timeout_rate,timeout_lo,timeout_hi,stuck_n,stuck_rate,stuck_lo,stuck_hi,no_n,no_rate,no_lo,no_hi,other_n,other_rate,other_lo,other_hi
rrt+rrt,RRT + RRT,500,102,0.204,0.171,0.2415,371,0.742,0.7019,0.7784,8,0.016,0.0081,0.0313,0,0.0,0.0,0.0076,19,0.038,0.0245,0.0586,0,0.0,0.0,0.0076
rrt+cadrl_upstream,RRT + CADRL (upstream),500,121,0.242,0.2065,0.2814,321,0.642,0.599,0.6828,27,0.054,0.0374,0.0774,8,0.016,0.0081,0.0313,23,0.046,0.0308,0.0681,0,0.0,0.0,0.0076
rrt+dijkstra,RRT + Dijkstra,500,179,0.358,0.3172,0.401,292,0.584,0.5403,0.6264,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,29,0.058,0.0407,0.0821,0,0.0,0.0,0.0076
astar+cadrl_upstream,A* + CADRL (upstream),500,186,0.372,0.3308,0.4152,290,0.58,0.5363,0.6225,8,0.016,0.0081,0.0313,16,0.032,0.0198,0.0513,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
rrt+teb,RRT + TEB (ours),500,187,0.374,0.3327,0.4172,273,0.546,0.5022,0.5891,4,0.008,0.0031,0.0204,0,0.0,0.0,0.0076,36,0.072,0.0525,0.0981,0,0.0,0.0,0.0076
astar+crowdnav_attngraph,A* + CrowdNav AttnGraph,500,189,0.378,0.3366,0.4213,207,0.414,0.3716,0.4577,102,0.204,0.171,0.2415,2,0.004,0.0011,0.0145,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
dijkstra+cadrl_upstream,Dijkstra + CADRL (upstream),500,189,0.378,0.3366,0.4213,287,0.574,0.5303,0.6166,8,0.016,0.0081,0.0313,16,0.032,0.0198,0.0513,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
dijkstra+crowdnav_attngraph,Dijkstra + CrowdNav AttnGraph,500,190,0.38,0.3385,0.4233,202,0.404,0.3619,0.4476,106,0.212,0.1784,0.25,2,0.004,0.0011,0.0145,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
rrt+teb_upstream,RRT + TEB (upstream),500,198,0.396,0.3541,0.4395,281,0.562,0.5182,0.6049,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,21,0.042,0.0276,0.0634,0,0.0,0.0,0.0076
rrt+astar,RRT + A*,500,214,0.428,0.3853,0.4718,240,0.48,0.4365,0.5238,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,46,0.092,0.0697,0.1205,0,0.0,0.0,0.0076
dijkstra+rrt,Dijkstra + RRT,500,215,0.43,0.3873,0.4738,277,0.554,0.5102,0.597,8,0.016,0.0081,0.0313,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
dijkstra+dijkstra,Dijkstra + Dijkstra,500,216,0.432,0.3893,0.4758,284,0.568,0.5242,0.6107,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
astar+dijkstra,A* + Dijkstra,500,217,0.434,0.3912,0.4778,283,0.566,0.5222,0.6088,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
dijkstra+teb,Dijkstra + TEB (ours),500,218,0.436,0.3932,0.4798,271,0.542,0.4982,0.5852,11,0.022,0.0123,0.039,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
rrt+crowdnav_attngraph,RRT + CrowdNav AttnGraph,498,219,0.4398,0.3968,0.4837,181,0.3635,0.3224,0.4066,64,0.1285,0.1019,0.1608,3,0.006,0.0021,0.0176,31,0.0622,0.0442,0.087,0,0.0,0.0,0.0077
astar+teb,A* + TEB (ours),500,222,0.444,0.401,0.4878,267,0.534,0.4902,0.5773,11,0.022,0.0123,0.039,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
astar+rrt,A* + RRT,500,224,0.448,0.405,0.4918,268,0.536,0.4922,0.5793,8,0.016,0.0081,0.0313,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
rrt+lstm_rl_upstream,RRT + LSTM-RL (upstream),500,255,0.51,0.4663,0.5536,217,0.434,0.3912,0.4778,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,28,0.056,0.039,0.0797,0,0.0,0.0,0.0076
dijkstra+astar,Dijkstra + A*,500,263,0.526,0.4822,0.5694,237,0.474,0.4306,0.5178,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
astar+astar,A* + A*,500,267,0.534,0.4902,0.5773,233,0.466,0.4227,0.5098,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
rrt+crowdnav_dsrnn,RRT + CrowdNav DS-RNN,500,293,0.586,0.5423,0.6284,184,0.368,0.3269,0.4111,1,0.002,0.0004,0.0112,0,0.0,0.0,0.0076,22,0.044,0.0292,0.0657,0,0.0,0.0,0.0076
dijkstra+orca,Dijkstra + ORCA (RVO2),500,300,0.6,0.5565,0.642,189,0.378,0.3366,0.4213,0,0.0,0.0,0.0076,11,0.022,0.0123,0.039,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
rrt+orca,RRT + ORCA (RVO2),500,302,0.604,0.5605,0.6459,162,0.324,0.2845,0.3662,0,0.0,0.0,0.0076,13,0.026,0.0153,0.044,23,0.046,0.0308,0.0681,0,0.0,0.0,0.0076
rrt+dwa,RRT + DWA (ours),500,305,0.61,0.5666,0.6518,144,0.288,0.25,0.3292,0,0.0,0.0,0.0076,26,0.052,0.0357,0.0751,25,0.05,0.0341,0.0728,0,0.0,0.0,0.0076
dijkstra+crowdnav_dsrnn,Dijkstra + CrowdNav DS-RNN,500,307,0.614,0.5706,0.6556,193,0.386,0.3444,0.4294,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
rrt+lstm_rl,RRT + LSTM-RL (ours),499,307,0.6152,0.5718,0.6569,157,0.3146,0.2754,0.3567,2,0.004,0.0011,0.0145,2,0.004,0.0011,0.0145,31,0.0621,0.0441,0.0868,0,0.0,0.0,0.0076
rrt+sarl,RRT + SARL (ours),499,308,0.6172,0.5738,0.6588,121,0.2425,0.2069,0.282,33,0.0661,0.0475,0.0914,12,0.024,0.0138,0.0416,25,0.0501,0.0342,0.0729,0,0.0,0.0,0.0076
astar+orca,A* + ORCA (RVO2),500,312,0.624,0.5807,0.6654,177,0.354,0.3133,0.3969,0,0.0,0.0,0.0076,11,0.022,0.0123,0.039,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
astar+crowdnav_dsrnn,A* + CrowdNav DS-RNN,500,313,0.626,0.5828,0.6673,187,0.374,0.3327,0.4172,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
dijkstra+lstm_rl_upstream,Dijkstra + LSTM-RL (upstream),500,315,0.63,0.5868,0.6712,185,0.37,0.3288,0.4132,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
astar+lstm_rl_upstream,A* + LSTM-RL (upstream),500,323,0.646,0.6031,0.6867,177,0.354,0.3133,0.3969,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
rrt+sarl_upstream,RRT + SARL (upstream),500,323,0.646,0.6031,0.6867,144,0.288,0.25,0.3292,4,0.008,0.0031,0.0204,0,0.0,0.0,0.0076,29,0.058,0.0407,0.0821,0,0.0,0.0,0.0076
dijkstra+sarl,Dijkstra + SARL (ours),499,326,0.6533,0.6105,0.6937,121,0.2425,0.2069,0.282,21,0.0421,0.0277,0.0635,31,0.0621,0.0441,0.0868,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
astar+sarl,A* + SARL (ours),499,330,0.6613,0.6187,0.7015,116,0.2325,0.1975,0.2715,20,0.0401,0.0261,0.0611,33,0.0661,0.0475,0.0914,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
