algorithm,goal,collision,max_time,stalled,global_plan_failed,planner_error,n,goal_pct,collision_pct,max_time_pct,stalled_pct,global_plan_failed_pct,planner_error_pct
astar+dwa,353,128,0,19,0,0,500,70.6,25.6,0.0,3.8,0.0,0.0
astar+astar,267,233,0,0,0,0,500,53.4,46.6,0.0,0.0,0.0,0.0
astar+cadrl,355,126,10,9,0,0,500,71.0,25.2,2.0,1.8,0.0,0.0
astar+cadrl_upstream,186,290,8,16,0,0,500,37.2,58.0,1.6,3.2,0.0,0.0
astar+crowdnav_attngraph,189,207,102,2,0,0,500,37.8,41.4,20.4,0.4,0.0,0.0
astar+crowdnav_dsrnn,313,187,0,0,0,0,500,62.6,37.4,0.0,0.0,0.0,0.0
astar+dijkstra,217,283,0,0,0,0,500,43.4,56.6,0.0,0.0,0.0,0.0
astar+lstm_rl,351,149,0,0,0,0,500,70.2,29.8,0.0,0.0,0.0,0.0
astar+lstm_rl_upstream,323,177,0,0,0,0,500,64.6,35.4,0.0,0.0,0.0,0.0
astar+mpc,387,101,12,0,0,0,500,77.4,20.2,2.4,0.0,0.0,0.0
astar+mpc_dompc,376,120,4,0,0,0,500,75.2,24.0,0.8,0.0,0.0,0.0
astar+orca,312,177,0,11,0,0,500,62.4,35.4,0.0,2.2,0.0,0.0
astar+orca_heuristic,402,78,0,20,0,0,500,80.4,15.6,0.0,4.0,0.0,0.0
astar+rrt,224,268,8,0,0,0,500,44.8,53.6,1.6,0.0,0.0,0.0
astar+sarl,330,116,20,33,0,0,499,66.1,23.2,4.0,6.6,0.0,0.0
astar+sarl_upstream,375,124,1,0,0,0,500,75.0,24.8,0.2,0.0,0.0,0.0
astar+teb,222,267,11,0,0,0,500,44.4,53.4,2.2,0.0,0.0,0.0
astar+teb_upstream,355,145,0,0,0,0,500,71.0,29.0,0.0,0.0,0.0,0.0
dijkstra+astar,263,237,0,0,0,0,500,52.6,47.4,0.0,0.0,0.0,0.0
dijkstra+cadrl,352,129,10,9,0,0,500,70.4,25.8,2.0,1.8,0.0,0.0
dijkstra+cadrl_upstream,189,287,8,16,0,0,500,37.8,57.4,1.6,3.2,0.0,0.0
dijkstra+crowdnav_attngraph,190,202,106,2,0,0,500,38.0,40.4,21.2,0.4,0.0,0.0
dijkstra+crowdnav_dsrnn,307,193,0,0,0,0,500,61.4,38.6,0.0,0.0,0.0,0.0
dijkstra+dijkstra,216,284,0,0,0,0,500,43.2,56.8,0.0,0.0,0.0,0.0
dijkstra+dwa,346,137,0,17,0,0,500,69.2,27.4,0.0,3.4,0.0,0.0
dijkstra+lstm_rl,345,155,0,0,0,0,500,69.0,31.0,0.0,0.0,0.0,0.0
dijkstra+lstm_rl_upstream,315,185,0,0,0,0,500,63.0,37.0,0.0,0.0,0.0,0.0
dijkstra+mpc,376,112,12,0,0,0,500,75.2,22.4,2.4,0.0,0.0,0.0
dijkstra+mpc_dompc,375,121,4,0,0,0,500,75.0,24.2,0.8,0.0,0.0,0.0
dijkstra+orca,300,189,0,11,0,0,500,60.0,37.8,0.0,2.2,0.0,0.0
dijkstra+orca_heuristic,386,95,0,19,0,0,500,77.2,19.0,0.0,3.8,0.0,0.0
dijkstra+rrt,215,277,8,0,0,0,500,43.0,55.4,1.6,0.0,0.0,0.0
dijkstra+sarl,326,121,21,31,0,0,499,65.3,24.2,4.2,6.2,0.0,0.0
dijkstra+sarl_upstream,365,134,1,0,0,0,500,73.0,26.8,0.2,0.0,0.0,0.0
dijkstra+teb,218,271,11,0,0,0,500,43.6,54.2,2.2,0.0,0.0,0.0
dijkstra+teb_upstream,345,155,0,0,0,0,500,69.0,31.0,0.0,0.0,0.0,0.0
rrt+astar,214,240,0,0,46,0,500,42.8,48.0,0.0,0.0,9.2,0.0
rrt+cadrl,342,124,7,5,22,0,500,68.4,24.8,1.4,1.0,4.4,0.0
rrt+cadrl_upstream,121,321,27,8,23,0,500,24.2,64.2,5.4,1.6,4.6,0.0
rrt+crowdnav_attngraph,219,181,64,3,31,0,498,44.0,36.3,12.9,0.6,6.2,0.0
rrt+crowdnav_dsrnn,293,184,1,0,22,0,500,58.6,36.8,0.2,0.0,4.4,0.0
rrt+dijkstra,179,292,0,0,29,0,500,35.8,58.4,0.0,0.0,5.8,0.0
rrt+dwa,305,144,0,26,25,0,500,61.0,28.8,0.0,5.2,5.0,0.0
rrt+lstm_rl,307,157,2,2,31,0,499,61.5,31.5,0.4,0.4,6.2,0.0
rrt+lstm_rl_upstream,255,217,0,0,28,0,500,51.0,43.4,0.0,0.0,5.6,0.0
rrt+mpc,374,101,3,0,20,0,498,75.1,20.3,0.6,0.0,4.0,0.0
rrt+mpc_dompc,379,99,2,0,20,0,500,75.8,19.8,0.4,0.0,4.0,0.0
rrt+orca,302,162,0,13,23,0,500,60.4,32.4,0.0,2.6,4.6,0.0
rrt+orca_heuristic,365,62,0,57,16,0,500,73.0,12.4,0.0,11.4,3.2,0.0
rrt+rrt,102,371,8,0,19,0,500,20.4,74.2,1.6,0.0,3.8,0.0
rrt+sarl,308,121,33,12,25,0,499,61.7,24.2,6.6,2.4,5.0,0.0
rrt+sarl_upstream,323,144,4,0,29,0,500,64.6,28.8,0.8,0.0,5.8,0.0
rrt+teb,187,273,4,0,36,0,500,37.4,54.6,0.8,0.0,7.2,0.0
rrt+teb_upstream,198,281,0,0,21,0,500,39.6,56.2,0.0,0.0,4.2,0.0
