"term","estimate","se","ci_lo","ci_hi"
"(Intercept)",1.06599692341034,0.159233481646797,0.753899299382621,1.37809454743807
"algorithmastar+astar",-0.899099546435778,0.146358734317685,-1.18596266569844,-0.612236427173116
"algorithmastar+cadrl",0.0232069314522209,0.152182414168234,-0.275070600317517,0.321484463221959
"algorithmastar+cadrl_upstream",-1.70695066044183,0.148421922725933,-1.99785762898466,-1.41604369189901
"algorithmastar+crowdnav_attngraph",-1.67580953287823,0.148218672530125,-1.96631813103727,-1.38530093471918
"algorithmastar+crowdnav_dsrnn",-0.43586845052283,0.148111371923523,-0.726166739492936,-0.145570161552725
"algorithmastar+dijkstra",-1.39193451824897,0.146837904183165,-1.67973681044797,-1.10413222604996
"algorithmastar+lstm_rl",-0.0229514679961576,0.151655871359447,-0.320196975860674,0.274294039868359
"algorithmastar+lstm_rl_upstream",-0.330906305150801,0.148823635569125,-0.622600630866287,-0.0392119794353162
"algorithmastar+mpc",0.420936790287522,0.157970403338848,0.111314799743379,0.730558780831664
"algorithmastar+mpc_dompc",0.2776092131629,0.155611979630899,-0.0273902669136625,0.582608693239462
"algorithmastar+orca",-0.446252308226531,0.148047521035333,-0.736425449455783,-0.156079166997278
"algorithmastar+orca_heuristic",0.631364562101336,0.162057746409905,0.313731379137922,0.94899774506475
"algorithmastar+rrt",-1.32236287156228,0.146625204242277,-1.60974827187715,-1.03497747124742
"algorithmastar+sarl",-0.250887727266591,0.149548144523906,-0.544002090533446,0.0422266360002652
"algorithmastar+sarl_upstream",0.264965832504658,0.15541934360433,-0.0396560809598285,0.569587745969144
"algorithmastar+teb",-1.34220165936011,0.146680926933413,-1.6296962761496,-1.05470704257062
"algorithmastar+teb_upstream",0.0232069314522282,0.152182414168236,-0.275070600317514,0.32148446322197
"algorithmdijkstra+astar",-0.93850166335153,0.146309476959932,-1.225268238193,-0.651735088510063
"algorithmdijkstra+cadrl",-0.0114697698327093,0.151784234640924,-0.30896686972892,0.286027330063501
"algorithmdijkstra+cadrl_upstream",-1.67580953287823,0.148218672530137,-1.96631813103729,-1.38530093471916
"algorithmdijkstra+crowdnav_attngraph",-1.66546736423816,0.148153497064583,-1.95584821848475,-1.37508650999158
