k,log_odds,vb_sd,estimate,se
intercept,0.981,0.01428571428571427,1.06599692341034,0.159233481646797
algo:astar+astar,-0.813,0.09872448979591837,-0.899099546435778,0.146358734317685
algo:astar+cadrl,0.112,0.10739795918367348,0.0232069314522209,0.152182414168234
algo:astar+cadrl_upstream,-1.621,0.101530612244898,-1.70695066044183,0.148421922725933
algo:astar+crowdnav_attngraph,-1.59,0.10102040816326534,-1.67580953287823,0.148218672530125
algo:astar+crowdnav_dsrnn,-0.349,0.10127551020408164,-0.43586845052283,0.148111371923523
algo:astar+dijkstra,-1.306,0.09948979591836732,-1.39193451824897,0.146837904183165
algo:astar+lstm_rl,0.065,0.1066326530612245,-0.0229514679961576,0.151655871359447
algo:astar+lstm_rl_upstream,-0.243,0.10255102040816327,-0.330906305150801,0.148823635569125
algo:astar+mpc,0.51,0.1153061224489796,0.420936790287522,0.157970403338848
algo:astar+mpc_dompc,0.367,0.11198979591836733,0.2776092131629,0.155611979630899
algo:astar+orca,-0.359,0.10153061224489797,-0.446252308226531,0.148047521035333
algo:astar+orca_heuristic,0.722,0.12066326530612244,0.631364562101336,0.162057746409905
algo:astar+rrt,-1.236,0.09897959183673467,-1.32236287156228,0.146625204242277
algo:astar+sarl,-0.163,0.10357142857142856,-0.250887727266591,0.149548144523906
algo:astar+sarl_upstream,0.354,0.11173469387755101,0.264965832504658,0.15541934360433
algo:astar+teb,-1.256,0.09897959183673467,-1.34220165936011,0.146680926933413
algo:astar+teb_upstream,0.112,0.10739795918367348,0.0232069314522282,0.152182414168236
algo:dijkstra+astar,-0.852,0.0989795918367347,-0.93850166335153,0.146309476959932
algo:dijkstra+cadrl,0.077,0.10663265306122449,-0.0114697698327093,0.151784234640924
algo:dijkstra+cadrl_upstream,-1.59,0.10102040816326534,-1.67580953287823,0.148218672530137
algo:dijkstra+crowdnav_attngraph,-1.58,0.10127551020408164,-1.66546736423816,0.148153497064583
algo:dijkstra+crowdnav_dsrnn,-0.411,0.10102040816326531,-0.497888627455803,0.147747354126213
algo:dijkstra+dijkstra,-1.316,0.09948979591836732,-1.40190751918602,0.146872371569783
algo:dijkstra+dwa,0.008,0.10586734693877552,-0.0797874647247657,0.151045501075976
algo:dijkstra+lstm_rl,-0.003,0.10561224489795919,-0.091041424632733,0.150929522760109
algo:dijkstra+lstm_rl_upstream,-0.328,0.1017857142857143,-0.41504051192416,0.148242997907724
algo:dijkstra+mpc,0.367,0.11198979591836733,0.277609213162901,0.155611979630891
algo:dijkstra+mpc_dompc,0.354,0.11173469387755101,0.264965832504659,0.15541934360433
algo:dijkstra+orca,-0.482,0.10025510204081635,-0.569473525166819,0.147378340742311
algo:dijkstra+orca_heuristic,0.497,0.11479591836734693,0.407560652477623,0.157736345832294
algo:dijkstra+rrt,-1.326,0.09948979591836732,-1.41189021641784,0.146907876466396
algo:dijkstra+sarl,-0.206,0.10306122448979592,-0.29396897456801,0.149199744354154
algo:dijkstra+sarl_upstream,0.23,0.10943877551020408,0.141609374508033,0.153664263350803
algo:dijkstra+teb,-1.296,0.09948979591836737,-1.38197085909957,0.146804468370695
algo:dijkstra+teb_upstream,-0.003,0.10561224489795919,-0.0910414246327324,0.150929522760102
algo:rrt+astar,-1.336,0.09948979591836732,-1.42188292121235,0.146944424861843
algo:rrt+cadrl,-0.037,0.10510204081632654,-0.124611232380437,0.150592995946046
algo:rrt+cadrl_upstream,-2.362,0.11249999999999996,-2.44801258043005,0.156713984626196
algo:rrt+crowdnav_attngraph,-1.283,0.09948979591836732,-1.36883557312642,0.146855960622287
algo:rrt+crowdnav_dsrnn,-0.553,0.09974489795918368,-0.640342296975575,0.147065940859081
algo:rrt+dijkstra,-1.694,0.10229591836734694,-1.78031984982894,0.14894288367156
algo:rrt+dwa,-0.431,0.10076530612244898,-0.518421117263221,0.147635952976154
algo:rrt+lstm_rl,-0.407,0.10102040816326531,-0.493986233733446,0.14785439463869
algo:rrt+lstm_rl_upstream,-0.931,0.0987244897959184,-1.0171571541355,0.146256686192602
algo:rrt+mpc,0.353,0.11224489795918366,0.264024510634436,0.155659147720744
algo:rrt+mpc_dompc,0.405,0.11275510204081633,0.315908070227534,0.156210446026929
algo:rrt+orca,-0.462,0.10051020408163266,-0.549098940772329,0.147477853926343
algo:rrt+orca_heuristic,0.23,0.10943877551020408,0.141609374508031,0.153664263350818
algo:rrt+rrt,-2.618,0.11887755102040821,-2.70525703930125,0.161428427154102
algo:rrt+sarl,-0.394,0.10127551020408163,-0.481721333227695,0.147926498387193
algo:rrt+sarl_upstream,-0.243,0.10255102040816327,-0.330906305150803,0.148823635569128
algo:rrt+teb,-1.611,0.10127551020408164,-1.69655071653115,0.148352871884069
algo:rrt+teb_upstream,-1.497,0.10025510204081634,-1.58334806829501,0.147676609927452
cov:task_path_length_m,-0.459,0.014030612244897957,-0.473843470198015,0.124727044765551
cov:task_n_turns,-0.098,0.013775510204081635,-0.0887579946967657,0.106459351857471
cov:task_min_sidewalk_width_m,0.126,0.013265306122448977,0.12308680939667,0.0672494546854416
cov:task_n_signalised_junctions,-0.458,0.014795918367346938,-0.425750445783573,0.117338271958092
cov:demand_total_ph,-0.265,0.014030612244897957,-0.275472055754863,0.0921167954058033
