term,coef,ci_lo,ci_hi,p
Intercept,0.527,0.434,0.62,0.0
C(algorithm)[T.astar+astar],-0.098,-0.145,-0.05,0.0001
C(algorithm)[T.astar+cadrl],0.054,0.007,0.102,0.0258
C(algorithm)[T.astar+cadrl_upstream],-0.012,-0.06,0.036,0.6267
C(algorithm)[T.astar+crowdnav_attngraph],-0.013,-0.061,0.034,0.5803
C(algorithm)[T.astar+crowdnav_dsrnn],-0.012,-0.06,0.036,0.6146
C(algorithm)[T.astar+dijkstra],-0.109,-0.157,-0.061,0.0
C(algorithm)[T.astar+lstm_rl],-0.037,-0.085,0.011,0.1292
C(algorithm)[T.astar+lstm_rl_upstream],-0.054,-0.102,-0.006,0.0274
C(algorithm)[T.astar+mpc],0.032,-0.016,0.08,0.1894
C(algorithm)[T.astar+mpc_dompc],-0.094,-0.141,-0.046,0.0001
C(algorithm)[T.astar+orca],-0.097,-0.144,-0.049,0.0001
C(algorithm)[T.astar+orca_heuristic],0.031,-0.017,0.079,0.2042
C(algorithm)[T.astar+rrt],-0.117,-0.165,-0.069,0.0
C(algorithm)[T.astar+sarl],0.033,-0.015,0.081,0.1792
C(algorithm)[T.astar+sarl_upstream],0.015,-0.033,0.063,0.5448
C(algorithm)[T.astar+teb],-0.088,-0.136,-0.04,0.0003
C(algorithm)[T.astar+teb_upstream],-0.003,-0.051,0.045,0.9106
C(algorithm)[T.dijkstra+astar],-0.102,-0.15,-0.054,0.0
C(algorithm)[T.dijkstra+cadrl],0.053,0.005,0.1,0.0309
C(algorithm)[T.dijkstra+cadrl_upstream],-0.012,-0.06,0.036,0.6139
C(algorithm)[T.dijkstra+crowdnav_attngraph],-0.012,-0.06,0.035,0.6105
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.02,-0.068,0.027,0.402
C(algorithm)[T.dijkstra+dijkstra],-0.112,-0.16,-0.065,0.0
C(algorithm)[T.dijkstra+dwa],-0.005,-0.053,0.043,0.8396
C(algorithm)[T.dijkstra+lstm_rl],-0.041,-0.089,0.007,0.0918
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.06,-0.108,-0.012,0.0141
C(algorithm)[T.dijkstra+mpc],0.025,-0.023,0.073,0.3081
C(algorithm)[T.dijkstra+mpc_dompc],-0.096,-0.143,-0.048,0.0001
C(algorithm)[T.dijkstra+orca],-0.1,-0.148,-0.053,0.0
C(algorithm)[T.dijkstra+orca_heuristic],0.021,-0.027,0.069,0.3863
C(algorithm)[T.dijkstra+rrt],-0.12,-0.168,-0.073,0.0
C(algorithm)[T.dijkstra+sarl],0.029,-0.019,0.077,0.2372
C(algorithm)[T.dijkstra+sarl_upstream],0.006,-0.041,0.054,0.7936
C(algorithm)[T.dijkstra+teb],-0.09,-0.138,-0.042,0.0002
C(algorithm)[T.dijkstra+teb_upstream],-0.01,-0.058,0.038,0.6774
C(algorithm)[T.rrt+astar],-0.072,-0.121,-0.022,0.0043
C(algorithm)[T.rrt+cadrl],0.069,0.02,0.117,0.0055
C(algorithm)[T.rrt+cadrl_upstream],0.081,0.033,0.129,0.001
C(algorithm)[T.rrt+crowdnav_attngraph],0.061,0.013,0.11,0.0135
C(algorithm)[T.rrt+crowdnav_dsrnn],0.028,-0.02,0.077,0.2501
C(algorithm)[T.rrt+dijkstra],-0.112,-0.161,-0.064,0.0
C(algorithm)[T.rrt+dwa],-0.02,-0.069,0.028,0.4105
C(algorithm)[T.rrt+lstm_rl],-0.007,-0.055,0.042,0.7825
C(algorithm)[T.rrt+lstm_rl_upstream],-0.054,-0.103,-0.006,0.0281
C(algorithm)[T.rrt+mpc],0.061,0.012,0.109,0.014
C(algorithm)[T.rrt+mpc_dompc],-0.076,-0.124,-0.027,0.0022
C(algorithm)[T.rrt+orca],-0.074,-0.122,-0.025,0.0028
C(algorithm)[T.rrt+orca_heuristic],0.185,0.137,0.233,0.0
C(algorithm)[T.rrt+rrt],-0.139,-0.187,-0.091,0.0
C(algorithm)[T.rrt+sarl],0.075,0.026,0.123,0.0026
C(algorithm)[T.rrt+sarl_upstream],0.057,0.008,0.105,0.0223
C(algorithm)[T.rrt+teb],-0.087,-0.135,-0.038,0.0005
C(algorithm)[T.rrt+teb_upstream],-0.084,-0.133,-0.036,0.0006
standardize(task_path_length_m),-0.055,-0.092,-0.018,0.0034
standardize(task_n_turns),0.011,-0.01,0.033,0.3089
standardize(task_min_sidewalk_width_m),0.001,-0.013,0.015,0.8662
standardize(task_n_signalised_junctions),-0.015,-0.047,0.017,0.3483
standardize(demand_total_ph),-0.003,-0.042,0.035,0.8608
map Var,0.06,-0.054,0.174,0.3011
seed Var,0.008,-0.0,0.016,0.0507
task Var,0.013,0.006,0.019,0.0001
