term,coef,ci_lo,ci_hi,p
Intercept,5.528,5.257,5.799,0.0
C(algorithm)[T.astar+astar],0.001,-0.024,0.026,0.9307
C(algorithm)[T.astar+cadrl],0.007,-0.016,0.03,0.539
C(algorithm)[T.astar+cadrl_upstream],0.153,0.125,0.181,0.0
C(algorithm)[T.astar+crowdnav_attngraph],0.152,0.124,0.179,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],0.02,-0.004,0.044,0.0946
C(algorithm)[T.astar+dijkstra],0.018,-0.009,0.044,0.1938
C(algorithm)[T.astar+lstm_rl],0.123,0.1,0.146,0.0
C(algorithm)[T.astar+lstm_rl_upstream],0.005,-0.018,0.029,0.665
C(algorithm)[T.astar+mpc],-0.006,-0.029,0.016,0.5878
C(algorithm)[T.astar+mpc_dompc],0.002,-0.021,0.025,0.8499
C(algorithm)[T.astar+orca],-0.006,-0.03,0.018,0.6176
C(algorithm)[T.astar+orca_heuristic],0.006,-0.017,0.028,0.6064
C(algorithm)[T.astar+rrt],-0.004,-0.03,0.023,0.7831
C(algorithm)[T.astar+sarl],0.136,0.113,0.16,0.0
C(algorithm)[T.astar+sarl_upstream],0.033,0.011,0.056,0.0042
C(algorithm)[T.astar+teb],-0.01,-0.037,0.016,0.4463
C(algorithm)[T.astar+teb_upstream],0.001,-0.023,0.024,0.9618
C(algorithm)[T.dijkstra+astar],-0.0,-0.026,0.025,0.9708
C(algorithm)[T.dijkstra+cadrl],0.008,-0.015,0.031,0.515
C(algorithm)[T.dijkstra+cadrl_upstream],0.153,0.125,0.181,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],0.156,0.128,0.184,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],0.019,-0.005,0.043,0.1304
C(algorithm)[T.dijkstra+dijkstra],0.017,-0.009,0.044,0.1987
C(algorithm)[T.dijkstra+dwa],-0.001,-0.024,0.022,0.947
C(algorithm)[T.dijkstra+lstm_rl],0.121,0.098,0.144,0.0
C(algorithm)[T.dijkstra+lstm_rl_upstream],0.004,-0.02,0.028,0.7572
C(algorithm)[T.dijkstra+mpc],-0.006,-0.029,0.016,0.5833
C(algorithm)[T.dijkstra+mpc_dompc],0.004,-0.019,0.027,0.7384
C(algorithm)[T.dijkstra+orca],-0.01,-0.034,0.014,0.41
C(algorithm)[T.dijkstra+orca_heuristic],0.003,-0.02,0.025,0.8101
C(algorithm)[T.dijkstra+rrt],-0.007,-0.034,0.019,0.5914
C(algorithm)[T.dijkstra+sarl],0.134,0.11,0.157,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.033,0.01,0.056,0.0051
C(algorithm)[T.dijkstra+teb],-0.014,-0.04,0.013,0.3089
C(algorithm)[T.dijkstra+teb_upstream],-0.0,-0.024,0.023,0.9704
C(algorithm)[T.rrt+astar],0.077,0.05,0.104,0.0
C(algorithm)[T.rrt+cadrl],0.085,0.062,0.109,0.0
C(algorithm)[T.rrt+cadrl_upstream],0.186,0.153,0.218,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],0.18,0.154,0.207,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],0.084,0.06,0.109,0.0
C(algorithm)[T.rrt+dijkstra],0.118,0.09,0.146,0.0
C(algorithm)[T.rrt+dwa],0.09,0.066,0.114,0.0
C(algorithm)[T.rrt+lstm_rl],0.224,0.2,0.248,0.0
C(algorithm)[T.rrt+lstm_rl_upstream],0.065,0.04,0.09,0.0
C(algorithm)[T.rrt+mpc],0.103,0.08,0.126,0.0
C(algorithm)[T.rrt+mpc_dompc],0.108,0.085,0.13,0.0
C(algorithm)[T.rrt+orca],0.083,0.058,0.107,0.0
C(algorithm)[T.rrt+orca_heuristic],0.097,0.074,0.12,0.0
C(algorithm)[T.rrt+rrt],0.043,0.008,0.078,0.0149
C(algorithm)[T.rrt+sarl],0.206,0.182,0.23,0.0
C(algorithm)[T.rrt+sarl_upstream],0.115,0.091,0.138,0.0
C(algorithm)[T.rrt+teb],0.033,0.005,0.061,0.0202
C(algorithm)[T.rrt+teb_upstream],0.058,0.031,0.085,0.0
standardize(task_path_length_m),0.269,0.259,0.279,0.0
standardize(task_n_turns),-0.021,-0.026,-0.016,0.0
standardize(task_min_sidewalk_width_m),-0.007,-0.01,-0.004,0.0
standardize(task_n_signalised_junctions),-0.012,-0.019,-0.005,0.0004
standardize(demand_total_ph),-0.003,-0.019,0.013,0.7395
map Var,2.881,-1.654,7.416,0.213
seed Var,0.0,-0.001,0.001,0.4425
task Var,1.969,-0.838,4.776,0.1692
