term,coef,ci_lo,ci_hi,p
Intercept,0.211,0.083,0.34,0.0013
C(algorithm)[T.astar+astar],0.007,-0.03,0.044,0.7194
C(algorithm)[T.astar+cadrl],-0.041,-0.078,-0.004,0.0295
C(algorithm)[T.astar+cadrl_upstream],0.13,0.093,0.167,0.0
C(algorithm)[T.astar+crowdnav_attngraph],0.341,0.304,0.378,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],-0.004,-0.041,0.033,0.8191
C(algorithm)[T.astar+dijkstra],-0.015,-0.052,0.022,0.4261
C(algorithm)[T.astar+lstm_rl],0.029,-0.008,0.066,0.1296
C(algorithm)[T.astar+lstm_rl_upstream],0.001,-0.036,0.038,0.9579
C(algorithm)[T.astar+mpc],-0.025,-0.062,0.012,0.1907
C(algorithm)[T.astar+mpc_dompc],0.057,0.02,0.094,0.0024
C(algorithm)[T.astar+orca],0.044,0.007,0.081,0.0198
C(algorithm)[T.astar+orca_heuristic],0.0,-0.037,0.037,0.9961
C(algorithm)[T.astar+rrt],0.006,-0.031,0.043,0.7466
C(algorithm)[T.astar+sarl],0.175,0.138,0.212,0.0
C(algorithm)[T.astar+sarl_upstream],0.076,0.039,0.114,0.0001
C(algorithm)[T.astar+teb],0.014,-0.023,0.051,0.4564
C(algorithm)[T.astar+teb_upstream],0.045,0.008,0.082,0.0184
C(algorithm)[T.dijkstra+astar],0.008,-0.029,0.045,0.681
C(algorithm)[T.dijkstra+cadrl],-0.04,-0.077,-0.003,0.0346
C(algorithm)[T.dijkstra+cadrl_upstream],0.125,0.087,0.162,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],0.343,0.306,0.38,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.001,-0.038,0.036,0.9772
C(algorithm)[T.dijkstra+dijkstra],-0.012,-0.049,0.025,0.528
C(algorithm)[T.dijkstra+dwa],-0.003,-0.04,0.034,0.8845
C(algorithm)[T.dijkstra+lstm_rl],0.031,-0.006,0.068,0.0972
C(algorithm)[T.dijkstra+lstm_rl_upstream],0.002,-0.035,0.039,0.9172
C(algorithm)[T.dijkstra+mpc],-0.022,-0.059,0.015,0.2357
C(algorithm)[T.dijkstra+mpc_dompc],0.058,0.021,0.095,0.0022
C(algorithm)[T.dijkstra+orca],0.044,0.007,0.081,0.0203
C(algorithm)[T.dijkstra+orca_heuristic],-0.004,-0.041,0.033,0.8453
C(algorithm)[T.dijkstra+rrt],0.007,-0.03,0.044,0.7202
C(algorithm)[T.dijkstra+sarl],0.183,0.146,0.22,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.077,0.04,0.114,0.0
C(algorithm)[T.dijkstra+teb],0.014,-0.023,0.051,0.4538
C(algorithm)[T.dijkstra+teb_upstream],0.044,0.007,0.081,0.0192
C(algorithm)[T.rrt+astar],0.005,-0.033,0.043,0.7916
C(algorithm)[T.rrt+cadrl],0.029,-0.008,0.067,0.1236
C(algorithm)[T.rrt+cadrl_upstream],0.086,0.048,0.123,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],0.254,0.217,0.292,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.019,-0.057,0.018,0.3088
C(algorithm)[T.rrt+dijkstra],0.009,-0.029,0.046,0.6472
C(algorithm)[T.rrt+dwa],0.059,0.021,0.096,0.0022
C(algorithm)[T.rrt+lstm_rl],0.021,-0.017,0.058,0.2859
C(algorithm)[T.rrt+lstm_rl_upstream],0.01,-0.027,0.048,0.5979
C(algorithm)[T.rrt+mpc],0.045,0.008,0.083,0.0174
C(algorithm)[T.rrt+mpc_dompc],0.086,0.048,0.123,0.0
C(algorithm)[T.rrt+orca],0.057,0.02,0.095,0.0027
C(algorithm)[T.rrt+orca_heuristic],0.013,-0.024,0.05,0.4974
C(algorithm)[T.rrt+rrt],-0.049,-0.087,-0.012,0.0097
C(algorithm)[T.rrt+sarl],0.133,0.095,0.17,0.0
C(algorithm)[T.rrt+sarl_upstream],0.055,0.017,0.092,0.0045
C(algorithm)[T.rrt+teb],0.025,-0.013,0.063,0.1924
C(algorithm)[T.rrt+teb_upstream],0.026,-0.012,0.063,0.1795
standardize(task_path_length_m),-0.034,-0.049,-0.02,0.0
standardize(task_n_turns),0.022,0.015,0.03,0.0
standardize(task_min_sidewalk_width_m),-0.018,-0.022,-0.013,0.0
standardize(task_n_signalised_junctions),0.02,0.011,0.03,0.0
standardize(demand_total_ph),0.04,0.013,0.068,0.0041
map Var,0.216,-0.095,0.526,0.1731
seed Var,0.004,-0.0,0.007,0.0565
task Var,0.026,0.001,0.051,0.0389
