term,coef,ci_lo,ci_hi,p
Intercept,1.511,0.989,2.034,0.0
C(algorithm)[T.astar+astar],-0.209,-0.363,-0.055,0.0079
C(algorithm)[T.astar+cadrl],-0.044,-0.199,0.11,0.5742
C(algorithm)[T.astar+cadrl_upstream],0.638,0.484,0.793,0.0
C(algorithm)[T.astar+crowdnav_attngraph],1.859,1.704,2.013,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],-0.222,-0.376,-0.067,0.0049
C(algorithm)[T.astar+dijkstra],-0.266,-0.42,-0.112,0.0007
C(algorithm)[T.astar+lstm_rl],0.153,-0.001,0.308,0.0517
C(algorithm)[T.astar+lstm_rl_upstream],-0.068,-0.222,0.087,0.3905
C(algorithm)[T.astar+mpc],-0.015,-0.169,0.139,0.8476
C(algorithm)[T.astar+mpc_dompc],-0.002,-0.156,0.152,0.9812
C(algorithm)[T.astar+orca],-0.059,-0.213,0.095,0.4547
C(algorithm)[T.astar+orca_heuristic],0.149,-0.005,0.303,0.0587
C(algorithm)[T.astar+rrt],-0.26,-0.415,-0.106,0.0009
C(algorithm)[T.astar+sarl],1.174,1.019,1.328,0.0
C(algorithm)[T.astar+sarl_upstream],0.25,0.096,0.404,0.0015
C(algorithm)[T.astar+teb],-0.238,-0.393,-0.084,0.0025
C(algorithm)[T.astar+teb_upstream],-0.014,-0.168,0.14,0.8599
C(algorithm)[T.dijkstra+astar],-0.202,-0.356,-0.048,0.0103
C(algorithm)[T.dijkstra+cadrl],-0.012,-0.166,0.142,0.8789
C(algorithm)[T.dijkstra+cadrl_upstream],0.628,0.474,0.783,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],1.857,1.703,2.011,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.186,-0.34,-0.032,0.0183
C(algorithm)[T.dijkstra+dijkstra],-0.258,-0.412,-0.104,0.0011
C(algorithm)[T.dijkstra+dwa],-0.004,-0.158,0.15,0.9608
C(algorithm)[T.dijkstra+lstm_rl],0.15,-0.004,0.305,0.0563
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.086,-0.24,0.069,0.2771
C(algorithm)[T.dijkstra+mpc],-0.021,-0.176,0.133,0.7856
C(algorithm)[T.dijkstra+mpc_dompc],-0.002,-0.156,0.153,0.9844
C(algorithm)[T.dijkstra+orca],-0.088,-0.243,0.066,0.2626
C(algorithm)[T.dijkstra+orca_heuristic],0.108,-0.046,0.263,0.1684
C(algorithm)[T.dijkstra+rrt],-0.274,-0.428,-0.12,0.0005
C(algorithm)[T.dijkstra+sarl],1.144,0.99,1.299,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.278,0.123,0.432,0.0004
C(algorithm)[T.dijkstra+teb],-0.238,-0.392,-0.083,0.0026
C(algorithm)[T.dijkstra+teb_upstream],-0.017,-0.171,0.137,0.8276
C(algorithm)[T.rrt+astar],-0.302,-0.46,-0.144,0.0002
C(algorithm)[T.rrt+cadrl],-0.129,-0.285,0.027,0.1062
C(algorithm)[T.rrt+cadrl_upstream],0.411,0.255,0.567,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],1.304,1.147,1.461,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.234,-0.391,-0.078,0.0032
C(algorithm)[T.rrt+dijkstra],-0.239,-0.396,-0.082,0.0028
C(algorithm)[T.rrt+dwa],-0.026,-0.182,0.131,0.7492
C(algorithm)[T.rrt+lstm_rl],0.327,0.17,0.484,0.0
C(algorithm)[T.rrt+lstm_rl_upstream],-0.264,-0.42,-0.107,0.001
C(algorithm)[T.rrt+mpc],0.017,-0.139,0.174,0.8266
C(algorithm)[T.rrt+mpc_dompc],0.038,-0.118,0.194,0.6299
C(algorithm)[T.rrt+orca],-0.159,-0.315,-0.003,0.0461
C(algorithm)[T.rrt+orca_heuristic],0.095,-0.061,0.25,0.2322
C(algorithm)[T.rrt+rrt],-0.6,-0.755,-0.444,0.0
C(algorithm)[T.rrt+sarl],0.861,0.705,1.018,0.0
C(algorithm)[T.rrt+sarl_upstream],0.041,-0.116,0.197,0.6103
C(algorithm)[T.rrt+teb],-0.318,-0.475,-0.16,0.0001
C(algorithm)[T.rrt+teb_upstream],-0.295,-0.451,-0.139,0.0002
standardize(task_path_length_m),0.32,0.034,0.606,0.0285
standardize(task_n_turns),-0.005,-0.204,0.194,0.9579
standardize(task_min_sidewalk_width_m),-0.014,-0.137,0.108,0.8209
standardize(task_n_signalised_junctions),-0.008,-0.249,0.234,0.9506
standardize(demand_total_ph),0.097,-0.022,0.217,0.11
map Var,0.202,-0.12,0.524,0.2179
seed Var,0.011,0.0,0.021,0.0469
task Var,0.115,0.064,0.166,0.0
