term,coef,ci_lo,ci_hi,p
Intercept,2.065,1.882,2.248,0.0
C(algorithm)[T.astar+astar],-0.136,-0.293,0.022,0.0925
C(algorithm)[T.astar+cadrl],-0.184,-0.342,-0.026,0.0222
C(algorithm)[T.astar+cadrl_upstream],0.834,0.676,0.992,0.0
C(algorithm)[T.astar+crowdnav_attngraph],2.711,2.553,2.869,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],-0.329,-0.487,-0.171,0.0
C(algorithm)[T.astar+dijkstra],-0.363,-0.521,-0.206,0.0
C(algorithm)[T.astar+lstm_rl],-0.209,-0.367,-0.051,0.0094
C(algorithm)[T.astar+lstm_rl_upstream],-0.385,-0.542,-0.227,0.0
C(algorithm)[T.astar+mpc],0.183,0.025,0.341,0.0233
C(algorithm)[T.astar+mpc_dompc],0.247,0.09,0.405,0.0021
C(algorithm)[T.astar+orca],0.199,0.041,0.356,0.0137
C(algorithm)[T.astar+orca_heuristic],0.573,0.415,0.731,0.0
C(algorithm)[T.astar+rrt],-0.232,-0.39,-0.074,0.0039
C(algorithm)[T.astar+sarl],1.095,0.937,1.253,0.0
C(algorithm)[T.astar+sarl_upstream],-0.155,-0.313,0.003,0.0544
C(algorithm)[T.astar+teb],-0.197,-0.354,-0.039,0.0147
C(algorithm)[T.astar+teb_upstream],0.269,0.112,0.427,0.0008
C(algorithm)[T.dijkstra+astar],-0.124,-0.282,0.033,0.1224
C(algorithm)[T.dijkstra+cadrl],-0.178,-0.336,-0.02,0.0268
C(algorithm)[T.dijkstra+cadrl_upstream],0.829,0.671,0.987,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],2.683,2.525,2.841,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.324,-0.481,-0.166,0.0001
C(algorithm)[T.dijkstra+dijkstra],-0.344,-0.502,-0.186,0.0
C(algorithm)[T.dijkstra+dwa],-0.015,-0.173,0.143,0.8501
C(algorithm)[T.dijkstra+lstm_rl],-0.219,-0.377,-0.061,0.0065
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.391,-0.548,-0.233,0.0
C(algorithm)[T.dijkstra+mpc],0.176,0.018,0.333,0.0293
C(algorithm)[T.dijkstra+mpc_dompc],0.254,0.096,0.412,0.0016
C(algorithm)[T.dijkstra+orca],0.173,0.015,0.331,0.0317
C(algorithm)[T.dijkstra+orca_heuristic],0.535,0.378,0.693,0.0
C(algorithm)[T.dijkstra+rrt],-0.259,-0.417,-0.102,0.0013
C(algorithm)[T.dijkstra+sarl],1.034,0.876,1.192,0.0
C(algorithm)[T.dijkstra+sarl_upstream],-0.142,-0.299,0.016,0.0787
C(algorithm)[T.dijkstra+teb],-0.192,-0.35,-0.034,0.0171
C(algorithm)[T.dijkstra+teb_upstream],0.263,0.105,0.421,0.0011
C(algorithm)[T.rrt+astar],-0.331,-0.493,-0.17,0.0001
C(algorithm)[T.rrt+cadrl],-0.202,-0.361,-0.042,0.0134
C(algorithm)[T.rrt+cadrl_upstream],0.557,0.397,0.716,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],1.96,1.8,2.121,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.4,-0.56,-0.24,0.0
C(algorithm)[T.rrt+dijkstra],-0.358,-0.518,-0.197,0.0
C(algorithm)[T.rrt+dwa],0.097,-0.063,0.257,0.2355
C(algorithm)[T.rrt+lstm_rl],-0.038,-0.199,0.122,0.6394
C(algorithm)[T.rrt+lstm_rl_upstream],-0.53,-0.69,-0.369,0.0
C(algorithm)[T.rrt+mpc],0.157,-0.003,0.317,0.054
C(algorithm)[T.rrt+mpc_dompc],0.202,0.043,0.362,0.0129
C(algorithm)[T.rrt+orca],0.102,-0.058,0.261,0.213
C(algorithm)[T.rrt+orca_heuristic],0.205,0.045,0.364,0.0117
C(algorithm)[T.rrt+rrt],-0.896,-1.055,-0.736,0.0
C(algorithm)[T.rrt+sarl],0.926,0.766,1.086,0.0
C(algorithm)[T.rrt+sarl_upstream],-0.282,-0.442,-0.121,0.0006
C(algorithm)[T.rrt+teb],-0.481,-0.642,-0.32,0.0
C(algorithm)[T.rrt+teb_upstream],-0.295,-0.455,-0.136,0.0003
standardize(task_path_length_m),0.433,0.237,0.629,0.0
standardize(task_n_turns),-0.091,-0.268,0.086,0.314
standardize(task_min_sidewalk_width_m),-0.017,-0.124,0.09,0.7523
standardize(task_n_signalised_junctions),-0.174,-0.334,-0.014,0.0333
standardize(demand_total_ph),0.318,0.207,0.429,0.0
map Var,0.002,-0.026,0.03,0.8799
seed Var,0.011,0.0,0.021,0.0461
task Var,0.093,0.052,0.134,0.0
