term,coef,ci_lo,ci_hi,p
Intercept,5.667,5.406,5.929,0.0
C(algorithm)[T.astar+astar],-0.041,-0.077,-0.006,0.0231
C(algorithm)[T.astar+cadrl],-0.032,-0.065,0.001,0.0587
C(algorithm)[T.astar+cadrl_upstream],0.465,0.426,0.505,0.0
C(algorithm)[T.astar+crowdnav_attngraph],0.521,0.482,0.561,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],-0.017,-0.051,0.017,0.3283
C(algorithm)[T.astar+dijkstra],-0.029,-0.067,0.008,0.1273
C(algorithm)[T.astar+lstm_rl],0.121,0.088,0.154,0.0
C(algorithm)[T.astar+lstm_rl_upstream],-0.033,-0.066,0.001,0.0583
C(algorithm)[T.astar+mpc],-0.032,-0.064,0.0,0.0528
C(algorithm)[T.astar+mpc_dompc],-0.01,-0.042,0.022,0.547
C(algorithm)[T.astar+orca],-0.038,-0.072,-0.004,0.0279
C(algorithm)[T.astar+orca_heuristic],-0.019,-0.051,0.012,0.2319
C(algorithm)[T.astar+rrt],-0.048,-0.086,-0.011,0.0113
C(algorithm)[T.astar+sarl],0.379,0.345,0.412,0.0
C(algorithm)[T.astar+sarl_upstream],0.057,0.025,0.089,0.0006
C(algorithm)[T.astar+teb],-0.038,-0.075,-0.0,0.0482
C(algorithm)[T.astar+teb_upstream],-0.037,-0.07,-0.004,0.0268
C(algorithm)[T.dijkstra+astar],-0.041,-0.076,-0.005,0.0245
C(algorithm)[T.dijkstra+cadrl],-0.026,-0.059,0.007,0.1192
C(algorithm)[T.dijkstra+cadrl_upstream],0.463,0.424,0.502,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],0.532,0.492,0.571,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.014,-0.048,0.02,0.4113
C(algorithm)[T.dijkstra+dijkstra],-0.026,-0.063,0.012,0.1841
C(algorithm)[T.dijkstra+dwa],0.001,-0.032,0.034,0.9349
C(algorithm)[T.dijkstra+lstm_rl],0.123,0.09,0.156,0.0
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.032,-0.066,0.002,0.0665
C(algorithm)[T.dijkstra+mpc],-0.028,-0.06,0.005,0.0939
C(algorithm)[T.dijkstra+mpc_dompc],-0.003,-0.036,0.029,0.8501
C(algorithm)[T.dijkstra+orca],-0.038,-0.073,-0.004,0.0289
C(algorithm)[T.dijkstra+orca_heuristic],-0.02,-0.053,0.012,0.2158
C(algorithm)[T.dijkstra+rrt],-0.051,-0.089,-0.013,0.0085
C(algorithm)[T.dijkstra+sarl],0.38,0.346,0.413,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.061,0.028,0.093,0.0003
C(algorithm)[T.dijkstra+teb],-0.039,-0.076,-0.001,0.0439
C(algorithm)[T.dijkstra+teb_upstream],-0.034,-0.067,-0.001,0.0458
C(algorithm)[T.rrt+astar],0.024,-0.014,0.062,0.2184
C(algorithm)[T.rrt+cadrl],0.034,0.001,0.067,0.0446
C(algorithm)[T.rrt+cadrl_upstream],0.498,0.452,0.544,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],0.38,0.343,0.418,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],0.035,0.0,0.069,0.0494
C(algorithm)[T.rrt+dijkstra],0.063,0.023,0.103,0.0021
C(algorithm)[T.rrt+dwa],0.121,0.087,0.155,0.0
C(algorithm)[T.rrt+lstm_rl],0.22,0.185,0.254,0.0
C(algorithm)[T.rrt+lstm_rl_upstream],0.021,-0.015,0.057,0.2492
C(algorithm)[T.rrt+mpc],0.07,0.037,0.102,0.0
C(algorithm)[T.rrt+mpc_dompc],0.087,0.055,0.12,0.0
C(algorithm)[T.rrt+orca],0.043,0.009,0.078,0.013
C(algorithm)[T.rrt+orca_heuristic],0.077,0.044,0.11,0.0
C(algorithm)[T.rrt+rrt],-0.002,-0.051,0.047,0.936
C(algorithm)[T.rrt+sarl],0.441,0.406,0.475,0.0
C(algorithm)[T.rrt+sarl_upstream],0.117,0.083,0.15,0.0
C(algorithm)[T.rrt+teb],0.048,0.009,0.088,0.017
C(algorithm)[T.rrt+teb_upstream],0.021,-0.018,0.06,0.2853
standardize(task_path_length_m),0.228,0.214,0.242,0.0
standardize(task_n_turns),-0.011,-0.018,-0.004,0.0016
standardize(task_min_sidewalk_width_m),0.003,-0.002,0.008,0.213
standardize(task_n_signalised_junctions),0.036,0.027,0.046,0.0
standardize(demand_total_ph),-0.043,-0.07,-0.015,0.0025
map Var,1.407,-0.524,3.337,0.1532
seed Var,0.004,-0.001,0.009,0.0874
task Var,0.735,0.054,1.417,0.0345
