algorithm,algorithm_name,n,mean,ci_lo,ci_hi
rrt+lstm_rl_upstream,RRT + LSTM-RL (upstream),472,7.308,6.381,8.235
rrt+rrt,RRT + RRT,481,7.429,2.432,12.427
astar+dijkstra,A* + Dijkstra,500,7.994,7.201,8.787
dijkstra+dijkstra,Dijkstra + Dijkstra,500,8.126,7.311,8.941
rrt+astar,RRT + A*,454,8.433,7.339,9.526
dijkstra+rrt,Dijkstra + RRT,500,9.07,8.191,9.949
astar+rrt,A* + RRT,500,9.146,8.274,10.018
rrt+dijkstra,RRT + Dijkstra,471,9.184,8.074,10.293
rrt+crowdnav_dsrnn,RRT + CrowdNav DS-RNN,478,9.75,7.193,12.307
astar+astar,A* + A*,500,10.016,9.04,10.992
rrt+teb_upstream,RRT + TEB (upstream),479,10.068,8.561,11.575
dijkstra+astar,Dijkstra + A*,500,10.185,9.19,11.18
rrt+teb,RRT + TEB,464,10.958,5.601,16.315
astar+lstm_rl,A* + LSTM-RL,500,11.174,9.42,12.928
dijkstra+lstm_rl,Dijkstra + LSTM-RL,500,11.209,9.448,12.97
rrt+cadrl,RRT + CADRL,478,12.397,10.614,14.181
rrt+mpc,RRT + MPC,478,13.273,12.079,14.467
dijkstra+crowdnav_dsrnn,Dijkstra + CrowdNav DS-RNN,500,13.325,8.193,18.457
astar+crowdnav_dsrnn,A* + CrowdNav DS-RNN,500,13.473,8.334,18.612
dijkstra+mpc,Dijkstra + MPC,500,13.811,12.646,14.976
astar+cadrl,A* + CADRL,500,13.853,11.255,16.451
astar+mpc,A* + MPC,500,13.879,12.703,15.055
dijkstra+cadrl,Dijkstra + CADRL,500,13.881,11.291,16.471
dijkstra+mpc_dompc,Dijkstra + MPC (do-mpc),500,16.185,13.912,18.458
astar+mpc_dompc,A* + MPC (do-mpc),500,16.208,13.925,18.491
astar+orca,A* + ORCA (RVO2),500,18.187,15.74,20.634
rrt+orca,RRT + ORCA (RVO2),477,18.332,15.244,21.42
dijkstra+orca,Dijkstra + ORCA (RVO2),500,18.421,15.92,20.922
astar+lstm_rl_upstream,A* + LSTM-RL (upstream),500,18.452,2.426,34.478
rrt+dwa,RRT + DWA,475,18.52,14.964,22.076
rrt+mpc_dompc,RRT + MPC (do-mpc),480,18.675,8.846,28.504
dijkstra+dwa,Dijkstra + DWA,500,19.039,14.252,23.826
astar+dwa,A* + DWA,500,19.408,14.478,24.338
dijkstra+lstm_rl_upstream,Dijkstra + LSTM-RL (upstream),500,19.57,3.363,35.777
rrt+sarl_upstream,RRT + SARL (upstream),471,20.464,9.048,31.88
rrt+cadrl_upstream,RRT + CADRL (upstream),477,26.287,23.26,29.315
dijkstra+cadrl_upstream,Dijkstra + CADRL (upstream),500,29.198,26.822,31.574
astar+cadrl_upstream,A* + CADRL (upstream),500,29.359,26.964,31.754
dijkstra+teb,Dijkstra + TEB,500,46.472,9.79,83.154
dijkstra+teb_upstream,Dijkstra + TEB (upstream),500,46.523,-13.814,106.86
astar+teb,A* + TEB,500,46.532,9.85,83.214
astar+teb_upstream,A* + TEB (upstream),500,46.584,-13.753,106.921
dijkstra+orca_heuristic,Dijkstra + ORCA (heuristic),500,46.674,29.739,63.609
astar+orca_heuristic,A* + ORCA (heuristic),500,48.521,31.376,65.666
astar+sarl_upstream,A* + SARL (upstream),500,63.146,14.214,112.078
dijkstra+sarl_upstream,Dijkstra + SARL (upstream),500,63.495,14.565,112.425
rrt+lstm_rl,RRT + LSTM-RL,468,64.104,11.947,116.26
rrt+orca_heuristic,RRT + ORCA (heuristic),484,65.996,36.457,95.535
rrt+sarl,RRT + SARL,474,355.343,228.076,482.61
dijkstra+sarl,Dijkstra + SARL,499,453.515,300.294,606.736
astar+sarl,A* + SARL,499,479.56,318.54,640.581
rrt+crowdnav_attngraph,RRT + CrowdNav AttnGraph,467,507.446,413.859,601.034
astar+crowdnav_attngraph,A* + CrowdNav AttnGraph,500,741.963,642.118,841.808
dijkstra+crowdnav_attngraph,Dijkstra + CrowdNav AttnGraph,500,749.849,648.559,851.139
