algorithm,mean_success,rank_median,rank_ci_lo,rank_ci_hi,P_top1
astar+orca_heuristic,0.804,1.0,1.0,2.51,0.901
astar+mpc,0.774,3.0,2.0,6.0,0.018
dijkstra+orca_heuristic,0.772,3.0,2.0,9.0,0.0
rrt+mpc_dompc,0.758,5.5,1.0,12.0,0.035
dijkstra+mpc,0.752,7.0,4.0,11.0,0.0
dijkstra+mpc_dompc,0.75,7.0,3.0,11.5,0.002
astar+sarl_upstream,0.75,7.0,1.99,14.0,0.023
astar+mpc_dompc,0.752,7.0,3.5,11.0,0.0
rrt+mpc,0.751,7.0,2.0,12.0,0.021
dijkstra+sarl_upstream,0.73,10.0,4.0,18.0,0.0
rrt+orca_heuristic,0.73,10.5,3.0,19.0,0.0
astar+teb_upstream,0.71,13.5,9.0,19.0,0.0
astar+cadrl,0.71,14.0,9.0,18.01,0.0
astar+dwa,0.706,14.5,10.0,19.0,0.0
astar+lstm_rl,0.702,15.0,9.0,22.0,0.0
dijkstra+cadrl,0.704,15.0,11.0,19.0,0.0
dijkstra+dwa,0.692,18.0,13.0,22.0,0.0
dijkstra+lstm_rl,0.69,18.0,11.0,24.0,0.0
dijkstra+teb_upstream,0.69,18.0,11.49,21.0,0.0
rrt+cadrl,0.684,18.5,12.0,23.0,0.0
astar+sarl,0.661,21.0,18.0,25.0,0.0
dijkstra+sarl,0.653,22.5,19.0,27.0,0.0
astar+lstm_rl_upstream,0.646,23.0,18.0,29.0,0.0
rrt+sarl_upstream,0.646,23.5,20.0,28.0,0.0
dijkstra+lstm_rl_upstream,0.63,26.0,22.0,32.0,0.0
astar+crowdnav_dsrnn,0.626,27.0,21.0,32.0,0.0
astar+orca,0.624,27.0,22.0,31.0,0.0
dijkstra+crowdnav_dsrnn,0.614,29.0,24.0,34.0,0.0
rrt+sarl,0.617,29.0,23.0,33.0,0.0
rrt+lstm_rl,0.616,29.0,23.0,34.0,0.0
rrt+dwa,0.61,30.0,26.0,32.51,0.0
rrt+orca,0.604,31.5,25.0,34.0,0.0
dijkstra+orca,0.6,32.0,27.0,34.0,0.0
rrt+crowdnav_dsrnn,0.586,34.0,29.0,34.0,0.0
astar+astar,0.534,35.0,35.0,37.0,0.0
dijkstra+astar,0.526,36.0,35.0,37.0,0.0
rrt+lstm_rl_upstream,0.51,37.0,35.0,40.0,0.0
astar+rrt,0.448,40.0,37.0,44.0,0.0
astar+teb,0.444,40.0,38.0,44.0,0.0
rrt+crowdnav_attngraph,0.44,41.0,38.0,47.0,0.0
dijkstra+dijkstra,0.432,42.0,38.0,48.5,0.0
astar+dijkstra,0.434,42.0,38.0,48.5,0.0
dijkstra+teb,0.436,42.0,38.0,47.0,0.0
rrt+astar,0.428,43.0,38.99,45.0,0.0
dijkstra+rrt,0.43,43.0,39.0,47.5,0.0
rrt+teb_upstream,0.396,46.0,44.0,50.0,0.0
dijkstra+crowdnav_attngraph,0.38,48.0,45.0,52.0,0.0
astar+crowdnav_attngraph,0.378,49.0,44.5,52.0,0.0
rrt+teb,0.374,49.0,44.0,52.0,0.0
dijkstra+cadrl_upstream,0.378,49.0,44.0,52.0,0.0
astar+cadrl_upstream,0.372,50.0,46.0,52.0,0.0
rrt+dijkstra,0.358,52.0,46.5,52.0,0.0
rrt+cadrl_upstream,0.242,53.0,53.0,53.0,0.0
rrt+rrt,0.204,54.0,54.0,54.0,0.0
