term,log_odds,ci_lo,ci_hi,odds_ratio,or_ci_lo,or_ci_hi
Intercept,0.955,0.927,0.982,2.598,2.528,2.671
C(algorithm)[T.astar+astar],-0.797,-0.988,-0.605,0.451,0.372,0.546
C(algorithm)[T.astar+cadrl],0.108,-0.1,0.316,1.114,0.904,1.371
C(algorithm)[T.astar+cadrl_upstream],-1.588,-1.784,-1.391,0.204,0.168,0.249
C(algorithm)[T.astar+crowdnav_attngraph],-1.557,-1.753,-1.361,0.211,0.173,0.256
C(algorithm)[T.astar+crowdnav_dsrnn],-0.342,-0.539,-0.146,0.71,0.583,0.864
C(algorithm)[T.astar+dijkstra],-1.279,-1.472,-1.087,0.278,0.229,0.337
C(algorithm)[T.astar+lstm_rl],0.062,-0.144,0.269,1.064,0.866,1.309
C(algorithm)[T.astar+lstm_rl_upstream],-0.24,-0.438,-0.041,0.787,0.645,0.96
C(algorithm)[T.astar+mpc],0.498,0.274,0.721,1.645,1.315,2.057
C(algorithm)[T.astar+mpc_dompc],0.357,0.14,0.574,1.429,1.15,1.776
C(algorithm)[T.astar+orca],-0.353,-0.549,-0.156,0.703,0.577,0.856
C(algorithm)[T.astar+orca_heuristic],0.704,0.47,0.938,2.022,1.6,2.555
C(algorithm)[T.astar+rrt],-1.211,-1.403,-1.019,0.298,0.246,0.361
C(algorithm)[T.astar+sarl],-0.161,-0.362,0.039,0.851,0.696,1.04
C(algorithm)[T.astar+sarl_upstream],0.345,0.128,0.561,1.411,1.136,1.753
C(algorithm)[T.astar+teb],-1.231,-1.423,-1.038,0.292,0.241,0.354
C(algorithm)[T.astar+teb_upstream],0.108,-0.1,0.316,1.114,0.904,1.371
C(algorithm)[T.dijkstra+astar],-0.835,-1.027,-0.644,0.434,0.358,0.525
C(algorithm)[T.dijkstra+cadrl],0.074,-0.133,0.281,1.076,0.875,1.324
C(algorithm)[T.dijkstra+cadrl_upstream],-1.557,-1.753,-1.361,0.211,0.173,0.256
C(algorithm)[T.dijkstra+crowdnav_attngraph],-1.547,-1.743,-1.351,0.213,0.175,0.259
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.403,-0.599,-0.208,0.668,0.549,0.813
C(algorithm)[T.dijkstra+dijkstra],-1.289,-1.482,-1.096,0.276,0.227,0.334
C(algorithm)[T.dijkstra+dwa],0.007,-0.198,0.212,1.007,0.82,1.236
C(algorithm)[T.dijkstra+lstm_rl],-0.004,-0.209,0.2,0.996,0.811,1.222
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.322,-0.519,-0.125,0.725,0.595,0.883
C(algorithm)[T.dijkstra+mpc],0.357,0.14,0.574,1.429,1.15,1.776
C(algorithm)[T.dijkstra+mpc_dompc],0.345,0.128,0.561,1.411,1.136,1.753
C(algorithm)[T.dijkstra+orca],-0.473,-0.668,-0.279,0.623,0.513,0.757
C(algorithm)[T.dijkstra+orca_heuristic],0.484,0.262,0.707,1.623,1.299,2.029
C(algorithm)[T.dijkstra+rrt],-1.299,-1.492,-1.106,0.273,0.225,0.331
C(algorithm)[T.dijkstra+sarl],-0.204,-0.404,-0.004,0.816,0.668,0.996
C(algorithm)[T.dijkstra+sarl_upstream],0.224,0.012,0.436,1.251,1.012,1.546
C(algorithm)[T.dijkstra+teb],-1.27,-1.462,-1.077,0.281,0.232,0.341
C(algorithm)[T.dijkstra+teb_upstream],-0.004,-0.209,0.2,0.996,0.811,1.222
C(algorithm)[T.rrt+astar],-1.309,-1.502,-1.116,0.27,0.223,0.328
C(algorithm)[T.rrt+cadrl],-0.037,-0.241,0.166,0.963,0.786,1.181
C(algorithm)[T.rrt+cadrl_upstream],-2.312,-2.53,-2.093,0.099,0.08,0.123
C(algorithm)[T.rrt+crowdnav_attngraph],-1.256,-1.449,-1.064,0.285,0.235,0.345
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.543,-0.737,-0.349,0.581,0.479,0.705
C(algorithm)[T.rrt+dijkstra],-1.659,-1.858,-1.461,0.19,0.156,0.232
C(algorithm)[T.rrt+dwa],-0.423,-0.619,-0.228,0.655,0.539,0.796
C(algorithm)[T.rrt+lstm_rl],-0.399,-0.595,-0.203,0.671,0.552,0.816
C(algorithm)[T.rrt+lstm_rl_upstream],-0.912,-1.103,-0.721,0.402,0.332,0.486
C(algorithm)[T.rrt+mpc],0.345,0.127,0.562,1.412,1.136,1.755
C(algorithm)[T.rrt+mpc_dompc],0.395,0.176,0.613,1.484,1.192,1.847
C(algorithm)[T.rrt+orca],-0.453,-0.648,-0.259,0.635,0.523,0.772
C(algorithm)[T.rrt+orca_heuristic],0.224,0.012,0.436,1.251,1.012,1.546
C(algorithm)[T.rrt+rrt],-2.562,-2.793,-2.332,0.077,0.061,0.097
C(algorithm)[T.rrt+sarl],-0.387,-0.584,-0.191,0.679,0.558,0.826
C(algorithm)[T.rrt+sarl_upstream],-0.24,-0.438,-0.041,0.787,0.645,0.96
C(algorithm)[T.rrt+teb],-1.578,-1.774,-1.381,0.206,0.17,0.251
C(algorithm)[T.rrt+teb_upstream],-1.467,-1.662,-1.272,0.231,0.19,0.28
standardize(task_path_length_m),-0.273,-0.301,-0.246,0.761,0.74,0.782
standardize(task_n_turns),-0.055,-0.081,-0.028,0.947,0.922,0.973
standardize(task_min_sidewalk_width_m),0.138,0.112,0.163,1.147,1.118,1.178
standardize(task_n_signalised_junctions),-0.324,-0.352,-0.295,0.724,0.703,0.744
standardize(demand_total_ph),-0.215,-0.242,-0.188,0.806,0.785,0.828
