unit,unit_name,n,goal_n,goal_rate,goal_lo,goal_hi,collision_n,collision_rate,collision_lo,collision_hi,timeout_n,timeout_rate,timeout_lo,timeout_hi,stuck_n,stuck_rate,stuck_lo,stuck_hi,no_n,no_rate,no_lo,no_hi,other_n,other_rate,other_lo,other_hi
astar+teb,A* + TEB (ours),500,11,0.022,0.0123,0.039,480,0.96,0.939,0.974,9,0.018,0.0095,0.0339,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
dijkstra+teb,Dijkstra + TEB (ours),500,11,0.022,0.0123,0.039,480,0.96,0.939,0.974,9,0.018,0.0095,0.0339,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
dijkstra+rrt,Dijkstra + RRT (ours),500,16,0.032,0.0198,0.0513,483,0.966,0.9462,0.9787,1,0.002,0.0004,0.0112,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
astar+rrt,A* + RRT (ours),500,17,0.034,0.0213,0.0538,482,0.964,0.9438,0.9771,1,0.002,0.0004,0.0112,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
rrt+teb,RRT + TEB (ours),500,26,0.052,0.0357,0.0751,429,0.858,0.8247,0.8859,3,0.006,0.002,0.0175,0,0.0,0.0,0.0076,42,0.084,0.0627,0.1116,0,0.0,0.0,0.0076
dijkstra+teb_upstream,Dijkstra + TEB (upstream),500,31,0.062,0.044,0.0867,469,0.938,0.9133,0.956,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
astar+teb_upstream,A* + TEB (upstream),500,33,0.066,0.0474,0.0912,467,0.934,0.9088,0.9526,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
rrt+rrt,RRT + RRT (ours),500,36,0.072,0.0525,0.0981,423,0.846,0.8117,0.875,3,0.006,0.002,0.0175,0,0.0,0.0,0.0076,38,0.076,0.0559,0.1026,0,0.0,0.0,0.0076
rrt+astar,RRT + A* (ours),500,62,0.124,0.0979,0.1558,416,0.832,0.7967,0.8622,1,0.002,0.0004,0.0112,0,0.0,0.0,0.0076,21,0.042,0.0276,0.0634,0,0.0,0.0,0.0076
astar+orca,A* + ORCA (RVO2),500,88,0.176,0.1451,0.2118,396,0.792,0.7543,0.8253,0,0.0,0.0,0.0076,16,0.032,0.0198,0.0513,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
dijkstra+orca,Dijkstra + ORCA (RVO2),500,89,0.178,0.147,0.2139,395,0.79,0.7522,0.8234,0,0.0,0.0,0.0076,16,0.032,0.0198,0.0513,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
rrt+teb_upstream,RRT + TEB (upstream),500,91,0.182,0.1506,0.2182,378,0.756,0.7165,0.7916,1,0.002,0.0004,0.0112,2,0.004,0.0011,0.0145,28,0.056,0.039,0.0797,0,0.0,0.0,0.0076
dijkstra+mpc_dompc,Dijkstra + MPC (do-mpc),500,99,0.198,0.1654,0.2352,399,0.798,0.7606,0.8309,2,0.004,0.0011,0.0145,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
astar+mpc_dompc,A* + MPC (do-mpc),500,100,0.2,0.1673,0.2373,398,0.796,0.7585,0.829,2,0.004,0.0011,0.0145,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
rrt+cadrl_upstream,RRT + CADRL (upstream),500,107,0.214,0.1803,0.2521,344,0.688,0.6461,0.727,25,0.05,0.0341,0.0728,8,0.016,0.0081,0.0313,16,0.032,0.0198,0.0513,0,0.0,0.0,0.0076
astar+dijkstra,A* + Dijkstra (ours),500,118,0.236,0.2009,0.2751,382,0.764,0.7249,0.7991,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
rrt+dijkstra,RRT + Dijkstra (ours),500,121,0.242,0.2065,0.2814,365,0.73,0.6894,0.7671,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,14,0.028,0.0168,0.0464,0,0.0,0.0,0.0076
dijkstra+astar,Dijkstra + A* (ours),500,130,0.26,0.2235,0.3002,370,0.74,0.6998,0.7765,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
dijkstra+dijkstra,Dijkstra + Dijkstra (ours),500,130,0.26,0.2235,0.3002,370,0.74,0.6998,0.7765,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
astar+astar,A* + A* (ours),500,135,0.27,0.2329,0.3106,365,0.73,0.6894,0.7671,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
dijkstra+mpc,Dijkstra + MPC (ours),500,145,0.29,0.2519,0.3313,345,0.69,0.6481,0.729,10,0.02,0.0109,0.0364,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
astar+mpc,A* + MPC (ours),500,147,0.294,0.2558,0.3354,343,0.686,0.644,0.7251,10,0.02,0.0109,0.0364,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
rrt+orca,RRT + ORCA (RVO2),500,148,0.296,0.2577,0.3374,301,0.602,0.5585,0.644,0,0.0,0.0,0.0076,15,0.03,0.0183,0.0489,36,0.072,0.0525,0.0981,0,0.0,0.0,0.0076
rrt+mpc_dompc,RRT + MPC (do-mpc),500,154,0.308,0.2691,0.3498,326,0.652,0.6092,0.6925,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,20,0.04,0.026,0.061,0,0.0,0.0,0.0076
rrt+mpc,RRT + MPC (ours),500,157,0.314,0.2749,0.356,315,0.63,0.5868,0.6712,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,28,0.056,0.039,0.0797,0,0.0,0.0,0.0076
rrt+lstm_rl_upstream,RRT + LSTM-RL (upstream),500,177,0.354,0.3133,0.3969,300,0.6,0.5565,0.642,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,23,0.046,0.0308,0.0681,0,0.0,0.0,0.0076
dijkstra+cadrl_upstream,Dijkstra + CADRL (upstream),500,186,0.372,0.3308,0.4152,293,0.586,0.5423,0.6284,5,0.01,0.0043,0.0232,16,0.032,0.0198,0.0513,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
astar+cadrl_upstream,A* + CADRL (upstream),500,193,0.386,0.3444,0.4294,287,0.574,0.5303,0.6166,4,0.008,0.0031,0.0204,16,0.032,0.0198,0.0513,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
rrt+cadrl,RRT + CADRL (ours),500,195,0.39,0.3482,0.4334,258,0.516,0.4722,0.5595,7,0.014,0.0068,0.0286,5,0.01,0.0043,0.0232,35,0.07,0.0508,0.0958,0,0.0,0.0,0.0076
rrt+lstm_rl,RRT + LSTM-RL (ours),500,219,0.438,0.3951,0.4818,239,0.478,0.4346,0.5218,2,0.004,0.0011,0.0145,2,0.004,0.0011,0.0145,38,0.076,0.0559,0.1026,0,0.0,0.0,0.0076
rrt+crowdnav_dsrnn,RRT + CrowdNav DS-RNN,500,219,0.438,0.3951,0.4818,237,0.474,0.4306,0.5178,1,0.002,0.0004,0.0112,0,0.0,0.0,0.0076,43,0.086,0.0645,0.1138,0,0.0,0.0,0.0076
dijkstra+crowdnav_dsrnn,Dijkstra + CrowdNav DS-RNN,500,229,0.458,0.4148,0.5018,271,0.542,0.4982,0.5852,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
dijkstra+lstm_rl_upstream,Dijkstra + LSTM-RL (upstream),500,230,0.46,0.4168,0.5038,270,0.54,0.4962,0.5832,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
