algorithm,goal,collision,max_time,stalled,global_plan_failed,planner_error,n,goal_pct,collision_pct,max_time_pct,stalled_pct,global_plan_failed_pct,planner_error_pct
astar+dwa,241,189,0,70,0,0,500,48.2,37.8,0.0,14.0,0.0,0.0
astar+astar,135,365,0,0,0,0,500,27.0,73.0,0.0,0.0,0.0,0.0
astar+cadrl,258,225,8,9,0,0,500,51.6,45.0,1.6,1.8,0.0,0.0
astar+cadrl_upstream,193,287,4,16,0,0,500,38.6,57.4,0.8,3.2,0.0,0.0
astar+crowdnav_attngraph,239,80,179,2,0,0,500,47.8,16.0,35.8,0.4,0.0,0.0
astar+crowdnav_dsrnn,233,267,0,0,0,0,500,46.6,53.4,0.0,0.0,0.0,0.0
astar+dijkstra,118,382,0,0,0,0,500,23.6,76.4,0.0,0.0,0.0,0.0
astar+lstm_rl,280,220,0,0,0,0,500,56.0,44.0,0.0,0.0,0.0,0.0
astar+lstm_rl_upstream,231,269,0,0,0,0,500,46.2,53.8,0.0,0.0,0.0,0.0
astar+mpc,147,343,10,0,0,0,500,29.4,68.6,2.0,0.0,0.0,0.0
astar+mpc_dompc,100,398,2,0,0,0,500,20.0,79.6,0.4,0.0,0.0,0.0
astar+orca,88,396,0,16,0,0,500,17.6,79.2,0.0,3.2,0.0,0.0
astar+orca_heuristic,362,58,1,79,0,0,500,72.4,11.6,0.2,15.8,0.0,0.0
astar+rrt,17,482,1,0,0,0,500,3.4,96.4,0.2,0.0,0.0,0.0
astar+sarl,346,113,23,18,0,0,500,69.2,22.6,4.6,3.6,0.0,0.0
astar+sarl_upstream,386,114,0,0,0,0,500,77.2,22.8,0.0,0.0,0.0,0.0
astar+teb,11,480,9,0,0,0,500,2.2,96.0,1.8,0.0,0.0,0.0
astar+teb_upstream,33,467,0,0,0,0,500,6.6,93.4,0.0,0.0,0.0,0.0
dijkstra+astar,130,370,0,0,0,0,500,26.0,74.0,0.0,0.0,0.0,0.0
dijkstra+cadrl,255,228,8,9,0,0,500,51.0,45.6,1.6,1.8,0.0,0.0
dijkstra+cadrl_upstream,186,293,5,16,0,0,500,37.2,58.6,1.0,3.2,0.0,0.0
dijkstra+crowdnav_attngraph,241,79,178,2,0,0,500,48.2,15.8,35.6,0.4,0.0,0.0
dijkstra+crowdnav_dsrnn,229,271,0,0,0,0,500,45.8,54.2,0.0,0.0,0.0,0.0
dijkstra+dijkstra,130,370,0,0,0,0,500,26.0,74.0,0.0,0.0,0.0,0.0
dijkstra+dwa,237,193,0,70,0,0,500,47.4,38.6,0.0,14.0,0.0,0.0
dijkstra+lstm_rl,268,232,0,0,0,0,500,53.6,46.4,0.0,0.0,0.0,0.0
dijkstra+lstm_rl_upstream,230,270,0,0,0,0,500,46.0,54.0,0.0,0.0,0.0,0.0
dijkstra+mpc,145,345,10,0,0,0,500,29.0,69.0,2.0,0.0,0.0,0.0
dijkstra+mpc_dompc,99,399,2,0,0,0,500,19.8,79.8,0.4,0.0,0.0,0.0
dijkstra+orca,89,395,0,16,0,0,500,17.8,79.0,0.0,3.2,0.0,0.0
dijkstra+orca_heuristic,357,59,3,81,0,0,500,71.4,11.8,0.6,16.2,0.0,0.0
dijkstra+rrt,16,483,1,0,0,0,500,3.2,96.6,0.2,0.0,0.0,0.0
dijkstra+sarl,345,112,25,18,0,0,500,69.0,22.4,5.0,3.6,0.0,0.0
dijkstra+sarl_upstream,381,119,0,0,0,0,500,76.2,23.8,0.0,0.0,0.0,0.0
dijkstra+teb,11,480,9,0,0,0,500,2.2,96.0,1.8,0.0,0.0,0.0
dijkstra+teb_upstream,31,469,0,0,0,0,500,6.2,93.8,0.0,0.0,0.0,0.0
rrt+astar,62,416,1,0,21,0,500,12.4,83.2,0.2,0.0,4.2,0.0
rrt+cadrl,195,258,7,5,35,0,500,39.0,51.6,1.4,1.0,7.0,0.0
rrt+cadrl_upstream,107,344,25,8,16,0,500,21.4,68.8,5.0,1.6,3.2,0.0
rrt+crowdnav_attngraph,268,129,82,1,19,0,499,53.7,25.9,16.4,0.2,3.8,0.0
rrt+crowdnav_dsrnn,219,237,1,0,43,0,500,43.8,47.4,0.2,0.0,8.6,0.0
rrt+dijkstra,121,365,0,0,14,0,500,24.2,73.0,0.0,0.0,2.8,0.0
rrt+dwa,243,219,6,16,16,0,500,48.6,43.8,1.2,3.2,3.2,0.0
rrt+lstm_rl,219,239,2,2,38,0,500,43.8,47.8,0.4,0.4,7.6,0.0
rrt+lstm_rl_upstream,177,300,0,0,23,0,500,35.4,60.0,0.0,0.0,4.6,0.0
rrt+mpc,157,315,0,0,28,0,500,31.4,63.0,0.0,0.0,5.6,0.0
rrt+mpc_dompc,154,326,0,0,20,0,500,30.8,65.2,0.0,0.0,4.0,0.0
rrt+orca,148,301,0,15,36,0,500,29.6,60.2,0.0,3.0,7.2,0.0
rrt+orca_heuristic,327,62,1,92,18,0,500,65.4,12.4,0.2,18.4,3.6,0.0
rrt+rrt,36,423,3,0,38,0,500,7.2,84.6,0.6,0.0,7.6,0.0
rrt+sarl,259,169,40,6,26,0,500,51.8,33.8,8.0,1.2,5.2,0.0
rrt+sarl_upstream,305,154,3,0,38,0,500,61.0,30.8,0.6,0.0,7.6,0.0
rrt+teb,26,429,3,0,42,0,500,5.2,85.8,0.6,0.0,8.4,0.0
rrt+teb_upstream,91,378,1,2,28,0,500,18.2,75.6,0.2,0.4,5.6,0.0
