"term","estimate","se","ci_lo","ci_hi"
"(Intercept)",-0.0881262462148946,0.17309713157713,-0.42739662410607,0.251144131676281
"algorithmastar+astar",-1.06878095915181,0.144807100178732,-1.35260287550213,-0.784959042801498
"algorithmastar+cadrl",0.159044387280664,0.13686465399588,-0.10921033455126,0.427299109112588
"algorithmastar+cadrl_upstream",-0.457432766679379,0.138484863247101,-0.728863098643696,-0.186002434715061
"algorithmastar+crowdnav_attngraph",-0.018796427344949,0.136878972234513,-0.287079212924594,0.249486358234696
"algorithmastar+crowdnav_dsrnn",-0.0750802289851265,0.136959149210556,-0.343520161437816,0.193359703467563
"algorithmastar+dijkstra",-1.27341632846984,0.148167223821228,-1.56382408715945,-0.983008569780234
"algorithmastar+lstm_rl",0.366148254519452,0.137307096595064,0.0970263451931279,0.635270163845777
"algorithmastar+lstm_rl_upstream",-0.0938739638005383,0.136994049330466,-0.362382300488251,0.174634372887175
"algorithmastar+mpc",-0.933149787930737,0.142948937130768,-1.21332970470704,-0.652969871154433
"algorithmastar+mpc_dompc",-1.51151856766666,0.153010038570116,-1.81141824326409,-1.21161889206923
"algorithmastar+orca",-1.68699934014687,0.157299657110055,-1.99530666808258,-1.37869201221117
"algorithmastar+orca_heuristic",1.20529443741961,0.144561229480416,0.921954427637993,1.48863444720122
"algorithmastar+rrt",-3.60669454278121,0.268804374004336,-4.13355111582971,-3.07983796973271
"algorithmastar+sarl",1.02693049335749,0.142219306983457,0.748180651669912,1.30568033504507
"algorithmastar+sarl_upstream",1.49696925551534,0.149479355985061,1.20398971778462,1.78994879324606
"algorithmastar+teb",-4.06527020572976,0.323068031586515,-4.69848354763933,-3.43205686382019
"algorithmastar+teb_upstream",-2.88160702285485,0.208991923663285,-3.29123119323489,-2.47198285247481
"algorithmdijkstra+astar",-1.1272886467621,0.145697205536023,-1.41285516961271,-0.8417221239115
"algorithmdijkstra+cadrl",0.130955291087411,0.13684278604096,-0.13725656955287,0.399167151727692
"algorithmdijkstra+cadrl_upstream",-0.526518655874289,0.138948715195224,-0.798858137656927,-0.25417917409165
"algorithmdijkstra+crowdnav_attngraph",-6.06784870590592e-05,0.136860363759385,-0.268306991455454,0.268185634481336
"algorithmdijkstra+crowdnav_dsrnn",-0.112687566130214,0.137033072250337,-0.381272387740876,0.155897255480447
"algorithmdijkstra+dijkstra",-1.1272886467621,0.145697205536027,-1.41285516961272,-0.841722123911491
"algorithmdijkstra+dwa",-0.0375435466116657,0.136901629156835,-0.305870739759062,0.23078364653573
"algorithmdijkstra+lstm_rl",0.252865422916318,0.137003511821633,-0.0156614602540833,0.521392306086719
