k,log_odds,vb_sd,estimate,se
intercept,-0.172,0.015051020408163272,-0.0881262462148946,0.17309713157713
algo:astar+astar,-0.983,0.1068877551020408,-1.06878095915181,0.144807100178732
algo:astar+cadrl,0.246,0.0961734693877551,0.159044387280664,0.13686465399588
algo:astar+cadrl_upstream,-0.371,0.09846938775510203,-0.457432766679379,0.138484863247101
algo:astar+crowdnav_attngraph,0.068,0.0961734693877551,-0.018796427344949,0.136878972234513
algo:astar+crowdnav_dsrnn,0.011,0.09642857142857143,-0.0750802289851265,0.136959149210556
algo:astar+dijkstra,-1.187,0.11122448979591838,-1.27341632846984,0.148167223821228
algo:astar+lstm_rl,0.453,0.09693877551020408,0.366148254519452,0.137307096595064
algo:astar+lstm_rl_upstream,-0.008,0.09668367346938776,-0.0938739638005383,0.136994049330466
algo:astar+mpc,-0.847,0.10459183673469388,-0.933149787930737,0.142948937130768
algo:astar+mpc_dompc,-1.425,0.1173469387755102,-1.51151856766666,0.153010038570116
algo:astar+orca,-1.6,0.12295918367346939,-1.68699934014687,0.157299657110055
algo:astar+orca_heuristic,1.293,0.10663265306122448,1.20529443741961,0.144561229480416
algo:astar+rrt,-3.495,0.24209183673469384,-3.60669454278121,0.268804374004336
algo:astar+sarl,1.114,0.10357142857142855,1.02693049335749,0.142219306983457
algo:astar+sarl_upstream,1.585,0.11301020408163268,1.49696925551534,0.149479355985061
algo:astar+teb,-3.931,0.2915816326530612,-4.06527020572976,0.323068031586515
algo:astar+teb_upstream,-2.786,0.18188775510204072,-2.88160702285485,0.208991923663285
algo:dijkstra+astar,-1.041,0.10816326530612243,-1.1272886467621,0.145697205536023
algo:dijkstra+cadrl,0.217,0.0961734693877551,0.130955291087411,0.13684278604096
algo:dijkstra+cadrl_upstream,-0.44,0.09923469387755103,-0.526518655874289,0.138948715195224
algo:dijkstra+crowdnav_attngraph,0.086,0.0961734693877551,-6.06784870590592e-05,0.136860363759385
algo:dijkstra+crowdnav_dsrnn,-0.026,0.09668367346938776,-0.112687566130214,0.137033072250337
algo:dijkstra+dijkstra,-1.041,0.10816326530612243,-1.1272886467621,0.145697205536027
algo:dijkstra+dwa,0.049,0.09642857142857143,-0.0375435466116657,0.136901629156835
algo:dijkstra+lstm_rl,0.339,0.09668367346938776,0.252865422916318,0.137003511821633
algo:dijkstra+lstm_rl_upstream,-0.017,0.09642857142857143,-0.10327813572463,0.137013043894283
algo:dijkstra+mpc,-0.869,0.10484693877551018,-0.955324815625997,0.143233668033886
algo:dijkstra+mpc_dompc,-1.439,0.11785714285714285,-1.5255592228369,0.153329675892718
algo:dijkstra+orca,-1.585,0.12219387755102043,-1.67174840539217,0.156900695267021
algo:dijkstra+orca_heuristic,1.236,0.10561224489795923,1.14840212059528,0.143762345135449
algo:dijkstra+rrt,-3.557,0.248469387755102,-3.67119108667248,0.275566897047838
algo:dijkstra+sarl,1.104,0.10331632653061225,1.0161153704475,0.142092368113226
algo:dijkstra+sarl_upstream,1.521,0.11147959183673471,1.43327588944375,0.148282317819994
algo:dijkstra+teb,-3.931,0.2915816326530612,-4.06527020572976,0.323068031586518
algo:dijkstra+teb_upstream,-2.856,0.18673469387755096,-2.95184198904896,0.213630560376783
algo:rrt+astar,-2.05,0.1400510204081633,-2.13891552594288,0.171679280790942
algo:rrt+cadrl,-0.352,0.09821428571428571,-0.437850510003344,0.138364162838609
algo:rrt+cadrl_upstream,-1.329,0.11479591836734693,-1.41580323110174,0.150934835341914
algo:rrt+crowdnav_attngraph,0.344,0.09668367346938776,0.257137528818717,0.137092287589272
algo:rrt+crowdnav_dsrnn,-0.121,0.09693877551020408,-0.207137701653329,0.137291043303817
algo:rrt+dijkstra,-1.15,0.11045918367346941,-1.23606259807075,0.147501288951071
algo:rrt+dwa,0.105,0.09642857142857143,0.0186658498855704,0.136845791719363
algo:rrt+lstm_rl,-0.121,0.09693877551020408,-0.207137701653329,0.137291043303821
algo:rrt+lstm_rl_upstream,-0.531,0.10025510204081632,-0.616765354987117,0.139645520398152
algo:rrt+mpc,-0.738,0.10280612244897958,-0.824539807962939,0.141658018871441
algo:rrt+mpc_dompc,-0.771,0.10331632653061225,-0.85674597443301,0.142023124257311
algo:rrt+orca,-0.836,0.10433673469387757,-0.922121915285273,0.14281004903343
algo:rrt+orca_heuristic,0.914,0.10076530612244901,0.826906807762308,0.14013578162194
algo:rrt+rrt,-2.689,0.175,-2.78302397935976,0.202842805366695
algo:rrt+sarl,0.255,0.09642857142857143,0.168411785558703,0.13687396231666
algo:rrt+sarl_upstream,0.694,0.09846938775510204,0.606721850630516,0.138456079979919
algo:rrt+teb,-3.047,0.2012755102040817,-3.14702563729219,0.227721416629521
algo:rrt+teb_upstream,-1.555,0.12117346938775513,-1.64161330952396,0.156127373636547
cov:task_path_length_m,-0.319,0.015561224489795918,-0.340107997884006,0.15480407795989
cov:task_n_turns,0.002,0.015306122448979591,0.0097942632128861,0.122949751807945
cov:task_min_sidewalk_width_m,0.013,0.01403061224489796,0.0164007047658246,0.0784696597658044
cov:task_n_signalised_junctions,-0.517,0.016071428571428587,-0.49847414560125,0.13599922986808
cov:demand_total_ph,0.036,0.01556122448979592,0.0706973067202871,0.13144548766356
