term,coef,ci_lo,ci_hi,p
Intercept,0.552,0.488,0.617,0.0
C(algorithm)[T.astar+astar],-0.17,-0.217,-0.122,0.0
C(algorithm)[T.astar+cadrl],-0.049,-0.096,-0.001,0.0452
C(algorithm)[T.astar+cadrl_upstream],-0.081,-0.128,-0.033,0.0009
C(algorithm)[T.astar+crowdnav_attngraph],0.052,0.004,0.099,0.0343
C(algorithm)[T.astar+crowdnav_dsrnn],-0.105,-0.153,-0.057,0.0
C(algorithm)[T.astar+dijkstra],-0.191,-0.238,-0.143,0.0
C(algorithm)[T.astar+lstm_rl],-0.106,-0.154,-0.059,0.0
C(algorithm)[T.astar+lstm_rl_upstream],-0.126,-0.174,-0.078,0.0
C(algorithm)[T.astar+mpc],-0.163,-0.211,-0.115,0.0
C(algorithm)[T.astar+mpc_dompc],-0.196,-0.244,-0.149,0.0
C(algorithm)[T.astar+orca],-0.183,-0.23,-0.135,0.0
C(algorithm)[T.astar+orca_heuristic],0.116,0.069,0.164,0.0
C(algorithm)[T.astar+rrt],-0.243,-0.291,-0.195,0.0
C(algorithm)[T.astar+sarl],0.005,-0.043,0.052,0.8497
C(algorithm)[T.astar+sarl_upstream],-0.023,-0.071,0.024,0.3379
C(algorithm)[T.astar+teb],-0.225,-0.273,-0.177,0.0
C(algorithm)[T.astar+teb_upstream],-0.235,-0.283,-0.188,0.0
C(algorithm)[T.dijkstra+astar],-0.172,-0.219,-0.124,0.0
C(algorithm)[T.dijkstra+cadrl],-0.051,-0.099,-0.003,0.036
C(algorithm)[T.dijkstra+cadrl_upstream],-0.083,-0.131,-0.035,0.0006
C(algorithm)[T.dijkstra+crowdnav_attngraph],0.054,0.006,0.101,0.0276
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.102,-0.15,-0.054,0.0
C(algorithm)[T.dijkstra+dijkstra],-0.186,-0.234,-0.138,0.0
C(algorithm)[T.dijkstra+dwa],-0.004,-0.052,0.044,0.8648
C(algorithm)[T.dijkstra+lstm_rl],-0.109,-0.157,-0.061,0.0
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.127,-0.175,-0.079,0.0
C(algorithm)[T.dijkstra+mpc],-0.163,-0.21,-0.115,0.0
C(algorithm)[T.dijkstra+mpc_dompc],-0.197,-0.244,-0.149,0.0
C(algorithm)[T.dijkstra+orca],-0.183,-0.231,-0.136,0.0
C(algorithm)[T.dijkstra+orca_heuristic],0.116,0.068,0.164,0.0
C(algorithm)[T.dijkstra+rrt],-0.246,-0.293,-0.198,0.0
C(algorithm)[T.dijkstra+sarl],0.004,-0.044,0.052,0.8646
C(algorithm)[T.dijkstra+sarl_upstream],-0.024,-0.072,0.024,0.3261
C(algorithm)[T.dijkstra+teb],-0.227,-0.275,-0.179,0.0
C(algorithm)[T.dijkstra+teb_upstream],-0.235,-0.283,-0.187,0.0
C(algorithm)[T.rrt+astar],-0.206,-0.254,-0.158,0.0
C(algorithm)[T.rrt+cadrl],-0.003,-0.052,0.046,0.9056
C(algorithm)[T.rrt+cadrl_upstream],0.005,-0.043,0.053,0.8418
C(algorithm)[T.rrt+crowdnav_attngraph],0.042,-0.007,0.09,0.0913
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.056,-0.105,-0.007,0.0253
C(algorithm)[T.rrt+dijkstra],-0.161,-0.209,-0.113,0.0
C(algorithm)[T.rrt+dwa],-0.029,-0.077,0.019,0.2347
C(algorithm)[T.rrt+lstm_rl],-0.073,-0.121,-0.024,0.0034
C(algorithm)[T.rrt+lstm_rl_upstream],-0.119,-0.168,-0.071,0.0
C(algorithm)[T.rrt+mpc],-0.15,-0.198,-0.101,0.0
C(algorithm)[T.rrt+mpc_dompc],-0.164,-0.213,-0.116,0.0
C(algorithm)[T.rrt+orca],-0.149,-0.198,-0.1,0.0
C(algorithm)[T.rrt+orca_heuristic],0.094,0.046,0.142,0.0001
C(algorithm)[T.rrt+rrt],-0.231,-0.28,-0.182,0.0
C(algorithm)[T.rrt+sarl],0.003,-0.045,0.052,0.8903
C(algorithm)[T.rrt+sarl_upstream],0.003,-0.045,0.052,0.8932
C(algorithm)[T.rrt+teb],-0.208,-0.256,-0.159,0.0
C(algorithm)[T.rrt+teb_upstream],-0.184,-0.232,-0.135,0.0
standardize(task_path_length_m),-0.035,-0.07,0.0,0.0507
standardize(task_n_turns),-0.002,-0.022,0.018,0.861
standardize(task_min_sidewalk_width_m),0.007,-0.006,0.02,0.3117
standardize(task_n_signalised_junctions),-0.005,-0.034,0.023,0.7067
standardize(demand_total_ph),-0.024,-0.058,0.009,0.153
map Var,0.023,-0.026,0.072,0.3584
seed Var,0.005,-0.0,0.01,0.054
task Var,0.011,0.005,0.016,0.0002
