term,coef,ci_lo,ci_hi,p
Intercept,5.518,5.257,5.78,0.0
C(algorithm)[T.astar+astar],0.003,-0.033,0.038,0.8775
C(algorithm)[T.astar+cadrl],0.016,-0.014,0.046,0.2903
C(algorithm)[T.astar+cadrl_upstream],0.129,0.097,0.161,0.0
C(algorithm)[T.astar+crowdnav_attngraph],0.174,0.144,0.204,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],0.014,-0.017,0.044,0.3791
C(algorithm)[T.astar+dijkstra],-0.002,-0.039,0.035,0.9113
C(algorithm)[T.astar+lstm_rl],0.122,0.093,0.152,0.0
C(algorithm)[T.astar+lstm_rl_upstream],0.003,-0.027,0.034,0.8414
C(algorithm)[T.astar+mpc],-0.019,-0.054,0.015,0.2745
C(algorithm)[T.astar+mpc_dompc],-0.002,-0.041,0.038,0.9364
C(algorithm)[T.astar+orca],-0.004,-0.045,0.038,0.864
C(algorithm)[T.astar+orca_heuristic],0.009,-0.019,0.036,0.542
C(algorithm)[T.astar+rrt],-0.031,-0.114,0.052,0.4701
C(algorithm)[T.astar+sarl],0.16,0.133,0.188,0.0
C(algorithm)[T.astar+sarl_upstream],0.041,0.014,0.068,0.0033
C(algorithm)[T.astar+teb],-0.069,-0.17,0.033,0.1873
C(algorithm)[T.astar+teb_upstream],-0.033,-0.095,0.028,0.2856
C(algorithm)[T.dijkstra+astar],-0.001,-0.037,0.035,0.9532
C(algorithm)[T.dijkstra+cadrl],0.014,-0.015,0.044,0.3401
C(algorithm)[T.dijkstra+cadrl_upstream],0.125,0.093,0.158,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],0.177,0.147,0.207,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],0.013,-0.018,0.043,0.4177
C(algorithm)[T.dijkstra+dijkstra],0.002,-0.034,0.038,0.897
C(algorithm)[T.dijkstra+dwa],-0.001,-0.032,0.029,0.9242
C(algorithm)[T.dijkstra+lstm_rl],0.122,0.092,0.151,0.0
C(algorithm)[T.dijkstra+lstm_rl_upstream],0.003,-0.028,0.033,0.853
C(algorithm)[T.dijkstra+mpc],-0.02,-0.055,0.015,0.2539
C(algorithm)[T.dijkstra+mpc_dompc],0.001,-0.038,0.041,0.9557
C(algorithm)[T.dijkstra+orca],-0.002,-0.043,0.039,0.9397
C(algorithm)[T.dijkstra+orca_heuristic],0.008,-0.02,0.036,0.5705
C(algorithm)[T.dijkstra+rrt],-0.029,-0.115,0.056,0.4999
C(algorithm)[T.dijkstra+sarl],0.16,0.132,0.188,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.041,0.013,0.068,0.0034
C(algorithm)[T.dijkstra+teb],-0.069,-0.17,0.033,0.1873
C(algorithm)[T.dijkstra+teb_upstream],-0.037,-0.1,0.026,0.247
C(algorithm)[T.rrt+astar],-0.001,-0.048,0.046,0.9579
C(algorithm)[T.rrt+cadrl],0.085,0.053,0.117,0.0
C(algorithm)[T.rrt+cadrl_upstream],0.154,0.116,0.193,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],0.225,0.196,0.255,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],0.066,0.035,0.097,0.0
C(algorithm)[T.rrt+dijkstra],0.064,0.027,0.1,0.0007
C(algorithm)[T.rrt+dwa],0.072,0.042,0.102,0.0
C(algorithm)[T.rrt+lstm_rl],0.205,0.174,0.236,0.0
C(algorithm)[T.rrt+lstm_rl_upstream],0.074,0.041,0.107,0.0
C(algorithm)[T.rrt+mpc],0.055,0.021,0.089,0.0015
C(algorithm)[T.rrt+mpc_dompc],0.079,0.044,0.113,0.0
C(algorithm)[T.rrt+orca],0.062,0.028,0.097,0.0004
C(algorithm)[T.rrt+orca_heuristic],0.101,0.073,0.129,0.0
C(algorithm)[T.rrt+rrt],0.042,-0.017,0.101,0.1607
C(algorithm)[T.rrt+sarl],0.226,0.197,0.256,0.0
C(algorithm)[T.rrt+sarl_upstream],0.118,0.09,0.147,0.0
C(algorithm)[T.rrt+teb],-0.019,-0.087,0.05,0.5941
C(algorithm)[T.rrt+teb_upstream],0.026,-0.014,0.067,0.2071
standardize(task_path_length_m),0.28,0.266,0.294,0.0
standardize(task_n_turns),-0.023,-0.03,-0.016,0.0
standardize(task_min_sidewalk_width_m),-0.009,-0.013,-0.004,0.0002
standardize(task_n_signalised_junctions),-0.02,-0.029,-0.011,0.0
standardize(demand_total_ph),0.008,-0.019,0.036,0.5449
map Var,2.426,-1.275,6.126,0.1988
seed Var,0.002,-0.007,0.011,0.6676
task Var,1.38,-0.15,2.911,0.0771
