term,coef,ci_lo,ci_hi,p
Intercept,0.586,0.551,0.621,0.0
C(algorithm)[T.astar+astar],-0.053,-0.077,-0.029,0.0
C(algorithm)[T.astar+cadrl],-0.006,-0.031,0.018,0.6059
C(algorithm)[T.astar+cadrl_upstream],0.071,0.047,0.095,0.0
C(algorithm)[T.astar+crowdnav_attngraph],0.218,0.194,0.242,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],-0.006,-0.03,0.018,0.6201
C(algorithm)[T.astar+dijkstra],-0.051,-0.076,-0.027,0.0
C(algorithm)[T.astar+lstm_rl],0.026,0.002,0.05,0.0372
C(algorithm)[T.astar+lstm_rl_upstream],-0.019,-0.043,0.005,0.1215
C(algorithm)[T.astar+mpc],-0.023,-0.047,0.002,0.066
C(algorithm)[T.astar+mpc_dompc],-0.03,-0.054,-0.005,0.0163
C(algorithm)[T.astar+orca],-0.06,-0.084,-0.036,0.0
C(algorithm)[T.astar+orca_heuristic],0.013,-0.011,0.037,0.291
C(algorithm)[T.astar+rrt],-0.104,-0.128,-0.08,0.0
C(algorithm)[T.astar+sarl],0.116,0.092,0.14,0.0
C(algorithm)[T.astar+sarl_upstream],0.028,0.004,0.053,0.021
C(algorithm)[T.astar+teb],-0.092,-0.117,-0.068,0.0
C(algorithm)[T.astar+teb_upstream],-0.054,-0.078,-0.03,0.0
C(algorithm)[T.dijkstra+astar],-0.052,-0.076,-0.027,0.0
C(algorithm)[T.dijkstra+cadrl],-0.006,-0.03,0.019,0.6457
C(algorithm)[T.dijkstra+cadrl_upstream],0.077,0.052,0.101,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],0.215,0.191,0.239,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.006,-0.03,0.018,0.6267
C(algorithm)[T.dijkstra+dijkstra],-0.051,-0.076,-0.027,0.0
C(algorithm)[T.dijkstra+dwa],-0.001,-0.025,0.023,0.9397
C(algorithm)[T.dijkstra+lstm_rl],0.025,0.001,0.049,0.045
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.017,-0.042,0.007,0.1563
C(algorithm)[T.dijkstra+mpc],-0.022,-0.047,0.002,0.0687
C(algorithm)[T.dijkstra+mpc_dompc],-0.03,-0.054,-0.006,0.0159
C(algorithm)[T.dijkstra+orca],-0.059,-0.083,-0.035,0.0
C(algorithm)[T.dijkstra+orca_heuristic],0.016,-0.008,0.04,0.1966
C(algorithm)[T.dijkstra+rrt],-0.104,-0.128,-0.079,0.0
C(algorithm)[T.dijkstra+sarl],0.116,0.092,0.14,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.028,0.003,0.052,0.0249
C(algorithm)[T.dijkstra+teb],-0.092,-0.116,-0.067,0.0
C(algorithm)[T.dijkstra+teb_upstream],-0.053,-0.077,-0.029,0.0
C(algorithm)[T.rrt+astar],-0.139,-0.163,-0.114,0.0
C(algorithm)[T.rrt+cadrl],-0.006,-0.03,0.019,0.6498
C(algorithm)[T.rrt+cadrl_upstream],0.048,0.023,0.072,0.0001
C(algorithm)[T.rrt+crowdnav_attngraph],0.153,0.129,0.178,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.001,-0.025,0.024,0.9625
C(algorithm)[T.rrt+dijkstra],-0.084,-0.108,-0.06,0.0
C(algorithm)[T.rrt+dwa],-0.007,-0.032,0.017,0.5671
C(algorithm)[T.rrt+lstm_rl],0.022,-0.003,0.047,0.0816
C(algorithm)[T.rrt+lstm_rl_upstream],-0.032,-0.057,-0.008,0.0099
C(algorithm)[T.rrt+mpc],-0.022,-0.047,0.002,0.0726
C(algorithm)[T.rrt+mpc_dompc],-0.008,-0.032,0.017,0.5248
C(algorithm)[T.rrt+orca],-0.026,-0.05,-0.001,0.0418
C(algorithm)[T.rrt+orca_heuristic],0.015,-0.01,0.039,0.2325
C(algorithm)[T.rrt+rrt],-0.117,-0.142,-0.092,0.0
C(algorithm)[T.rrt+sarl],0.089,0.064,0.113,0.0
C(algorithm)[T.rrt+sarl_upstream],0.02,-0.005,0.045,0.1152
C(algorithm)[T.rrt+teb],-0.182,-0.206,-0.157,0.0
C(algorithm)[T.rrt+teb_upstream],-0.062,-0.086,-0.037,0.0
standardize(task_path_length_m),0.001,-0.009,0.01,0.8854
standardize(task_n_turns),0.029,0.024,0.033,0.0
standardize(task_min_sidewalk_width_m),0.0,-0.003,0.003,0.9756
standardize(task_n_signalised_junctions),-0.008,-0.014,-0.002,0.0068
standardize(demand_total_ph),0.014,-0.002,0.03,0.0792
map Var,0.023,-0.012,0.057,0.1978
seed Var,0.004,-0.0,0.008,0.0553
task Var,0.016,0.001,0.031,0.0416
