term,coef,ci_lo,ci_hi,p
Intercept,0.895,0.641,1.15,0.0
C(algorithm)[T.astar+astar],-0.228,-0.321,-0.135,0.0
C(algorithm)[T.astar+cadrl],-0.008,-0.101,0.085,0.869
C(algorithm)[T.astar+cadrl_upstream],0.217,0.124,0.31,0.0
C(algorithm)[T.astar+crowdnav_attngraph],1.025,0.932,1.118,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],0.048,-0.045,0.141,0.3132
C(algorithm)[T.astar+dijkstra],-0.273,-0.366,-0.18,0.0
C(algorithm)[T.astar+lstm_rl],0.038,-0.055,0.131,0.4221
C(algorithm)[T.astar+lstm_rl_upstream],-0.088,-0.181,0.006,0.0652
C(algorithm)[T.astar+mpc],-0.157,-0.25,-0.064,0.001
C(algorithm)[T.astar+mpc_dompc],-0.133,-0.226,-0.04,0.0051
C(algorithm)[T.astar+orca],-0.165,-0.258,-0.072,0.0005
C(algorithm)[T.astar+orca_heuristic],0.056,-0.037,0.149,0.2413
C(algorithm)[T.astar+rrt],-0.358,-0.451,-0.265,0.0
C(algorithm)[T.astar+sarl],0.695,0.602,0.788,0.0
C(algorithm)[T.astar+sarl_upstream],0.105,0.012,0.198,0.0271
C(algorithm)[T.astar+teb],-0.315,-0.408,-0.222,0.0
C(algorithm)[T.astar+teb_upstream],-0.186,-0.279,-0.093,0.0001
C(algorithm)[T.dijkstra+astar],-0.221,-0.314,-0.128,0.0
C(algorithm)[T.dijkstra+cadrl],-0.009,-0.102,0.084,0.8465
C(algorithm)[T.dijkstra+cadrl_upstream],0.215,0.121,0.308,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],1.024,0.931,1.117,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],0.06,-0.034,0.153,0.2104
C(algorithm)[T.dijkstra+dijkstra],-0.252,-0.345,-0.159,0.0
C(algorithm)[T.dijkstra+dwa],-0.01,-0.103,0.084,0.8398
C(algorithm)[T.dijkstra+lstm_rl],0.043,-0.05,0.136,0.3653
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.071,-0.164,0.022,0.1344
C(algorithm)[T.dijkstra+mpc],-0.148,-0.242,-0.055,0.0018
C(algorithm)[T.dijkstra+mpc_dompc],-0.117,-0.21,-0.024,0.0139
C(algorithm)[T.dijkstra+orca],-0.16,-0.254,-0.067,0.0007
C(algorithm)[T.dijkstra+orca_heuristic],0.075,-0.018,0.168,0.1146
C(algorithm)[T.dijkstra+rrt],-0.36,-0.453,-0.267,0.0
C(algorithm)[T.dijkstra+sarl],0.712,0.619,0.805,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.115,0.022,0.208,0.0153
C(algorithm)[T.dijkstra+teb],-0.287,-0.38,-0.194,0.0
C(algorithm)[T.dijkstra+teb_upstream],-0.168,-0.261,-0.075,0.0004
C(algorithm)[T.rrt+astar],-0.382,-0.476,-0.288,0.0
C(algorithm)[T.rrt+cadrl],-0.185,-0.28,-0.091,0.0001
C(algorithm)[T.rrt+cadrl_upstream],0.018,-0.076,0.111,0.7138
C(algorithm)[T.rrt+crowdnav_attngraph],0.496,0.402,0.59,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.122,-0.217,-0.027,0.0122
C(algorithm)[T.rrt+dijkstra],-0.29,-0.383,-0.196,0.0
C(algorithm)[T.rrt+dwa],-0.174,-0.268,-0.08,0.0003
C(algorithm)[T.rrt+lstm_rl],-0.067,-0.162,0.028,0.167
C(algorithm)[T.rrt+lstm_rl_upstream],-0.221,-0.315,-0.127,0.0
C(algorithm)[T.rrt+mpc],-0.109,-0.204,-0.015,0.0233
C(algorithm)[T.rrt+mpc_dompc],-0.084,-0.178,0.01,0.0806
C(algorithm)[T.rrt+orca],-0.127,-0.222,-0.032,0.0088
C(algorithm)[T.rrt+orca_heuristic],-0.065,-0.159,0.029,0.1769
C(algorithm)[T.rrt+rrt],-0.347,-0.442,-0.252,0.0
C(algorithm)[T.rrt+sarl],0.454,0.36,0.549,0.0
C(algorithm)[T.rrt+sarl_upstream],-0.043,-0.138,0.052,0.3739
C(algorithm)[T.rrt+teb],-0.407,-0.502,-0.312,0.0
C(algorithm)[T.rrt+teb_upstream],-0.208,-0.303,-0.114,0.0
standardize(task_path_length_m),0.151,0.016,0.285,0.0288
standardize(task_n_turns),-0.03,-0.124,0.065,0.5414
standardize(task_min_sidewalk_width_m),-0.02,-0.078,0.038,0.5001
standardize(task_n_signalised_junctions),-0.056,-0.172,0.061,0.3486
standardize(demand_total_ph),-0.016,-0.086,0.054,0.6587
map Var,0.128,-0.071,0.326,0.2069
seed Var,0.009,0.0,0.018,0.0448
task Var,0.073,0.041,0.105,0.0
