term,coef,ci_lo,ci_hi,p
Intercept,2.197,1.523,2.871,0.0
C(algorithm)[T.astar+astar],-0.567,-0.717,-0.416,0.0
C(algorithm)[T.astar+cadrl],-0.091,-0.241,0.06,0.238
C(algorithm)[T.astar+cadrl_upstream],0.876,0.725,1.026,0.0
C(algorithm)[T.astar+crowdnav_attngraph],2.617,2.467,2.768,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],-0.181,-0.331,-0.03,0.0184
C(algorithm)[T.astar+dijkstra],-0.766,-0.916,-0.615,0.0
C(algorithm)[T.astar+lstm_rl],0.278,0.127,0.428,0.0003
C(algorithm)[T.astar+lstm_rl_upstream],-0.208,-0.359,-0.058,0.0067
C(algorithm)[T.astar+mpc],-0.408,-0.559,-0.258,0.0
C(algorithm)[T.astar+mpc_dompc],-0.561,-0.712,-0.411,0.0
C(algorithm)[T.astar+orca],-0.535,-0.685,-0.384,0.0
C(algorithm)[T.astar+orca_heuristic],0.342,0.191,0.492,0.0
C(algorithm)[T.astar+rrt],-1.289,-1.439,-1.138,0.0
C(algorithm)[T.astar+sarl],1.14,0.99,1.291,0.0
C(algorithm)[T.astar+sarl_upstream],0.203,0.052,0.353,0.0083
C(algorithm)[T.astar+teb],-1.35,-1.501,-1.2,0.0
C(algorithm)[T.astar+teb_upstream],-0.96,-1.11,-0.809,0.0
C(algorithm)[T.dijkstra+astar],-0.563,-0.713,-0.412,0.0
C(algorithm)[T.dijkstra+cadrl],-0.112,-0.263,0.038,0.1434
C(algorithm)[T.dijkstra+cadrl_upstream],0.864,0.714,1.015,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],2.597,2.447,2.748,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.167,-0.318,-0.017,0.0296
C(algorithm)[T.dijkstra+dijkstra],-0.726,-0.876,-0.575,0.0
C(algorithm)[T.dijkstra+dwa],-0.023,-0.173,0.127,0.7644
C(algorithm)[T.dijkstra+lstm_rl],0.256,0.105,0.406,0.0009
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.204,-0.355,-0.054,0.0079
C(algorithm)[T.dijkstra+mpc],-0.398,-0.549,-0.248,0.0
C(algorithm)[T.dijkstra+mpc_dompc],-0.563,-0.713,-0.412,0.0
C(algorithm)[T.dijkstra+orca],-0.533,-0.684,-0.383,0.0
C(algorithm)[T.dijkstra+orca_heuristic],0.354,0.204,0.505,0.0
C(algorithm)[T.dijkstra+rrt],-1.289,-1.44,-1.139,0.0
C(algorithm)[T.dijkstra+sarl],1.156,1.006,1.306,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.18,0.029,0.33,0.0191
C(algorithm)[T.dijkstra+teb],-1.339,-1.49,-1.189,0.0
C(algorithm)[T.dijkstra+teb_upstream],-0.963,-1.113,-0.813,0.0
C(algorithm)[T.rrt+astar],-1.129,-1.281,-0.977,0.0
C(algorithm)[T.rrt+cadrl],-0.361,-0.515,-0.208,0.0
C(algorithm)[T.rrt+cadrl_upstream],0.34,0.189,0.492,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],1.247,1.095,1.399,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.447,-0.601,-0.293,0.0
C(algorithm)[T.rrt+dijkstra],-0.871,-1.023,-0.72,0.0
C(algorithm)[T.rrt+dwa],-0.448,-0.6,-0.296,0.0
C(algorithm)[T.rrt+lstm_rl],-0.092,-0.246,0.061,0.2382
C(algorithm)[T.rrt+lstm_rl_upstream],-0.619,-0.772,-0.467,0.0
C(algorithm)[T.rrt+mpc],-0.2,-0.353,-0.048,0.0101
C(algorithm)[T.rrt+mpc_dompc],-0.281,-0.433,-0.129,0.0003
C(algorithm)[T.rrt+orca],-0.238,-0.391,-0.084,0.0024
C(algorithm)[T.rrt+orca_heuristic],0.154,0.002,0.306,0.0473
C(algorithm)[T.rrt+rrt],-1.183,-1.337,-1.03,0.0
C(algorithm)[T.rrt+sarl],0.689,0.537,0.842,0.0
C(algorithm)[T.rrt+sarl_upstream],-0.167,-0.32,-0.013,0.0335
C(algorithm)[T.rrt+teb],-1.408,-1.562,-1.254,0.0
C(algorithm)[T.rrt+teb_upstream],-0.656,-0.809,-0.504,0.0
standardize(task_path_length_m),0.407,0.173,0.641,0.0007
standardize(task_n_turns),-0.066,-0.227,0.095,0.4208
standardize(task_min_sidewalk_width_m),-0.038,-0.136,0.06,0.4463
standardize(task_n_signalised_junctions),-0.148,-0.354,0.058,0.1596
standardize(demand_total_ph),0.026,-0.091,0.144,0.6613
map Var,0.376,,,
seed Var,0.016,-0.004,0.035,0.1155
task Var,0.081,0.043,0.118,0.0
