term,coef,ci_lo,ci_hi,p
Intercept,5.655,5.537,5.772,0.0
C(algorithm)[T.astar+astar],-0.07,-0.125,-0.016,0.0111
C(algorithm)[T.astar+cadrl],-0.058,-0.103,-0.013,0.0122
C(algorithm)[T.astar+cadrl_upstream],0.457,0.408,0.506,0.0
C(algorithm)[T.astar+crowdnav_attngraph],0.515,0.469,0.561,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],-0.046,-0.092,0.001,0.0535
C(algorithm)[T.astar+dijkstra],-0.079,-0.136,-0.022,0.0067
C(algorithm)[T.astar+lstm_rl],0.083,0.039,0.128,0.0002
C(algorithm)[T.astar+lstm_rl_upstream],-0.07,-0.116,-0.023,0.0034
C(algorithm)[T.astar+mpc],-0.057,-0.11,-0.004,0.0358
C(algorithm)[T.astar+mpc_dompc],-0.061,-0.122,-0.001,0.0459
C(algorithm)[T.astar+orca],-0.058,-0.121,0.005,0.0708
C(algorithm)[T.astar+orca_heuristic],-0.025,-0.067,0.017,0.2495
C(algorithm)[T.astar+rrt],-0.072,-0.199,0.055,0.2693
C(algorithm)[T.astar+sarl],0.364,0.322,0.407,0.0
C(algorithm)[T.astar+sarl_upstream],0.023,-0.019,0.064,0.2834
C(algorithm)[T.astar+teb],-0.036,-0.192,0.12,0.6547
C(algorithm)[T.astar+teb_upstream],-0.063,-0.157,0.031,0.1913
C(algorithm)[T.dijkstra+astar],-0.063,-0.118,-0.008,0.0254
C(algorithm)[T.dijkstra+cadrl],-0.052,-0.097,-0.006,0.0254
C(algorithm)[T.dijkstra+cadrl_upstream],0.451,0.402,0.501,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],0.516,0.47,0.562,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.042,-0.089,0.004,0.075
C(algorithm)[T.dijkstra+dijkstra],-0.071,-0.126,-0.015,0.0121
C(algorithm)[T.dijkstra+dwa],0.002,-0.044,0.048,0.927
C(algorithm)[T.dijkstra+lstm_rl],0.086,0.041,0.131,0.0002
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.063,-0.109,-0.016,0.0083
C(algorithm)[T.dijkstra+mpc],-0.052,-0.105,0.001,0.0559
C(algorithm)[T.dijkstra+mpc_dompc],-0.054,-0.115,0.006,0.0785
C(algorithm)[T.dijkstra+orca],-0.047,-0.11,0.016,0.1413
C(algorithm)[T.dijkstra+orca_heuristic],-0.021,-0.063,0.021,0.3324
C(algorithm)[T.dijkstra+rrt],-0.066,-0.197,0.065,0.3217
C(algorithm)[T.dijkstra+sarl],0.371,0.329,0.414,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.027,-0.015,0.068,0.209
C(algorithm)[T.dijkstra+teb],-0.036,-0.192,0.12,0.6547
C(algorithm)[T.dijkstra+teb_upstream],-0.06,-0.157,0.036,0.2207
C(algorithm)[T.rrt+astar],-0.053,-0.125,0.019,0.1518
C(algorithm)[T.rrt+cadrl],-0.002,-0.051,0.046,0.9254
C(algorithm)[T.rrt+cadrl_upstream],0.446,0.387,0.504,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],0.445,0.4,0.49,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.019,-0.066,0.028,0.4299
C(algorithm)[T.rrt+dijkstra],-0.014,-0.07,0.043,0.6329
C(algorithm)[T.rrt+dwa],0.015,-0.031,0.061,0.5346
C(algorithm)[T.rrt+lstm_rl],0.166,0.118,0.213,0.0
C(algorithm)[T.rrt+lstm_rl_upstream],0.004,-0.046,0.054,0.8746
C(algorithm)[T.rrt+mpc],-0.018,-0.07,0.034,0.4931
C(algorithm)[T.rrt+mpc_dompc],0.018,-0.034,0.07,0.4976
C(algorithm)[T.rrt+orca],-0.012,-0.064,0.041,0.667
C(algorithm)[T.rrt+orca_heuristic],0.051,0.008,0.094,0.0197
C(algorithm)[T.rrt+rrt],0.001,-0.089,0.092,0.9817
C(algorithm)[T.rrt+sarl],0.402,0.357,0.448,0.0
C(algorithm)[T.rrt+sarl_upstream],0.079,0.036,0.123,0.0004
C(algorithm)[T.rrt+teb],-0.02,-0.125,0.085,0.7088
C(algorithm)[T.rrt+teb_upstream],-0.052,-0.114,0.01,0.1027
standardize(task_path_length_m),0.389,0.29,0.488,0.0
standardize(task_n_turns),0.003,-0.079,0.086,0.9348
standardize(task_min_sidewalk_width_m),-0.006,-0.07,0.059,0.8632
standardize(task_n_signalised_junctions),0.054,-0.053,0.161,0.3224
standardize(demand_total_ph),-0.019,-0.061,0.023,0.3776
map Var,0.173,-0.382,0.728,0.541
seed Var,0.006,-0.001,0.013,0.0945
task Var,0.565,0.311,0.819,0.0
