term,coef,ci_lo,ci_hi,p
Intercept,4.066,3.019,5.113,0.0
C(algorithm)[T.astar+astar],-1.067,-1.333,-0.8,0.0
C(algorithm)[T.astar+cadrl],-0.092,-0.359,0.175,0.4974
C(algorithm)[T.astar+cadrl_upstream],1.546,1.279,1.812,0.0
C(algorithm)[T.astar+crowdnav_attngraph],4.486,4.22,4.753,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],-0.059,-0.326,0.208,0.6662
C(algorithm)[T.astar+dijkstra],-1.409,-1.675,-1.142,0.0
C(algorithm)[T.astar+lstm_rl],0.42,0.153,0.686,0.002
C(algorithm)[T.astar+lstm_rl_upstream],-0.331,-0.598,-0.064,0.015
C(algorithm)[T.astar+mpc],-0.477,-0.743,-0.21,0.0005
C(algorithm)[T.astar+mpc_dompc],-0.891,-1.157,-0.624,0.0
C(algorithm)[T.astar+orca],-1.131,-1.397,-0.864,0.0
C(algorithm)[T.astar+orca_heuristic],0.582,0.315,0.849,0.0
C(algorithm)[T.astar+rrt],-2.105,-2.371,-1.838,0.0
C(algorithm)[T.astar+sarl],2.519,2.252,2.786,0.0
C(algorithm)[T.astar+sarl_upstream],0.576,0.31,0.843,0.0
C(algorithm)[T.astar+teb],-1.939,-2.205,-1.672,0.0
C(algorithm)[T.astar+teb_upstream],-1.625,-1.892,-1.359,0.0
C(algorithm)[T.dijkstra+astar],-1.045,-1.312,-0.778,0.0
C(algorithm)[T.dijkstra+cadrl],-0.102,-0.369,0.165,0.4538
C(algorithm)[T.dijkstra+cadrl_upstream],1.575,1.308,1.842,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],4.47,4.203,4.737,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.036,-0.303,0.23,0.7891
C(algorithm)[T.dijkstra+dijkstra],-1.333,-1.6,-1.066,0.0
C(algorithm)[T.dijkstra+dwa],-0.031,-0.298,0.236,0.8206
C(algorithm)[T.dijkstra+lstm_rl],0.425,0.158,0.691,0.0018
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.332,-0.599,-0.065,0.0147
C(algorithm)[T.dijkstra+mpc],-0.461,-0.727,-0.194,0.0007
C(algorithm)[T.dijkstra+mpc_dompc],-0.881,-1.148,-0.614,0.0
C(algorithm)[T.dijkstra+orca],-1.134,-1.4,-0.867,0.0
C(algorithm)[T.dijkstra+orca_heuristic],0.623,0.356,0.89,0.0
C(algorithm)[T.dijkstra+rrt],-2.105,-2.371,-1.838,0.0
C(algorithm)[T.dijkstra+sarl],2.565,2.298,2.833,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.556,0.289,0.823,0.0
C(algorithm)[T.dijkstra+teb],-1.887,-2.154,-1.62,0.0
C(algorithm)[T.dijkstra+teb_upstream],-1.616,-1.883,-1.349,0.0
C(algorithm)[T.rrt+astar],-1.931,-2.201,-1.661,0.0
C(algorithm)[T.rrt+cadrl],-0.295,-0.567,-0.023,0.0334
C(algorithm)[T.rrt+cadrl_upstream],0.921,0.652,1.19,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],2.805,2.536,3.075,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.124,-0.397,0.149,0.3744
C(algorithm)[T.rrt+dijkstra],-1.378,-1.647,-1.11,0.0
C(algorithm)[T.rrt+dwa],-0.135,-0.404,0.134,0.3252
C(algorithm)[T.rrt+lstm_rl],0.306,0.034,0.578,0.0277
C(algorithm)[T.rrt+lstm_rl_upstream],-0.812,-1.082,-0.542,0.0
C(algorithm)[T.rrt+mpc],-0.347,-0.617,-0.076,0.0121
C(algorithm)[T.rrt+mpc_dompc],-0.317,-0.586,-0.047,0.0213
C(algorithm)[T.rrt+orca],-0.557,-0.829,-0.285,0.0001
C(algorithm)[T.rrt+orca_heuristic],0.385,0.116,0.655,0.005
C(algorithm)[T.rrt+rrt],-1.889,-2.161,-1.617,0.0
C(algorithm)[T.rrt+sarl],2.129,1.859,2.4,0.0
C(algorithm)[T.rrt+sarl_upstream],0.387,0.115,0.659,0.0053
C(algorithm)[T.rrt+teb],-2.241,-2.514,-1.968,0.0
C(algorithm)[T.rrt+teb_upstream],-1.19,-1.461,-0.92,0.0
standardize(task_path_length_m),-0.027,-0.13,0.077,0.6152
standardize(task_n_turns),-0.098,-0.15,-0.045,0.0003
standardize(task_min_sidewalk_width_m),-0.01,-0.043,0.022,0.5381
standardize(task_n_signalised_junctions),-0.044,-0.112,0.023,0.1975
standardize(demand_total_ph),-0.21,-0.401,-0.018,0.0317
map Var,0.255,,,
seed Var,0.054,,,
task Var,0.032,0.013,0.052,0.0014
