term,coef,ci_lo,ci_hi,p
Intercept,2.575,2.387,2.763,0.0
C(algorithm)[T.astar+astar],-0.797,-0.94,-0.653,0.0
C(algorithm)[T.astar+cadrl],-0.361,-0.505,-0.217,0.0
C(algorithm)[T.astar+cadrl_upstream],0.793,0.649,0.936,0.0
C(algorithm)[T.astar+crowdnav_attngraph],2.421,2.277,2.564,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],-0.033,-0.176,0.111,0.6576
C(algorithm)[T.astar+dijkstra],-0.95,-1.093,-0.806,0.0
C(algorithm)[T.astar+lstm_rl],0.105,-0.039,0.249,0.1522
C(algorithm)[T.astar+lstm_rl_upstream],-0.29,-0.434,-0.146,0.0001
C(algorithm)[T.astar+mpc],-0.437,-0.58,-0.293,0.0
C(algorithm)[T.astar+mpc_dompc],-0.562,-0.705,-0.418,0.0
C(algorithm)[T.astar+orca],-0.651,-0.795,-0.508,0.0
C(algorithm)[T.astar+orca_heuristic],0.238,0.094,0.382,0.0012
C(algorithm)[T.astar+rrt],-1.342,-1.485,-1.198,0.0
C(algorithm)[T.astar+sarl],1.377,1.233,1.521,0.0
C(algorithm)[T.astar+sarl_upstream],0.296,0.152,0.44,0.0001
C(algorithm)[T.astar+teb],-1.281,-1.424,-1.137,0.0
C(algorithm)[T.astar+teb_upstream],-1.013,-1.157,-0.869,0.0
C(algorithm)[T.dijkstra+astar],-0.786,-0.93,-0.642,0.0
C(algorithm)[T.dijkstra+cadrl],-0.374,-0.518,-0.231,0.0
C(algorithm)[T.dijkstra+cadrl_upstream],0.787,0.644,0.931,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],2.405,2.261,2.549,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.018,-0.161,0.126,0.8103
C(algorithm)[T.dijkstra+dijkstra],-0.905,-1.049,-0.761,0.0
C(algorithm)[T.dijkstra+dwa],-0.023,-0.167,0.121,0.7541
C(algorithm)[T.dijkstra+lstm_rl],0.091,-0.053,0.234,0.2167
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.282,-0.426,-0.138,0.0001
C(algorithm)[T.dijkstra+mpc],-0.425,-0.568,-0.281,0.0
C(algorithm)[T.dijkstra+mpc_dompc],-0.559,-0.703,-0.415,0.0
C(algorithm)[T.dijkstra+orca],-0.656,-0.799,-0.512,0.0
C(algorithm)[T.dijkstra+orca_heuristic],0.261,0.117,0.404,0.0004
C(algorithm)[T.dijkstra+rrt],-1.332,-1.476,-1.188,0.0
C(algorithm)[T.dijkstra+sarl],1.397,1.253,1.541,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.276,0.132,0.419,0.0002
C(algorithm)[T.dijkstra+teb],-1.251,-1.395,-1.108,0.0
C(algorithm)[T.dijkstra+teb_upstream],-1.015,-1.158,-0.871,0.0
C(algorithm)[T.rrt+astar],-1.305,-1.45,-1.16,0.0
C(algorithm)[T.rrt+cadrl],-0.481,-0.628,-0.335,0.0
C(algorithm)[T.rrt+cadrl_upstream],0.076,-0.069,0.221,0.3055
C(algorithm)[T.rrt+crowdnav_attngraph],1.043,0.898,1.188,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.346,-0.493,-0.199,0.0
C(algorithm)[T.rrt+dijkstra],-1.063,-1.207,-0.918,0.0
C(algorithm)[T.rrt+dwa],-0.426,-0.571,-0.281,0.0
C(algorithm)[T.rrt+lstm_rl],-0.28,-0.426,-0.133,0.0002
C(algorithm)[T.rrt+lstm_rl_upstream],-0.76,-0.906,-0.615,0.0
C(algorithm)[T.rrt+mpc],-0.346,-0.492,-0.2,0.0
C(algorithm)[T.rrt+mpc_dompc],-0.37,-0.515,-0.225,0.0
C(algorithm)[T.rrt+orca],-0.427,-0.574,-0.281,0.0
C(algorithm)[T.rrt+orca_heuristic],0.016,-0.129,0.161,0.8254
C(algorithm)[T.rrt+rrt],-1.359,-1.505,-1.212,0.0
C(algorithm)[T.rrt+sarl],0.675,0.53,0.821,0.0
C(algorithm)[T.rrt+sarl_upstream],-0.155,-0.302,-0.008,0.0383
C(algorithm)[T.rrt+teb],-1.581,-1.728,-1.434,0.0
C(algorithm)[T.rrt+teb_upstream],-0.853,-0.999,-0.707,0.0
standardize(task_path_length_m),0.219,0.031,0.407,0.0226
standardize(task_n_turns),-0.102,-0.293,0.09,0.2975
standardize(task_min_sidewalk_width_m),0.008,-0.099,0.115,0.8827
standardize(task_n_signalised_junctions),-0.005,-0.158,0.149,0.954
standardize(demand_total_ph),0.042,-0.063,0.147,0.4349
map Var,0.004,,,
seed Var,0.013,-0.002,0.028,0.0849
task Var,0.14,0.045,0.236,0.0041
