term,coef,ci_lo,ci_hi,p
Intercept,5.975,5.764,6.186,0.0
C(algorithm)[T.astar+astar],-1.573,-1.802,-1.343,0.0
C(algorithm)[T.astar+cadrl],-0.226,-0.456,0.003,0.0531
C(algorithm)[T.astar+cadrl_upstream],1.386,1.157,1.615,0.0
C(algorithm)[T.astar+crowdnav_attngraph],3.826,3.597,4.055,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],-0.487,-0.716,-0.257,0.0
C(algorithm)[T.astar+dijkstra],-1.674,-1.903,-1.445,0.0
C(algorithm)[T.astar+lstm_rl],0.484,0.255,0.713,0.0
C(algorithm)[T.astar+lstm_rl_upstream],-0.385,-0.614,-0.155,0.001
C(algorithm)[T.astar+mpc],-1.276,-1.505,-1.046,0.0
C(algorithm)[T.astar+mpc_dompc],-1.823,-2.052,-1.594,0.0
C(algorithm)[T.astar+orca],-1.829,-2.058,-1.6,0.0
C(algorithm)[T.astar+orca_heuristic],0.526,0.297,0.756,0.0
C(algorithm)[T.astar+rrt],-3.019,-3.248,-2.79,0.0
C(algorithm)[T.astar+sarl],2.125,1.896,2.355,0.0
C(algorithm)[T.astar+sarl_upstream],0.672,0.442,0.901,0.0
C(algorithm)[T.astar+teb],-2.92,-3.149,-2.691,0.0
C(algorithm)[T.astar+teb_upstream],-2.461,-2.691,-2.232,0.0
C(algorithm)[T.dijkstra+astar],-1.554,-1.783,-1.324,0.0
C(algorithm)[T.dijkstra+cadrl],-0.23,-0.459,-0.0,0.0499
C(algorithm)[T.dijkstra+cadrl_upstream],1.397,1.168,1.626,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],3.814,3.585,4.043,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.461,-0.691,-0.232,0.0001
C(algorithm)[T.dijkstra+dijkstra],-1.581,-1.81,-1.352,0.0
C(algorithm)[T.dijkstra+dwa],-0.023,-0.252,0.207,0.8474
C(algorithm)[T.dijkstra+lstm_rl],0.469,0.239,0.698,0.0001
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.38,-0.609,-0.151,0.0012
C(algorithm)[T.dijkstra+mpc],-1.261,-1.49,-1.032,0.0
C(algorithm)[T.dijkstra+mpc_dompc],-1.816,-2.046,-1.587,0.0
C(algorithm)[T.dijkstra+orca],-1.834,-2.063,-1.605,0.0
C(algorithm)[T.dijkstra+orca_heuristic],0.562,0.332,0.791,0.0
C(algorithm)[T.dijkstra+rrt],-3.011,-3.241,-2.782,0.0
C(algorithm)[T.dijkstra+sarl],2.157,1.927,2.387,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.65,0.421,0.88,0.0
C(algorithm)[T.dijkstra+teb],-2.88,-3.109,-2.65,0.0
C(algorithm)[T.dijkstra+teb_upstream],-2.459,-2.688,-2.229,0.0
C(algorithm)[T.rrt+astar],-2.541,-2.773,-2.31,0.0
C(algorithm)[T.rrt+cadrl],-0.241,-0.475,-0.007,0.0432
C(algorithm)[T.rrt+cadrl_upstream],0.826,0.595,1.057,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],2.399,2.168,2.631,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.224,-0.459,0.01,0.0608
C(algorithm)[T.rrt+dijkstra],-1.716,-1.946,-1.485,0.0
C(algorithm)[T.rrt+dwa],-0.015,-0.246,0.216,0.8999
C(algorithm)[T.rrt+lstm_rl],0.356,0.122,0.59,0.0029
C(algorithm)[T.rrt+lstm_rl_upstream],-0.654,-0.886,-0.422,0.0
C(algorithm)[T.rrt+mpc],-0.918,-1.151,-0.685,0.0
C(algorithm)[T.rrt+mpc_dompc],-0.818,-1.05,-0.587,0.0
C(algorithm)[T.rrt+orca],-0.9,-1.134,-0.667,0.0
C(algorithm)[T.rrt+orca_heuristic],0.642,0.411,0.874,0.0
C(algorithm)[T.rrt+rrt],-2.461,-2.695,-2.227,0.0
C(algorithm)[T.rrt+sarl],1.701,1.469,1.934,0.0
C(algorithm)[T.rrt+sarl_upstream],0.568,0.334,0.802,0.0
C(algorithm)[T.rrt+teb],-3.105,-3.34,-2.871,0.0
C(algorithm)[T.rrt+teb_upstream],-1.722,-1.954,-1.489,0.0
standardize(task_path_length_m),0.086,-0.114,0.287,0.3972
standardize(task_n_turns),-0.108,-0.301,0.085,0.2714
standardize(task_min_sidewalk_width_m),0.046,-0.062,0.155,0.4006
standardize(task_n_signalised_junctions),0.149,-0.03,0.327,0.1035
standardize(demand_total_ph),0.069,-0.082,0.22,0.3717
map Var,0.0,,,
seed Var,0.002,-0.0,0.005,0.0923
task Var,0.058,0.033,0.083,0.0
