algorithm,mean_success,rank_median,rank_ci_lo,rank_ci_hi,P_top1
astar+sarl_upstream,0.772,1.0,1.0,2.0,0.953
dijkstra+sarl_upstream,0.762,2.0,2.0,4.0,0.004
astar+orca_heuristic,0.724,3.0,1.0,5.0,0.043
dijkstra+orca_heuristic,0.714,4.0,3.0,6.0,0.0
astar+sarl,0.692,5.0,3.0,7.0,0.0
dijkstra+sarl,0.69,6.0,3.0,7.0,0.0
rrt+orca_heuristic,0.654,7.0,4.0,8.0,0.0
rrt+sarl_upstream,0.61,8.0,7.0,9.0,0.0
astar+lstm_rl,0.56,9.0,8.0,12.0,0.0
dijkstra+lstm_rl,0.536,11.0,10.0,15.0,0.0
rrt+crowdnav_attngraph,0.537,11.0,9.0,14.0,0.0
rrt+sarl,0.518,13.0,9.0,18.0,0.0
astar+cadrl,0.516,13.0,10.0,16.0,0.0
dijkstra+cadrl,0.51,14.0,10.0,19.0,0.0
dijkstra+crowdnav_attngraph,0.482,17.0,11.0,24.0,0.0
astar+dwa,0.482,17.0,10.0,26.0,0.0
rrt+dwa,0.486,17.0,12.0,24.0,0.0
astar+crowdnav_attngraph,0.478,18.0,12.0,25.0,0.0
dijkstra+dwa,0.474,19.0,12.0,26.0,0.0
astar+crowdnav_dsrnn,0.466,19.5,16.0,23.0,0.0
astar+lstm_rl_upstream,0.462,20.0,16.0,24.0,0.0
dijkstra+lstm_rl_upstream,0.46,21.0,15.5,24.0,0.0
dijkstra+crowdnav_dsrnn,0.458,21.0,17.0,24.0,0.0
rrt+crowdnav_dsrnn,0.438,24.0,17.0,26.0,0.0
rrt+lstm_rl,0.438,24.0,17.5,26.0,0.0
rrt+cadrl,0.39,26.0,21.0,29.0,0.0
astar+cadrl_upstream,0.386,27.0,24.0,27.0,0.0
dijkstra+cadrl_upstream,0.372,28.0,26.0,29.0,0.0
rrt+lstm_rl_upstream,0.354,29.0,28.0,30.0,0.0
rrt+mpc_dompc,0.308,31.0,30.0,36.0,0.0
rrt+mpc,0.314,31.0,30.0,35.5,0.0
rrt+orca,0.296,32.0,30.0,35.0,0.0
astar+mpc,0.294,32.5,29.0,37.0,0.0
dijkstra+mpc,0.29,33.0,30.0,37.0,0.0
astar+astar,0.27,35.0,32.0,38.51,0.0
dijkstra+dijkstra,0.26,36.0,32.0,39.5,0.0
dijkstra+astar,0.26,37.0,34.0,40.0,0.0
rrt+dijkstra,0.242,38.0,33.0,41.0,0.0
astar+dijkstra,0.236,39.0,36.0,42.0,0.0
rrt+cadrl_upstream,0.214,40.0,37.0,43.0,0.0
astar+mpc_dompc,0.2,41.5,38.0,44.0,0.0
dijkstra+mpc_dompc,0.198,42.0,38.0,45.0,0.0
rrt+teb_upstream,0.182,43.0,40.0,45.0,0.0
dijkstra+orca,0.178,44.0,41.0,45.0,0.0
astar+orca,0.176,44.0,41.0,45.0,0.0
rrt+astar,0.124,46.0,46.0,46.0,0.0
rrt+rrt,0.072,47.0,47.0,49.0,0.0
astar+teb_upstream,0.066,48.0,47.0,49.0,0.0
dijkstra+teb_upstream,0.062,49.0,47.99,50.0,0.0
rrt+teb,0.052,50.0,48.0,52.0,0.0
astar+rrt,0.034,51.0,50.0,53.5,0.0
dijkstra+rrt,0.032,52.0,50.5,54.0,0.0
astar+teb,0.022,53.5,51.5,53.5,0.0
dijkstra+teb,0.022,53.5,51.5,53.5,0.0
