term,log_odds,ci_lo,ci_hi,odds_ratio,or_ci_lo,or_ci_hi
Intercept,-0.172,-0.202,-0.143,0.842,0.817,0.867
C(algorithm)[T.astar+astar],-0.983,-1.192,-0.773,0.374,0.304,0.462
C(algorithm)[T.astar+cadrl],0.246,0.057,0.434,1.278,1.058,1.544
C(algorithm)[T.astar+cadrl_upstream],-0.371,-0.564,-0.178,0.69,0.569,0.837
C(algorithm)[T.astar+crowdnav_attngraph],0.068,-0.121,0.256,1.07,0.886,1.292
C(algorithm)[T.astar+crowdnav_dsrnn],0.011,-0.178,0.2,1.011,0.837,1.222
C(algorithm)[T.astar+dijkstra],-1.187,-1.405,-0.969,0.305,0.245,0.38
C(algorithm)[T.astar+lstm_rl],0.453,0.263,0.643,1.573,1.301,1.902
C(algorithm)[T.astar+lstm_rl_upstream],-0.008,-0.197,0.182,0.993,0.822,1.199
C(algorithm)[T.astar+mpc],-0.847,-1.052,-0.642,0.429,0.349,0.526
C(algorithm)[T.astar+mpc_dompc],-1.425,-1.655,-1.195,0.241,0.191,0.303
C(algorithm)[T.astar+orca],-1.6,-1.841,-1.359,0.202,0.159,0.257
C(algorithm)[T.astar+orca_heuristic],1.293,1.084,1.502,3.643,2.956,4.491
C(algorithm)[T.astar+rrt],-3.495,-3.969,-3.02,0.03,0.019,0.049
C(algorithm)[T.astar+sarl],1.114,0.911,1.317,3.048,2.488,3.733
C(algorithm)[T.astar+sarl_upstream],1.585,1.363,1.806,4.879,3.909,6.089
C(algorithm)[T.astar+teb],-3.931,-4.502,-3.359,0.02,0.011,0.035
C(algorithm)[T.astar+teb_upstream],-2.786,-3.143,-2.43,0.062,0.043,0.088
C(algorithm)[T.dijkstra+astar],-1.041,-1.253,-0.829,0.353,0.286,0.436
C(algorithm)[T.dijkstra+cadrl],0.217,0.029,0.406,1.243,1.029,1.501
C(algorithm)[T.dijkstra+cadrl_upstream],-0.44,-0.635,-0.246,0.644,0.53,0.782
C(algorithm)[T.dijkstra+crowdnav_attngraph],0.086,-0.102,0.275,1.09,0.903,1.317
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.026,-0.216,0.163,0.974,0.806,1.177
C(algorithm)[T.dijkstra+dijkstra],-1.041,-1.253,-0.829,0.353,0.286,0.436
C(algorithm)[T.dijkstra+dwa],0.049,-0.14,0.238,1.05,0.869,1.268
C(algorithm)[T.dijkstra+lstm_rl],0.339,0.15,0.529,1.404,1.162,1.697
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.017,-0.206,0.172,0.983,0.814,1.188
C(algorithm)[T.dijkstra+mpc],-0.869,-1.075,-0.664,0.419,0.341,0.515
C(algorithm)[T.dijkstra+mpc_dompc],-1.439,-1.67,-1.208,0.237,0.188,0.299
C(algorithm)[T.dijkstra+orca],-1.585,-1.824,-1.345,0.205,0.161,0.261
C(algorithm)[T.dijkstra+orca_heuristic],1.236,1.029,1.443,3.442,2.798,4.233
C(algorithm)[T.dijkstra+rrt],-3.557,-4.044,-3.07,0.029,0.018,0.046
C(algorithm)[T.dijkstra+sarl],1.104,0.901,1.306,3.015,2.462,3.692
C(algorithm)[T.dijkstra+sarl_upstream],1.521,1.303,1.74,4.578,3.679,5.696
C(algorithm)[T.dijkstra+teb],-3.931,-4.502,-3.359,0.02,0.011,0.035
C(algorithm)[T.dijkstra+teb_upstream],-2.856,-3.222,-2.49,0.058,0.04,0.083
C(algorithm)[T.rrt+astar],-2.05,-2.325,-1.776,0.129,0.098,0.169
C(algorithm)[T.rrt+cadrl],-0.352,-0.544,-0.159,0.704,0.58,0.853
C(algorithm)[T.rrt+cadrl_upstream],-1.329,-1.554,-1.104,0.265,0.211,0.332
C(algorithm)[T.rrt+crowdnav_attngraph],0.344,0.154,0.533,1.41,1.167,1.704
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.121,-0.311,0.069,0.886,0.733,1.071
C(algorithm)[T.rrt+dijkstra],-1.15,-1.366,-0.933,0.317,0.255,0.393
C(algorithm)[T.rrt+dwa],0.105,-0.084,0.294,1.111,0.92,1.342
C(algorithm)[T.rrt+lstm_rl],-0.121,-0.311,0.069,0.886,0.733,1.071
C(algorithm)[T.rrt+lstm_rl_upstream],-0.531,-0.727,-0.334,0.588,0.483,0.716
C(algorithm)[T.rrt+mpc],-0.738,-0.94,-0.537,0.478,0.391,0.585
C(algorithm)[T.rrt+mpc_dompc],-0.771,-0.973,-0.568,0.463,0.378,0.567
C(algorithm)[T.rrt+orca],-0.836,-1.04,-0.631,0.433,0.353,0.532
C(algorithm)[T.rrt+orca_heuristic],0.914,0.717,1.112,2.495,2.047,3.039
C(algorithm)[T.rrt+rrt],-2.689,-3.032,-2.346,0.068,0.048,0.096
C(algorithm)[T.rrt+sarl],0.255,0.066,0.444,1.29,1.068,1.559
C(algorithm)[T.rrt+sarl_upstream],0.694,0.501,0.887,2.001,1.65,2.427
C(algorithm)[T.rrt+teb],-3.047,-3.442,-2.653,0.047,0.032,0.07
C(algorithm)[T.rrt+teb_upstream],-1.555,-1.792,-1.317,0.211,0.167,0.268
standardize(task_path_length_m),-0.319,-0.349,-0.288,0.727,0.705,0.75
standardize(task_n_turns),0.002,-0.028,0.032,1.002,0.972,1.032
standardize(task_min_sidewalk_width_m),0.013,-0.015,0.04,1.013,0.985,1.041
standardize(task_n_signalised_junctions),-0.517,-0.549,-0.486,0.596,0.577,0.615
standardize(demand_total_ph),0.036,0.005,0.066,1.036,1.005,1.068
