unit,unit_name,n,success_rate,wilson_lo,wilson_hi
astar+sarl_upstream,A* + SARL (upstream),500,0.772,0.7332,0.8066
dijkstra+sarl_upstream,Dijkstra + SARL (upstream),500,0.762,0.7228,0.7972
astar+orca_heuristic,A* + ORCA (heuristic),500,0.724,0.6832,0.7614
dijkstra+orca_heuristic,Dijkstra + ORCA (heuristic),500,0.714,0.6729,0.7519
astar+sarl,A* + SARL,500,0.692,0.6502,0.7309
dijkstra+sarl,Dijkstra + SARL,500,0.69,0.6481,0.729
rrt+orca_heuristic,RRT + ORCA (heuristic),500,0.654,0.6113,0.6944
rrt+sarl_upstream,RRT + SARL (upstream),500,0.61,0.5666,0.6518
astar+lstm_rl,A* + LSTM-RL,500,0.56,0.5162,0.6029
rrt+crowdnav_attngraph,RRT + CrowdNav AttnGraph,499,0.5371,0.4932,0.5804
dijkstra+lstm_rl,Dijkstra + LSTM-RL,500,0.536,0.4922,0.5793
rrt+sarl,RRT + SARL,500,0.518,0.4742,0.5615
astar+cadrl,A* + CADRL,500,0.516,0.4722,0.5595
dijkstra+cadrl,Dijkstra + CADRL,500,0.51,0.4663,0.5536
rrt+dwa,RRT + DWA,500,0.486,0.4425,0.5297
astar+dwa,A* + DWA,500,0.482,0.4385,0.5258
dijkstra+crowdnav_attngraph,Dijkstra + CrowdNav AttnGraph,500,0.482,0.4385,0.5258
astar+crowdnav_attngraph,A* + CrowdNav AttnGraph,500,0.478,0.4346,0.5218
dijkstra+dwa,Dijkstra + DWA,500,0.474,0.4306,0.5178
astar+crowdnav_dsrnn,A* + CrowdNav DS-RNN,500,0.466,0.4227,0.5098
astar+lstm_rl_upstream,A* + LSTM-RL (upstream),500,0.462,0.4188,0.5058
dijkstra+lstm_rl_upstream,Dijkstra + LSTM-RL (upstream),500,0.46,0.4168,0.5038
dijkstra+crowdnav_dsrnn,Dijkstra + CrowdNav DS-RNN,500,0.458,0.4148,0.5018
rrt+lstm_rl,RRT + LSTM-RL,500,0.438,0.3951,0.4818
rrt+crowdnav_dsrnn,RRT + CrowdNav DS-RNN,500,0.438,0.3951,0.4818
rrt+cadrl,RRT + CADRL,500,0.39,0.3482,0.4334
astar+cadrl_upstream,A* + CADRL (upstream),500,0.386,0.3444,0.4294
dijkstra+cadrl_upstream,Dijkstra + CADRL (upstream),500,0.372,0.3308,0.4152
rrt+lstm_rl_upstream,RRT + LSTM-RL (upstream),500,0.354,0.3133,0.3969
rrt+mpc,RRT + MPC,500,0.314,0.2749,0.356
rrt+mpc_dompc,RRT + MPC (do-mpc),500,0.308,0.2691,0.3498
rrt+orca,RRT + ORCA (RVO2),500,0.296,0.2577,0.3374
astar+mpc,A* + MPC,500,0.294,0.2558,0.3354
dijkstra+mpc,Dijkstra + MPC,500,0.29,0.2519,0.3313
astar+astar,A* + A*,500,0.27,0.2329,0.3106
dijkstra+dijkstra,Dijkstra + Dijkstra,500,0.26,0.2235,0.3002
dijkstra+astar,Dijkstra + A*,500,0.26,0.2235,0.3002
rrt+dijkstra,RRT + Dijkstra,500,0.242,0.2065,0.2814
astar+dijkstra,A* + Dijkstra,500,0.236,0.2009,0.2751
rrt+cadrl_upstream,RRT + CADRL (upstream),500,0.214,0.1803,0.2521
astar+mpc_dompc,A* + MPC (do-mpc),500,0.2,0.1673,0.2373
dijkstra+mpc_dompc,Dijkstra + MPC (do-mpc),500,0.198,0.1654,0.2352
rrt+teb_upstream,RRT + TEB (upstream),500,0.182,0.1506,0.2182
dijkstra+orca,Dijkstra + ORCA (RVO2),500,0.178,0.147,0.2139
astar+orca,A* + ORCA (RVO2),500,0.176,0.1451,0.2118
rrt+astar,RRT + A*,500,0.124,0.0979,0.1558
rrt+rrt,RRT + RRT,500,0.072,0.0525,0.0981
astar+teb_upstream,A* + TEB (upstream),500,0.066,0.0474,0.0912
dijkstra+teb_upstream,Dijkstra + TEB (upstream),500,0.062,0.044,0.0867
rrt+teb,RRT + TEB,500,0.052,0.0357,0.0751
astar+rrt,A* + RRT,500,0.034,0.0213,0.0538
dijkstra+rrt,Dijkstra + RRT,500,0.032,0.0198,0.0513
astar+teb,A* + TEB,500,0.022,0.0123,0.039
dijkstra+teb,Dijkstra + TEB,500,0.022,0.0123,0.039
