map,route,global_planner,task,global_plan_time_s,global_rrt_params,reactive_peds,jps_model,robot_in_jps,robot_radius_m,robot_height_m,collision_radius_m,params_file,sfm_controlled_steps,sfm_capture_events,psf_backend,psf_package_version,psf_robot_in_sim,psf_robot_mode,psf_robot_radius_m,psf_substeps_per_step,psf_substep_dt_s,psf_speed_calibration,psf_boundary_clamps,psf_capture_events,psf_layer_active_steps,psf_obstacle_resolution_pts_per_m,psf_robot_track_err_mean_m,psf_robot_track_err_p95_m,psf_robot_track_err_max_m,social_force_on_agents,social_force_on_robot,obstacle_force_on_robot,social_work,ped_affected_n,ped_delay_s_mean,ped_deflection_m_mean,ped_deflection_m_max,ped_personal_space_s_total,mode,algorithm,seed,success,termination_reason,sim_time_s,path_length_m,avg_speed_mps,min_pedestrian_distance_m,close_encounter_steps,planner_status_counts,planner_active_frac,collision,time_waiting_at_light_s,strict_sidewalk,walkable_clamped_steps,robot_as_person,num_legs,waypoints,goal_tol,persons_seen,global_plan_error
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/astar__g-astar.json,2,1,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,1,2,4.0,0.105,0.183,0.183,0.45,0.45,1.71,2.62,1,0.21,0.548,0.548,1.0,all,astar,1,False,collision,9.0,8.5,0.944,0.36,2,{'path_found': 17},1.0,True,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,6,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/astar__g-astar.json,6,1,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,1,6,4.0,0.15,0.294,0.294,1.91,2.93,2.81,7.64,1,0.37,0.622,0.622,1.0,all,astar,10,False,collision,8.0,7.5,0.938,0.343,1,{'path_found': 15},1.0,True,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,15,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/astar__g-astar.json,14,2,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,2,10,4.0,0.097,0.154,0.154,2.62,5.25,4.58,12.45,2,0.37,0.65,0.67,2.0,all,astar,2,False,collision,8.5,8.0,0.941,0.268,4,{'path_found': 16},1.0,True,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,15,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/astar__g-astar.json,373,3,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,3,167,4.0,0.518,0.542,0.735,33.33,33.26,227.72,294.31,3,6.4,0.639,0.641,51.5,all,astar,3,False,collision,97.0,96.5,0.995,0.406,96,{'path_found': 193},1.0,True,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,26,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/astar__g-astar.json,8,2,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,2,6,4.0,0.148,0.411,0.411,2.24,3.08,2.75,8.07,2,0.26,0.646,0.649,1.0,all,astar,4,False,collision,6.5,6.0,0.923,0.379,1,{'path_found': 12},1.0,True,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,8,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/astar__g-astar.json,158,3,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,3,73,4.0,0.491,0.689,0.735,27.18,27.44,130.59,185.2,3,6.2,0.644,0.648,26.5,all,astar,5,False,collision,52.0,51.5,0.99,0.403,51,{'path_found': 103},1.0,True,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,16,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/astar__g-astar.json,242,2,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,2,187,4.0,0.497,0.689,0.973,0.0,0.0,239.24,239.24,2,0.05,0.632,0.64,0.0,all,astar,6,True,goal,99.0,99.0,1.0,0.76,2,{'path_found': 198},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,27,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/astar__g-astar.json,324,2,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,2,172,4.0,0.602,0.701,0.735,11.52,11.52,478.89,501.94,2,0.62,0.617,0.618,12.0,all,astar,7,True,goal,99.0,99.0,1.0,0.459,3,{'path_found': 198},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,21,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/astar__g-astar.json,4,1,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,1,4,4.0,0.125,0.254,0.254,0.08,2.14,1.59,3.8,1,0.14,0.64,0.64,1.0,all,astar,8,False,collision,8.5,8.0,0.941,0.278,1,{'path_found': 16},1.0,True,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,17,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/astar__g-astar.json,506,6,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,6,102,4.0,0.516,0.689,0.973,89.96,0.01,176.16,266.12,6,0.02,0.614,0.63,0.0,all,astar,9,False,collision,62.0,60.1,0.969,0.375,6,"{'no_path': 4, 'path_found': 119}",0.9675,True,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,31,
