unit,unit_name,n,goal_n,goal_rate,goal_lo,goal_hi,collision_n,collision_rate,collision_lo,collision_hi,timeout_n,timeout_rate,timeout_lo,timeout_hi,stuck_n,stuck_rate,stuck_lo,stuck_hi,no_n,no_rate,no_lo,no_hi,other_n,other_rate,other_lo,other_hi
rrt+rrt,RRT + RRT,500,149,0.298,0.2596,0.3395,309,0.618,0.5747,0.6595,1,0.002,0.0004,0.0112,0,0.0,0.0,0.0076,41,0.082,0.061,0.1094,0,0.0,0.0,0.0076
rrt+cadrl_upstream,RRT + CADRL (upstream),500,149,0.298,0.2596,0.3395,286,0.572,0.5282,0.6147,34,0.068,0.0491,0.0935,9,0.018,0.0095,0.0339,22,0.044,0.0292,0.0657,0,0.0,0.0,0.0076
rrt+teb,RRT + TEB,500,160,0.32,0.2806,0.3621,311,0.622,0.5787,0.6634,4,0.008,0.0031,0.0204,0,0.0,0.0,0.0076,25,0.05,0.0341,0.0728,0,0.0,0.0,0.0076
astar+crowdnav_attngraph,A* + CrowdNav AttnGraph,500,171,0.342,0.3018,0.3846,227,0.454,0.4109,0.4978,102,0.204,0.171,0.2415,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
dijkstra+crowdnav_attngraph,Dijkstra + CrowdNav AttnGraph,500,173,0.346,0.3056,0.3887,222,0.444,0.401,0.4878,105,0.21,0.1766,0.2478,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
astar+cadrl_upstream,A* + CADRL (upstream),500,216,0.432,0.3893,0.4758,255,0.51,0.4663,0.5536,8,0.016,0.0081,0.0313,21,0.042,0.0276,0.0634,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
dijkstra+cadrl_upstream,Dijkstra + CADRL (upstream),500,218,0.436,0.3932,0.4798,254,0.508,0.4643,0.5516,8,0.016,0.0081,0.0313,20,0.04,0.026,0.061,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
rrt+teb_upstream,RRT + TEB (upstream),500,236,0.472,0.4286,0.5158,242,0.484,0.4405,0.5278,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,22,0.044,0.0292,0.0657,0,0.0,0.0,0.0076
dijkstra+rrt,Dijkstra + RRT,500,251,0.502,0.4583,0.5456,242,0.484,0.4405,0.5278,7,0.014,0.0068,0.0286,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
astar+rrt,A* + RRT,500,258,0.516,0.4722,0.5595,235,0.47,0.4266,0.5138,7,0.014,0.0068,0.0286,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
rrt+crowdnav_attngraph,RRT + CrowdNav AttnGraph,499,272,0.5451,0.5012,0.5883,135,0.2705,0.2334,0.3112,75,0.1503,0.1216,0.1843,0,0.0,0.0,0.0076,17,0.0341,0.0214,0.0539,0,0.0,0.0,0.0076
rrt+lstm_rl_upstream,RRT + LSTM-RL (upstream),500,273,0.546,0.5022,0.5891,198,0.396,0.3541,0.4395,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,29,0.058,0.0407,0.0821,0,0.0,0.0,0.0076
rrt+astar,RRT + A*,500,282,0.564,0.5202,0.6068,184,0.368,0.3269,0.4111,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,34,0.068,0.0491,0.0935,0,0.0,0.0,0.0076
astar+teb,A* + TEB,500,286,0.572,0.5282,0.6147,204,0.408,0.3658,0.4516,10,0.02,0.0109,0.0364,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
rrt+dijkstra,RRT + Dijkstra,500,288,0.576,0.5323,0.6186,178,0.356,0.3153,0.3989,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,34,0.068,0.0491,0.0935,0,0.0,0.0,0.0076
dijkstra+teb,Dijkstra + TEB,500,291,0.582,0.5383,0.6244,199,0.398,0.356,0.4415,10,0.02,0.0109,0.0364,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
rrt+sarl,RRT + SARL,500,299,0.598,0.5544,0.6401,123,0.246,0.2103,0.2856,46,0.092,0.0697,0.1205,11,0.022,0.0123,0.039,21,0.042,0.0276,0.0634,0,0.0,0.0,0.0076
dijkstra+astar,Dijkstra + A*,500,299,0.598,0.5544,0.6401,201,0.402,0.3599,0.4456,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
astar+sarl,A* + SARL,500,300,0.6,0.5565,0.642,166,0.332,0.2921,0.3744,20,0.04,0.026,0.061,14,0.028,0.0168,0.0464,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
dijkstra+sarl,Dijkstra + SARL,500,301,0.602,0.5585,0.644,164,0.328,0.2883,0.3703,21,0.042,0.0276,0.0634,14,0.028,0.0168,0.0464,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
rrt+orca,RRT + ORCA (RVO2),499,308,0.6172,0.5738,0.6588,158,0.3166,0.2774,0.3587,0,0.0,0.0,0.0076,8,0.016,0.0081,0.0313,25,0.0501,0.0342,0.0729,0,0.0,0.0,0.0076
