algorithm,goal,collision,max_time,stalled,global_plan_failed,planner_error,n,goal_pct,collision_pct,max_time_pct,stalled_pct,global_plan_failed_pct,planner_error_pct
astar+dwa,373,114,11,2,0,0,500,74.6,22.8,2.2,0.4,0.0,0.0
astar+astar,309,191,0,0,0,0,500,61.8,38.2,0.0,0.0,0.0,0.0
astar+cadrl,378,105,8,9,0,0,500,75.6,21.0,1.6,1.8,0.0,0.0
astar+cadrl_upstream,216,255,8,21,0,0,500,43.2,51.0,1.6,4.2,0.0,0.0
astar+crowdnav_attngraph,171,227,102,0,0,0,500,34.2,45.4,20.4,0.0,0.0,0.0
astar+crowdnav_dsrnn,333,159,8,0,0,0,500,66.6,31.8,1.6,0.0,0.0,0.0
astar+dijkstra,325,175,0,0,0,0,500,65.0,35.0,0.0,0.0,0.0,0.0
astar+lstm_rl,346,153,1,0,0,0,500,69.2,30.6,0.2,0.0,0.0,0.0
astar+lstm_rl_upstream,341,158,0,1,0,0,500,68.2,31.6,0.0,0.2,0.0,0.0
astar+mpc,403,88,9,0,0,0,500,80.6,17.6,1.8,0.0,0.0,0.0
astar+mpc_dompc,399,97,4,0,0,0,500,79.8,19.4,0.8,0.0,0.0,0.0
astar+orca,338,153,0,9,0,0,500,67.6,30.6,0.0,1.8,0.0,0.0
astar+orca_heuristic,338,65,16,81,0,0,500,67.6,13.0,3.2,16.2,0.0,0.0
astar+rrt,258,235,7,0,0,0,500,51.6,47.0,1.4,0.0,0.0,0.0
astar+sarl,300,166,20,14,0,0,500,60.0,33.2,4.0,2.8,0.0,0.0
astar+sarl_upstream,378,116,6,0,0,0,500,75.6,23.2,1.2,0.0,0.0,0.0
astar+teb,286,204,10,0,0,0,500,57.2,40.8,2.0,0.0,0.0,0.0
astar+teb_upstream,406,94,0,0,0,0,500,81.2,18.8,0.0,0.0,0.0,0.0
dijkstra+astar,299,201,0,0,0,0,500,59.8,40.2,0.0,0.0,0.0,0.0
dijkstra+cadrl,370,113,8,9,0,0,500,74.0,22.6,1.6,1.8,0.0,0.0
dijkstra+cadrl_upstream,218,254,8,20,0,0,500,43.6,50.8,1.6,4.0,0.0,0.0
dijkstra+crowdnav_attngraph,173,222,105,0,0,0,500,34.6,44.4,21.0,0.0,0.0,0.0
dijkstra+crowdnav_dsrnn,326,166,8,0,0,0,500,65.2,33.2,1.6,0.0,0.0,0.0
dijkstra+dijkstra,312,188,0,0,0,0,500,62.4,37.6,0.0,0.0,0.0,0.0
dijkstra+dwa,365,122,11,2,0,0,500,73.0,24.4,2.2,0.4,0.0,0.0
dijkstra+lstm_rl,342,157,1,0,0,0,500,68.4,31.4,0.2,0.0,0.0,0.0
dijkstra+lstm_rl_upstream,338,161,0,1,0,0,500,67.6,32.2,0.0,0.2,0.0,0.0
dijkstra+mpc,399,92,9,0,0,0,500,79.8,18.4,1.8,0.0,0.0,0.0
dijkstra+mpc_dompc,398,98,4,0,0,0,500,79.6,19.6,0.8,0.0,0.0,0.0
dijkstra+orca,325,166,0,9,0,0,500,65.0,33.2,0.0,1.8,0.0,0.0
dijkstra+orca_heuristic,333,70,15,82,0,0,500,66.6,14.0,3.0,16.4,0.0,0.0
dijkstra+rrt,251,242,7,0,0,0,500,50.2,48.4,1.4,0.0,0.0,0.0
dijkstra+sarl,301,164,21,14,0,0,500,60.2,32.8,4.2,2.8,0.0,0.0
dijkstra+sarl_upstream,369,126,5,0,0,0,500,73.8,25.2,1.0,0.0,0.0,0.0
dijkstra+teb,291,199,10,0,0,0,500,58.2,39.8,2.0,0.0,0.0,0.0
dijkstra+teb_upstream,399,101,0,0,0,0,500,79.8,20.2,0.0,0.0,0.0,0.0
rrt+astar,282,184,0,0,34,0,500,56.4,36.8,0.0,0.0,6.8,0.0
rrt+cadrl,355,116,3,2,22,0,498,71.3,23.3,0.6,0.4,4.4,0.0
rrt+cadrl_upstream,149,286,34,9,22,0,500,29.8,57.2,6.8,1.8,4.4,0.0
rrt+crowdnav_attngraph,272,135,75,0,17,0,499,54.5,27.1,15.0,0.0,3.4,0.0
rrt+crowdnav_dsrnn,320,153,5,0,22,0,500,64.0,30.6,1.0,0.0,4.4,0.0
rrt+dijkstra,288,178,0,0,34,0,500,57.6,35.6,0.0,0.0,6.8,0.0
rrt+dwa,330,138,0,12,18,0,498,66.3,27.7,0.0,2.4,3.6,0.0
rrt+lstm_rl,327,149,2,0,20,0,498,65.7,29.9,0.4,0.0,4.0,0.0
rrt+lstm_rl_upstream,273,198,0,0,29,0,500,54.6,39.6,0.0,0.0,5.8,0.0
rrt+mpc,376,99,4,0,21,0,500,75.2,19.8,0.8,0.0,4.2,0.0
rrt+mpc_dompc,373,106,1,0,19,0,499,74.7,21.2,0.2,0.0,3.8,0.0
rrt+orca,308,158,0,8,25,0,499,61.7,31.7,0.0,1.6,5.0,0.0
rrt+orca_heuristic,365,53,4,51,25,0,498,73.3,10.6,0.8,10.2,5.0,0.0
rrt+rrt,149,309,1,0,41,0,500,29.8,61.8,0.2,0.0,8.2,0.0
rrt+sarl,299,123,46,11,21,0,500,59.8,24.6,9.2,2.2,4.2,0.0
rrt+sarl_upstream,339,134,5,0,21,0,499,67.9,26.9,1.0,0.0,4.2,0.0
rrt+teb,160,311,4,0,25,0,500,32.0,62.2,0.8,0.0,5.0,0.0
rrt+teb_upstream,236,242,0,0,22,0,500,47.2,48.4,0.0,0.0,4.4,0.0
