"term","estimate","se","ci_lo","ci_hi"
"(Intercept)",1.24214720875562,0.215183568326131,0.820387414836409,1.66390700267484
"algorithmastar+astar",-0.692501427896631,0.148507167380858,-0.983575475963113,-0.40142737983015
"algorithmastar+cadrl",0.0614626377269953,0.156732161395615,-0.24573239860841,0.3686576740624
"algorithmastar+cadrl_upstream",-1.57491192671736,0.147160906919813,-1.86334730428019,-1.28647654915453
"algorithmastar+crowdnav_attngraph",-2.01409819563487,0.149638891504925,-2.30739042298452,-1.72080596828522
"algorithmastar+crowdnav_dsrnn",-0.448349189721246,0.150373647413434,-0.743081538651576,-0.153616840790916
"algorithmastar+dijkstra",-0.53126604542956,0.149661311175029,-0.824602215332617,-0.237929875526504
"algorithmastar+lstm_rl",-0.309526827755173,0.151756182362633,-0.606968945185934,-0.0120847103244119
"algorithmastar+lstm_rl_upstream",-0.363576204154696,0.151188953696522,-0.659906553399878,-0.0672458549095135
"algorithmastar+mpc",0.395501313422934,0.163070975872721,0.0758822007124009,0.715120426133467
"algorithmastar+mpc_dompc",0.338458872152714,0.161847551956926,0.0212376703171397,0.655680073988288
"algorithmastar+orca",-0.395591345640486,0.150870510364771,-0.691297545955437,-0.0998851453255344
"algorithmastar+orca_heuristic",-0.395591345640486,0.150870510364759,-0.691297545955413,-0.0998851453255579
"algorithmastar+rrt",-1.18092883255983,0.146749990736667,-1.46855881440369,-0.893298850715961
"algorithmastar+sarl",-0.780996353827601,0.147998663078966,-1.07107373346238,-0.490918974192827
"algorithmastar+sarl_upstream",0.0614626377269946,0.156732161395596,-0.245732398608373,0.368657674062362
"algorithmastar+teb",-0.916233933687041,0.147386716710116,-1.20511189843887,-0.627355968935214
"algorithmastar+teb_upstream",0.43932600542895,0.164053444486711,0.117781254234998,0.760870756622903
"algorithmdijkstra+astar",-0.790740826055167,0.147947947199513,-1.08071880256621,-0.500762849544122
"algorithmdijkstra+cadrl",-0.0360945211009787,0.155229975779733,-0.340345273629256,0.268156231427298
"algorithmdijkstra+cadrl_upstream",-1.55598688021907,0.147103408271477,-1.84430956043116,-1.26766420000697
"algorithmdijkstra+crowdnav_attngraph",-1.99380182530594,0.149473552445736,-2.28676998809958,-1.70083366251229
"algorithmdijkstra+crowdnav_dsrnn",-0.520993699264235,0.149745088838325,-0.814494073387351,-0.227493325141118
