"term","estimate","se","ci_lo","ci_hi"
"(Intercept)",1.26215929836411,0.152526199014393,0.963207948295901,1.56111064843232
"algorithmastar+astar",-0.704537609492252,0.149789856923889,-0.998125729063074,-0.410949489921429
"algorithmastar+cadrl",0.0624988818473056,0.158127912732289,-0.247431827107982,0.372429590802593
"algorithmastar+cadrl_upstream",-1.60088277546701,0.148413018294274,-1.89177229132378,-1.30999325961023
"algorithmastar+crowdnav_attngraph",-2.04695499625955,0.150930038929742,-2.34277787256184,-1.75113211995725
"algorithmastar+crowdnav_dsrnn",-0.456271993564086,0.151688826026742,-0.753582092576499,-0.158961894551672
"algorithmastar+dijkstra",-0.540607661720789,0.150964584756383,-0.836498247843299,-0.244717075598279
"algorithmastar+lstm_rl",-0.315061021690065,0.153092473530145,-0.61512226980915,-0.0149997735709804
"algorithmastar+lstm_rl_upstream",-0.370043558918165,0.15251687738426,-0.668976638591315,-0.071110479245015
"algorithmastar+mpc",0.402478784297582,0.164512599879764,0.0800340885332435,0.72492348006192
"algorithmastar+mpc_dompc",0.344449920847276,0.163282814969883,0.024415603506306,0.664484238188246
"algorithmastar+orca",-0.402615802675325,0.152193498116126,-0.700915058982931,-0.104316546367719
"algorithmastar+orca_heuristic",-0.402615802675438,0.152193498116123,-0.700915058983039,-0.104316546367837
"algorithmastar+rrt",-1.20078439731759,0.147996891408812,-1.49085830447886,-0.910710490156319
"algorithmastar+sarl",-0.794481142032666,0.149271699500786,-1.08705367305421,-0.501908611011125
"algorithmastar+sarl_upstream",0.0624988822348168,0.15812791273848,-0.247431826732604,0.372429591202237
"algorithmastar+teb",-0.9319015493638,0.148647545587933,-1.22325073871615,-0.640552360011452
"algorithmastar+teb_upstream",0.447094508662397,0.165500391771622,0.122713740790019,0.771475276534776
"algorithmdijkstra+astar",-0.80439032425219,0.149219965859049,-1.09686145733593,-0.511919191168454
"algorithmdijkstra+cadrl",-0.0367881692239901,0.156610483499198,-0.343744716882417,0.270168378434437
"algorithmdijkstra+cadrl_upstream",-1.58166906492334,0.148354590216922,-1.87244406174851,-1.29089406809817
"algorithmdijkstra+crowdnav_attngraph",-2.02633839634463,0.150762270520871,-2.32183244656554,-1.73084434612373
"algorithmdijkstra+crowdnav_dsrnn",-0.530160318486045,0.151049796750088,-0.826217920116218,-0.234102716855873
"algorithmdijkstra+dijkstra",-0.674225196137946,0.149984412009601,-0.968194643676763,-0.380255748599129
"algorithmdijkstra+dwa",-0.0970032264965934,0.155759849823084,-0.402292532149838,0.208286079156651
"algorithmdijkstra+lstm_rl",-0.359111103441736,0.152628334480582,-0.658262639023678,-0.059959567859795
"algorithmdijkstra+lstm_rl_upstream",-0.402615802675334,0.15219349811612,-0.700915058982929,-0.104316546367739
"algorithmdijkstra+mpc",0.344449924254411,0.163282815040291,0.0244156067754413,0.664484241733382
"algorithmdijkstra+mpc_dompc",0.330188861659016,0.162989878237623,0.0107287003132744,0.649649023004757
