k,log_odds,vb_sd,estimate,se
intercept,1.148,0.014030612244897944,1.24214720875562,0.215183568326131
algo:astar+astar,-0.604,0.09923469387755104,-0.692501427896631,0.148507167380858
algo:astar+cadrl,0.152,0.11096938775510204,0.0614626377269953,0.156732161395615
algo:astar+cadrl_upstream,-1.487,0.09668367346938776,-1.57491192671736,0.147160906919813
algo:astar+crowdnav_attngraph,-1.927,0.10025510204081639,-2.01409819563487,0.149638891504925
algo:astar+crowdnav_dsrnn,-0.359,0.10204081632653061,-0.448349189721246,0.150373647413434
algo:astar+dijkstra,-0.442,0.10102040816326531,-0.53126604542956,0.149661311175029
algo:astar+lstm_rl,-0.22,0.1038265306122449,-0.309526827755173,0.151756182362633
algo:astar+lstm_rl_upstream,-0.274,0.10306122448979592,-0.363576204154696,0.151188953696522
algo:astar+mpc,0.487,0.11964285714285713,0.395501313422934,0.163070975872721
algo:astar+mpc_dompc,0.43,0.1181122448979592,0.338458872152714,0.161847551956926
algo:astar+orca,-0.306,0.10255102040816327,-0.395591345640486,0.150870510364771
algo:astar+orca_heuristic,-0.306,0.10255102040816327,-0.395591345640486,0.150870510364759
algo:astar+rrt,-1.093,0.09642857142857143,-1.18092883255983,0.146749990736667
algo:astar+sarl,-0.692,0.09821428571428571,-0.780996353827601,0.147998663078966
algo:astar+sarl_upstream,0.152,0.11096938775510204,0.0614626377269946,0.156732161395596
algo:astar+teb,-0.828,0.09744897959183671,-0.916233933687041,0.147386716710116
algo:astar+teb_upstream,0.531,0.12117346938775511,0.43932600542895,0.164053444486711
algo:dijkstra+astar,-0.702,0.09846938775510204,-0.790740826055167,0.147947947199513
algo:dijkstra+cadrl,0.054,0.10892857142857144,-0.0360945211009787,0.155229975779733
algo:dijkstra+cadrl_upstream,-1.468,0.09668367346938776,-1.55598688021907,0.147103408271477
algo:dijkstra+crowdnav_attngraph,-1.907,0.10025510204081639,-1.99380182530594,0.149473552445736
algo:dijkstra+crowdnav_dsrnn,-0.432,0.10102040816326531,-0.520993699264235,0.149745088838325
algo:dijkstra+dijkstra,-0.574,0.09948979591836735,-0.662674175669274,0.148698243483381
algo:dijkstra+dwa,-0.005,0.1076530612244898,-0.095252609582893,0.154388944124912
algo:dijkstra+lstm_rl,-0.263,0.10331632653061225,-0.352840393485718,0.15129864231456
algo:dijkstra+lstm_rl_upstream,-0.306,0.10255102040816327,-0.395591345640486,0.150870510364758
algo:dijkstra+mpc,0.43,0.1181122448979592,0.338458872152786,0.161847551956923
algo:dijkstra+mpc_dompc,0.416,0.11760204081632654,0.32445639859978,0.161556581926873
algo:dijkstra+orca,-0.442,0.10102040816326531,-0.531266045429562,0.149661311175033
algo:dijkstra+orca_heuristic,-0.359,0.10204081632653061,-0.448349189721246,0.150373647413433
algo:dijkstra+rrt,-1.159,0.0961734693877551,-1.24645830656212,0.146705317489926
algo:dijkstra+sarl,-0.683,0.09821428571428571,-0.771235581506877,0.14805050620066
algo:dijkstra+sarl_upstream,0.043,0.10867346938775511,-0.0480272598540115,0.155056169216745
algo:dijkstra+teb,-0.78,0.09770408163265307,-0.868209829275445,0.14758146728287
algo:dijkstra+teb_upstream,0.43,0.1181122448979592,0.338458872152703,0.161847551956917
algo:rrt+astar,-0.866,0.09719387755102038,-0.954428537828517,0.147249369650086
algo:rrt+cadrl,-0.104,0.10612244897959183,-0.194215945276914,0.153265650926272
algo:rrt+cadrl_upstream,-2.157,0.1033163265306122,-2.24467935829653,0.151897058607807
algo:rrt+crowdnav_attngraph,-0.956,0.09693877551020405,-1.04448126954221,0.147062635565382
algo:rrt+crowdnav_dsrnn,-0.493,0.10025510204081632,-0.582263502189258,0.149263801951647
algo:rrt+dijkstra,-0.809,0.09770408163265307,-0.897062072230348,0.14746150738831
algo:rrt+dwa,-0.377,0.10178571428571428,-0.466656711427322,0.150365512772821
algo:rrt+lstm_rl,-0.411,0.10153061224489797,-0.499956201830275,0.150080105918857
algo:rrt+lstm_rl_upstream,-0.952,0.09668367346938776,-1.03983576163543,0.146997998897499
algo:rrt+mpc,0.128,0.11045918367346938,0.0367039218123716,0.156337004571547
algo:rrt+mpc_dompc,0.101,0.10994897959183673,0.0106922427298101,0.155984665330401
algo:rrt+orca,-0.61,0.09923469387755104,-0.699154390015633,0.148539777352599
algo:rrt+orca_heuristic,0.013,0.10816326530612246,-0.0775890327327059,0.154802507225009
algo:rrt+rrt,-2.157,0.1033163265306122,-2.24467935829653,0.151897058607792
algo:rrt+sarl,-0.702,0.09846938775510204,-0.790740826055164,0.147947947199514
algo:rrt+sarl_upstream,-0.29,0.10306122448979593,-0.379421512263563,0.151124645276819
algo:rrt+teb,-2.04,0.10178571428571435,-2.12757758603751,0.150661127120481
algo:rrt+teb_upstream,-1.299,0.0964285714285714,-1.38677585169889,0.146760372885293
cov:task_path_length_m,-0.067,0.013775510204081633,-0.0695194072381853,0.053922468648669
cov:task_n_turns,-0.06,0.013265306122448977,-0.0605372038949255,0.0275029947494124
cov:task_min_sidewalk_width_m,0.084,0.013775510204081633,0.0842521901559098,0.018429999623441
cov:task_n_signalised_junctions,-0.473,0.014285714285714285,-0.471423623217189,0.0351134641857123
cov:demand_total_ph,-0.004,0.013520408163265305,-0.0170415045827006,0.0946608571817889
