k,log_odds,vb_sd,estimate,se
intercept,1.173,0.0142857142857143,1.26215929836411,0.152526199014393
algo:astar+astar,-0.613,0.10000000000000002,-0.704537609492252,0.149789856923889
algo:astar+cadrl,0.156,0.11198979591836734,0.0624988818473056,0.158127912732289
algo:astar+cadrl_upstream,-1.511,0.09770408163265307,-1.60088277546701,0.148413018294274
algo:astar+crowdnav_attngraph,-1.957,0.10102040816326528,-2.04695499625955,0.150930038929742
algo:astar+crowdnav_dsrnn,-0.364,0.10280612244897958,-0.456271993564086,0.151688826026742
algo:astar+dijkstra,-0.448,0.1017857142857143,-0.540607661720789,0.150964584756383
algo:astar+lstm_rl,-0.222,0.1048469387755102,-0.315061021690065,0.153092473530145
algo:astar+lstm_rl_upstream,-0.277,0.1038265306122449,-0.370043558918165,0.15251687738426
algo:astar+mpc,0.497,0.12066326530612244,0.402478784297582,0.164512599879764
algo:astar+mpc_dompc,0.439,0.11913265306122452,0.344449920847276,0.163282814969883
algo:astar+orca,-0.31,0.10357142857142858,-0.402615802675325,0.152193498116126
algo:astar+orca_heuristic,-0.31,0.10357142857142858,-0.402615802675438,0.152193498116123
algo:astar+rrt,-1.11,0.09693877551020408,-1.20078439731759,0.147996891408812
algo:astar+sarl,-0.703,0.0989795918367347,-0.794481142032666,0.149271699500786
algo:astar+sarl_upstream,0.156,0.11198979591836734,0.0624988822348168,0.15812791273848
algo:astar+teb,-0.841,0.09821428571428568,-0.9319015493638,0.148647545587933
algo:astar+teb_upstream,0.542,0.12193877551020409,0.447094508662397,0.165500391771622
algo:dijkstra+astar,-0.713,0.0989795918367347,-0.80439032425219,0.149219965859049
algo:dijkstra+cadrl,0.057,0.10994897959183675,-0.0367881692239901,0.156610483499198
algo:dijkstra+cadrl_upstream,-1.491,0.09770408163265307,-1.58166906492334,0.148354590216922
algo:dijkstra+crowdnav_attngraph,-1.936,0.10076530612244892,-2.02633839634463,0.150762270520871
algo:dijkstra+crowdnav_dsrnn,-0.438,0.10204081632653061,-0.530160318486045,0.151049796750088
algo:dijkstra+dijkstra,-0.582,0.10025510204081634,-0.674225196137946,0.149984412009601
algo:dijkstra+dwa,-0.004,0.1086734693877551,-0.0970032264965934,0.155759849823084
algo:dijkstra+lstm_rl,-0.267,0.10433673469387755,-0.359111103441736,0.152628334480582
algo:dijkstra+lstm_rl_upstream,-0.31,0.10357142857142858,-0.402615802675334,0.15219349811612
algo:dijkstra+mpc,0.439,0.11913265306122452,0.344449924254411,0.163282815040291
algo:dijkstra+mpc_dompc,0.425,0.11887755102040817,0.330188861659016,0.162989878237623
algo:dijkstra+orca,-0.448,0.1017857142857143,-0.540607661720845,0.150964584756381
algo:dijkstra+orca_heuristic,-0.364,0.10280612244897958,-0.45627199356399,0.151688826026723
algo:dijkstra+rrt,-1.177,0.09693877551020408,-1.26734401450175,0.147950929735274
algo:dijkstra+sarl,-0.693,0.0989795918367347,-0.784555659254506,0.149324576674652
algo:dijkstra+sarl_upstream,0.045,0.10943877551020409,-0.0489398659850601,0.156434668313466
algo:dijkstra+teb,-0.792,0.09846938775510204,-0.883125630359685,0.148846176691651
algo:dijkstra+teb_upstream,0.439,0.11913265306122452,0.344449893579361,0.163282814406312
algo:rrt+astar,-0.88,0.09795918367346942,-0.970712712658707,0.148507328491583
algo:rrt+cadrl,-0.104,0.10714285714285714,-0.197303465798827,0.154623657205487
algo:rrt+cadrl_upstream,-2.191,0.1043367346938775,-2.28119985252993,0.153219015617544
algo:rrt+crowdnav_attngraph,-0.971,0.09770408163265304,-1.06187498458982,0.148316847266983
algo:rrt+crowdnav_dsrnn,-0.5,0.10127551020408163,-0.592463085014611,0.150560199102456
algo:rrt+dijkstra,-0.821,0.09846938775510204,-0.912426536854884,0.148723851552729
algo:rrt+dwa,-0.381,0.10280612244897959,-0.473643940151934,0.151687237065229
algo:rrt+lstm_rl,-0.416,0.10255102040816327,-0.508243704251411,0.151393504958852
algo:rrt+lstm_rl_upstream,-0.966,0.09770408163265304,-1.05746528864932,0.148250625864272
algo:rrt+mpc,0.131,0.11147959183673468,0.0373146562870915,0.157729158573071
algo:rrt+mpc_dompc,0.105,0.11096938775510204,0.01093726457977,0.157371933090472
algo:rrt+orca,-0.619,0.09999999999999999,-0.710291788323262,0.149837692834019
algo:rrt+orca_heuristic,0.015,0.10918367346938777,-0.0786069691489529,0.156178241750681
algo:rrt+rrt,-2.191,0.1043367346938775,-2.28119985252959,0.153219015617548
algo:rrt+sarl,-0.713,0.0989795918367347,-0.804390324251706,0.149219965859071
algo:rrt+sarl_upstream,-0.293,0.10382653061224491,-0.385990841618177,0.152453751215296
algo:rrt+teb,-2.072,0.1025510204081633,-2.16222948457886,0.151966732833608
algo:rrt+teb_upstream,-1.319,0.09719387755102041,-1.4098342715081,0.148006156566216
cov:task_path_length_m,-0.289,0.013775510204081631,-0.288072654270724,0.112762584988522
cov:task_n_turns,-0.087,0.013520408163265307,-0.0873434659056095,0.100229249307435
cov:task_min_sidewalk_width_m,0.068,0.013775510204081633,0.0684107644700224,0.0635714469842885
cov:task_n_signalised_junctions,-0.576,0.01428571428571427,-0.574762638284016,0.0967652556297154
cov:demand_total_ph,-0.087,0.013775510204081635,-0.0911872832008467,0.0871990117762977
