term,coef,ci_lo,ci_hi,p
Intercept,0.604,0.463,0.744,0.0
C(algorithm)[T.astar+astar],-0.104,-0.148,-0.059,0.0
C(algorithm)[T.astar+cadrl],0.007,-0.037,0.052,0.7523
C(algorithm)[T.astar+cadrl_upstream],-0.119,-0.164,-0.075,0.0
C(algorithm)[T.astar+crowdnav_attngraph],-0.019,-0.064,0.025,0.3923
C(algorithm)[T.astar+crowdnav_dsrnn],-0.03,-0.075,0.014,0.1828
C(algorithm)[T.astar+dijkstra],-0.098,-0.143,-0.054,0.0
C(algorithm)[T.astar+lstm_rl],-0.082,-0.126,-0.037,0.0003
C(algorithm)[T.astar+lstm_rl_upstream],-0.101,-0.146,-0.056,0.0
C(algorithm)[T.astar+mpc],-0.057,-0.101,-0.012,0.0127
C(algorithm)[T.astar+mpc_dompc],-0.129,-0.173,-0.084,0.0
C(algorithm)[T.astar+orca],-0.141,-0.186,-0.096,0.0
C(algorithm)[T.astar+orca_heuristic],0.119,0.074,0.163,0.0
C(algorithm)[T.astar+rrt],-0.148,-0.193,-0.103,0.0
C(algorithm)[T.astar+sarl],-0.033,-0.077,0.012,0.1503
C(algorithm)[T.astar+sarl_upstream],-0.017,-0.062,0.027,0.4476
C(algorithm)[T.astar+teb],-0.138,-0.182,-0.093,0.0
C(algorithm)[T.astar+teb_upstream],-0.031,-0.075,0.014,0.1773
C(algorithm)[T.dijkstra+astar],-0.111,-0.156,-0.067,0.0
C(algorithm)[T.dijkstra+cadrl],0.005,-0.04,0.049,0.8352
C(algorithm)[T.dijkstra+cadrl_upstream],-0.119,-0.163,-0.074,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],-0.018,-0.063,0.026,0.4221
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.035,-0.08,0.01,0.1233
C(algorithm)[T.dijkstra+dijkstra],-0.105,-0.15,-0.061,0.0
C(algorithm)[T.dijkstra+dwa],-0.005,-0.05,0.039,0.8227
C(algorithm)[T.dijkstra+lstm_rl],-0.086,-0.13,-0.041,0.0002
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.105,-0.15,-0.061,0.0
C(algorithm)[T.dijkstra+mpc],-0.057,-0.102,-0.013,0.0116
C(algorithm)[T.dijkstra+mpc_dompc],-0.13,-0.174,-0.085,0.0
C(algorithm)[T.dijkstra+orca],-0.145,-0.189,-0.1,0.0
C(algorithm)[T.dijkstra+orca_heuristic],0.115,0.07,0.16,0.0
C(algorithm)[T.dijkstra+rrt],-0.154,-0.198,-0.109,0.0
C(algorithm)[T.dijkstra+sarl],-0.032,-0.076,0.013,0.1648
C(algorithm)[T.dijkstra+sarl_upstream],-0.024,-0.068,0.021,0.2982
C(algorithm)[T.dijkstra+teb],-0.137,-0.181,-0.092,0.0
C(algorithm)[T.dijkstra+teb_upstream],-0.033,-0.078,0.012,0.148
C(algorithm)[T.rrt+astar],-0.113,-0.158,-0.067,0.0
C(algorithm)[T.rrt+cadrl],-0.057,-0.102,-0.012,0.0132
C(algorithm)[T.rrt+cadrl_upstream],-0.074,-0.119,-0.029,0.0013
C(algorithm)[T.rrt+crowdnav_attngraph],0.066,0.021,0.111,0.0039
C(algorithm)[T.rrt+crowdnav_dsrnn],0.018,-0.027,0.063,0.4441
C(algorithm)[T.rrt+dijkstra],-0.11,-0.155,-0.064,0.0
C(algorithm)[T.rrt+dwa],-0.022,-0.067,0.023,0.335
C(algorithm)[T.rrt+lstm_rl],-0.046,-0.091,-0.001,0.0465
C(algorithm)[T.rrt+lstm_rl_upstream],-0.107,-0.153,-0.062,0.0
C(algorithm)[T.rrt+mpc],-0.048,-0.093,-0.003,0.0375
C(algorithm)[T.rrt+mpc_dompc],-0.128,-0.173,-0.083,0.0
C(algorithm)[T.rrt+orca],-0.12,-0.165,-0.074,0.0
C(algorithm)[T.rrt+orca_heuristic],0.133,0.088,0.178,0.0
C(algorithm)[T.rrt+rrt],-0.199,-0.244,-0.153,0.0
C(algorithm)[T.rrt+sarl],0.079,0.034,0.125,0.0005
C(algorithm)[T.rrt+sarl_upstream],0.034,-0.011,0.08,0.1344
C(algorithm)[T.rrt+teb],-0.155,-0.201,-0.11,0.0
C(algorithm)[T.rrt+teb_upstream],-0.129,-0.174,-0.084,0.0
standardize(task_path_length_m),-0.065,-0.105,-0.026,0.0011
standardize(task_n_turns),-0.015,-0.039,0.01,0.2381
standardize(task_min_sidewalk_width_m),-0.004,-0.019,0.011,0.6184
standardize(task_n_signalised_junctions),-0.023,-0.057,0.012,0.1937
standardize(demand_total_ph),0.026,-0.009,0.062,0.1475
map Var,0.176,-0.105,0.457,0.2204
seed Var,0.022,0.001,0.043,0.0396
task Var,0.019,0.01,0.028,0.0
