term,coef,ci_lo,ci_hi,p
Intercept,5.511,5.401,5.622,0.0
C(algorithm)[T.astar+astar],-0.005,-0.023,0.012,0.5441
C(algorithm)[T.astar+cadrl],0.012,-0.005,0.028,0.1719
C(algorithm)[T.astar+cadrl_upstream],0.152,0.133,0.172,0.0
C(algorithm)[T.astar+crowdnav_attngraph],0.145,0.124,0.166,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],0.008,-0.01,0.025,0.3886
C(algorithm)[T.astar+dijkstra],-0.005,-0.023,0.012,0.5549
C(algorithm)[T.astar+lstm_rl],0.115,0.098,0.132,0.0
C(algorithm)[T.astar+lstm_rl_upstream],0.001,-0.017,0.018,0.9509
C(algorithm)[T.astar+mpc],-0.006,-0.022,0.011,0.5089
C(algorithm)[T.astar+mpc_dompc],-0.002,-0.019,0.014,0.7709
C(algorithm)[T.astar+orca],-0.005,-0.022,0.012,0.5717
C(algorithm)[T.astar+orca_heuristic],0.001,-0.016,0.018,0.886
C(algorithm)[T.astar+rrt],-0.005,-0.023,0.014,0.611
C(algorithm)[T.astar+sarl],0.133,0.116,0.151,0.0
C(algorithm)[T.astar+sarl_upstream],0.037,0.02,0.054,0.0
C(algorithm)[T.astar+teb],-0.007,-0.025,0.011,0.4714
C(algorithm)[T.astar+teb_upstream],-0.003,-0.019,0.014,0.7531
C(algorithm)[T.dijkstra+astar],-0.005,-0.023,0.013,0.5897
C(algorithm)[T.dijkstra+cadrl],0.012,-0.005,0.028,0.1786
C(algorithm)[T.dijkstra+cadrl_upstream],0.153,0.134,0.173,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],0.143,0.122,0.164,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],0.008,-0.01,0.025,0.3896
C(algorithm)[T.dijkstra+dijkstra],-0.005,-0.023,0.012,0.5551
C(algorithm)[T.dijkstra+dwa],0.0,-0.017,0.017,0.9951
C(algorithm)[T.dijkstra+lstm_rl],0.115,0.098,0.132,0.0
C(algorithm)[T.dijkstra+lstm_rl_upstream],0.001,-0.016,0.018,0.9231
C(algorithm)[T.dijkstra+mpc],-0.006,-0.022,0.011,0.4986
C(algorithm)[T.dijkstra+mpc_dompc],-0.002,-0.019,0.014,0.7755
C(algorithm)[T.dijkstra+orca],-0.004,-0.022,0.013,0.6149
C(algorithm)[T.dijkstra+orca_heuristic],0.002,-0.016,0.019,0.8442
C(algorithm)[T.dijkstra+rrt],-0.004,-0.023,0.014,0.6484
C(algorithm)[T.dijkstra+sarl],0.134,0.116,0.152,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.038,0.021,0.055,0.0
C(algorithm)[T.dijkstra+teb],-0.007,-0.025,0.011,0.4555
C(algorithm)[T.dijkstra+teb_upstream],-0.003,-0.019,0.014,0.7491
C(algorithm)[T.rrt+astar],0.083,0.065,0.101,0.0
C(algorithm)[T.rrt+cadrl],0.1,0.083,0.117,0.0
C(algorithm)[T.rrt+cadrl_upstream],0.203,0.18,0.225,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],0.199,0.181,0.217,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],0.097,0.08,0.115,0.0
C(algorithm)[T.rrt+dijkstra],0.082,0.064,0.1,0.0
C(algorithm)[T.rrt+dwa],0.091,0.074,0.108,0.0
C(algorithm)[T.rrt+lstm_rl],0.222,0.205,0.239,0.0
C(algorithm)[T.rrt+lstm_rl_upstream],0.074,0.055,0.092,0.0
C(algorithm)[T.rrt+mpc],0.081,0.064,0.097,0.0
C(algorithm)[T.rrt+mpc_dompc],0.097,0.08,0.113,0.0
C(algorithm)[T.rrt+orca],0.075,0.057,0.092,0.0
C(algorithm)[T.rrt+orca_heuristic],0.095,0.078,0.112,0.0
C(algorithm)[T.rrt+rrt],0.092,0.07,0.115,0.0
C(algorithm)[T.rrt+sarl],0.212,0.194,0.23,0.0
C(algorithm)[T.rrt+sarl_upstream],0.121,0.104,0.138,0.0
C(algorithm)[T.rrt+teb],0.057,0.035,0.078,0.0
C(algorithm)[T.rrt+teb_upstream],0.107,0.088,0.126,0.0
standardize(task_path_length_m),0.45,0.361,0.54,0.0
standardize(task_n_turns),-0.003,-0.088,0.082,0.9359
standardize(task_min_sidewalk_width_m),-0.017,-0.081,0.047,0.6092
standardize(task_n_signalised_junctions),0.004,-0.129,0.136,0.9561
standardize(demand_total_ph),-0.003,-0.016,0.01,0.6441
map Var,0.789,-5.62,7.199,0.8092
seed Var,0.002,-0.002,0.006,0.274
task Var,2.243,1.364,3.123,0.0
