term,coef,ci_lo,ci_hi,p
Intercept,0.482,0.438,0.527,0.0
C(algorithm)[T.astar+astar],-0.039,-0.062,-0.017,0.0007
C(algorithm)[T.astar+cadrl],-0.019,-0.042,0.004,0.1038
C(algorithm)[T.astar+cadrl_upstream],0.066,0.043,0.088,0.0
C(algorithm)[T.astar+crowdnav_attngraph],0.115,0.092,0.138,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],-0.016,-0.039,0.007,0.1642
C(algorithm)[T.astar+dijkstra],-0.023,-0.046,-0.0,0.0492
C(algorithm)[T.astar+lstm_rl],-0.013,-0.036,0.01,0.2719
C(algorithm)[T.astar+lstm_rl_upstream],-0.047,-0.07,-0.024,0.0001
C(algorithm)[T.astar+mpc],0.013,-0.01,0.035,0.281
C(algorithm)[T.astar+mpc_dompc],-0.002,-0.025,0.021,0.8652
C(algorithm)[T.astar+orca],-0.018,-0.041,0.005,0.1162
C(algorithm)[T.astar+orca_heuristic],-0.007,-0.03,0.016,0.555
C(algorithm)[T.astar+rrt],-0.039,-0.062,-0.016,0.0008
C(algorithm)[T.astar+sarl],0.059,0.036,0.082,0.0
C(algorithm)[T.astar+sarl_upstream],-0.019,-0.042,0.004,0.1007
C(algorithm)[T.astar+teb],-0.02,-0.043,0.003,0.0912
C(algorithm)[T.astar+teb_upstream],-0.003,-0.026,0.02,0.8138
C(algorithm)[T.dijkstra+astar],-0.041,-0.064,-0.018,0.0004
C(algorithm)[T.dijkstra+cadrl],-0.019,-0.042,0.004,0.0975
C(algorithm)[T.dijkstra+cadrl_upstream],0.068,0.045,0.09,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],0.115,0.092,0.138,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.02,-0.043,0.003,0.0839
C(algorithm)[T.dijkstra+dijkstra],-0.024,-0.047,-0.001,0.0403
C(algorithm)[T.dijkstra+dwa],-0.001,-0.024,0.022,0.9184
C(algorithm)[T.dijkstra+lstm_rl],-0.015,-0.038,0.008,0.1918
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.048,-0.071,-0.025,0.0
C(algorithm)[T.dijkstra+mpc],0.011,-0.012,0.033,0.3653
C(algorithm)[T.dijkstra+mpc_dompc],-0.004,-0.027,0.019,0.7477
C(algorithm)[T.dijkstra+orca],-0.022,-0.045,0.001,0.0592
C(algorithm)[T.dijkstra+orca_heuristic],-0.009,-0.032,0.014,0.4456
C(algorithm)[T.dijkstra+rrt],-0.038,-0.06,-0.015,0.0013
C(algorithm)[T.dijkstra+sarl],0.058,0.035,0.081,0.0
C(algorithm)[T.dijkstra+sarl_upstream],-0.02,-0.043,0.003,0.0811
C(algorithm)[T.dijkstra+teb],-0.023,-0.046,0.0,0.0504
C(algorithm)[T.dijkstra+teb_upstream],-0.005,-0.028,0.018,0.6583
C(algorithm)[T.rrt+astar],-0.048,-0.071,-0.025,0.0001
C(algorithm)[T.rrt+cadrl],-0.04,-0.063,-0.017,0.0007
C(algorithm)[T.rrt+cadrl_upstream],0.059,0.036,0.082,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],0.067,0.044,0.09,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.054,-0.078,-0.031,0.0
C(algorithm)[T.rrt+dijkstra],-0.046,-0.07,-0.023,0.0001
C(algorithm)[T.rrt+dwa],-0.035,-0.058,-0.012,0.003
C(algorithm)[T.rrt+lstm_rl],-0.018,-0.041,0.005,0.1247
C(algorithm)[T.rrt+lstm_rl_upstream],-0.058,-0.081,-0.034,0.0
C(algorithm)[T.rrt+mpc],-0.025,-0.048,-0.002,0.0364
C(algorithm)[T.rrt+mpc_dompc],-0.016,-0.039,0.007,0.1776
C(algorithm)[T.rrt+orca],-0.044,-0.068,-0.021,0.0002
C(algorithm)[T.rrt+orca_heuristic],-0.022,-0.045,0.001,0.0625
C(algorithm)[T.rrt+rrt],-0.114,-0.138,-0.091,0.0
C(algorithm)[T.rrt+sarl],0.039,0.016,0.062,0.0009
C(algorithm)[T.rrt+sarl_upstream],-0.038,-0.061,-0.015,0.0014
C(algorithm)[T.rrt+teb],-0.154,-0.177,-0.131,0.0
C(algorithm)[T.rrt+teb_upstream],-0.078,-0.101,-0.054,0.0
standardize(task_path_length_m),-0.017,-0.058,0.024,0.4223
standardize(task_n_turns),0.003,-0.023,0.029,0.8295
standardize(task_min_sidewalk_width_m),0.007,-0.01,0.023,0.4286
standardize(task_n_signalised_junctions),0.017,-0.017,0.05,0.3377
standardize(demand_total_ph),-0.013,-0.03,0.004,0.1433
map Var,0.034,-0.074,0.142,0.5379
seed Var,0.045,0.003,0.088,0.0354
task Var,0.09,0.049,0.131,0.0
