term,coef,ci_lo,ci_hi,p
Intercept,0.951,0.63,1.271,0.0
C(algorithm)[T.astar+astar],-0.13,-0.218,-0.042,0.0038
C(algorithm)[T.astar+cadrl],0.004,-0.084,0.092,0.9334
C(algorithm)[T.astar+cadrl_upstream],0.153,0.065,0.242,0.0006
C(algorithm)[T.astar+crowdnav_attngraph],0.518,0.43,0.607,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],0.048,-0.04,0.136,0.2884
C(algorithm)[T.astar+dijkstra],-0.087,-0.175,0.001,0.0527
C(algorithm)[T.astar+lstm_rl],-0.049,-0.137,0.04,0.2801
C(algorithm)[T.astar+lstm_rl_upstream],-0.158,-0.246,-0.07,0.0005
C(algorithm)[T.astar+mpc],-0.059,-0.147,0.029,0.1919
C(algorithm)[T.astar+mpc_dompc],0.006,-0.082,0.095,0.8863
C(algorithm)[T.astar+orca],-0.025,-0.114,0.063,0.5725
C(algorithm)[T.astar+orca_heuristic],0.082,-0.006,0.17,0.068
C(algorithm)[T.astar+rrt],-0.129,-0.218,-0.041,0.004
C(algorithm)[T.astar+sarl],0.324,0.236,0.412,0.0
C(algorithm)[T.astar+sarl_upstream],0.102,0.014,0.191,0.0227
C(algorithm)[T.astar+teb],0.039,-0.05,0.127,0.3903
C(algorithm)[T.astar+teb_upstream],0.003,-0.085,0.091,0.9429
C(algorithm)[T.dijkstra+astar],-0.126,-0.214,-0.038,0.0051
C(algorithm)[T.dijkstra+cadrl],0.014,-0.074,0.103,0.7488
C(algorithm)[T.dijkstra+cadrl_upstream],0.147,0.059,0.235,0.0011
C(algorithm)[T.dijkstra+crowdnav_attngraph],0.517,0.429,0.605,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],0.057,-0.031,0.145,0.2065
C(algorithm)[T.dijkstra+dijkstra],-0.079,-0.167,0.009,0.0784
C(algorithm)[T.dijkstra+dwa],0.014,-0.074,0.102,0.7505
C(algorithm)[T.dijkstra+lstm_rl],-0.026,-0.115,0.062,0.5564
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.134,-0.222,-0.045,0.003
C(algorithm)[T.dijkstra+mpc],-0.032,-0.12,0.056,0.4776
C(algorithm)[T.dijkstra+mpc_dompc],0.022,-0.066,0.11,0.6198
C(algorithm)[T.dijkstra+orca],-0.007,-0.095,0.082,0.8839
C(algorithm)[T.dijkstra+orca_heuristic],0.097,0.009,0.185,0.0306
C(algorithm)[T.dijkstra+rrt],-0.126,-0.214,-0.038,0.0051
C(algorithm)[T.dijkstra+sarl],0.322,0.234,0.41,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.131,0.043,0.219,0.0036
C(algorithm)[T.dijkstra+teb],0.049,-0.039,0.138,0.2721
C(algorithm)[T.dijkstra+teb_upstream],0.028,-0.06,0.117,0.5264
C(algorithm)[T.rrt+astar],-0.198,-0.288,-0.109,0.0
C(algorithm)[T.rrt+cadrl],-0.157,-0.246,-0.068,0.0006
C(algorithm)[T.rrt+cadrl_upstream],0.104,0.015,0.193,0.0226
C(algorithm)[T.rrt+crowdnav_attngraph],0.283,0.194,0.372,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.163,-0.252,-0.074,0.0003
C(algorithm)[T.rrt+dijkstra],-0.193,-0.283,-0.104,0.0
C(algorithm)[T.rrt+dwa],-0.092,-0.181,-0.003,0.0421
C(algorithm)[T.rrt+lstm_rl],-0.036,-0.125,0.053,0.4255
C(algorithm)[T.rrt+lstm_rl_upstream],-0.239,-0.328,-0.149,0.0
C(algorithm)[T.rrt+mpc],-0.175,-0.265,-0.086,0.0001
C(algorithm)[T.rrt+mpc_dompc],-0.09,-0.179,-0.001,0.0482
C(algorithm)[T.rrt+orca],-0.167,-0.256,-0.077,0.0003
C(algorithm)[T.rrt+orca_heuristic],-0.112,-0.202,-0.023,0.0138
C(algorithm)[T.rrt+rrt],-0.306,-0.396,-0.216,0.0
C(algorithm)[T.rrt+sarl],0.097,0.008,0.187,0.0321
C(algorithm)[T.rrt+sarl_upstream],-0.053,-0.142,0.036,0.2468
C(algorithm)[T.rrt+teb],-0.365,-0.454,-0.276,0.0
C(algorithm)[T.rrt+teb_upstream],-0.183,-0.272,-0.094,0.0001
standardize(task_path_length_m),0.016,-0.019,0.051,0.3641
standardize(task_n_turns),-0.034,-0.051,-0.016,0.0002
standardize(task_min_sidewalk_width_m),-0.019,-0.03,-0.008,0.0005
standardize(task_n_signalised_junctions),-0.004,-0.027,0.018,0.7169
standardize(demand_total_ph),-0.014,-0.082,0.053,0.6789
map Var,0.216,-0.087,0.52,0.1627
seed Var,0.018,0.001,0.036,0.0391
task Var,0.059,0.004,0.113,0.0361
