term,coef,ci_lo,ci_hi,p
Intercept,1.589,1.3,1.878,0.0
C(algorithm)[T.astar+astar],-0.112,-0.259,0.034,0.1338
C(algorithm)[T.astar+cadrl],-0.024,-0.17,0.123,0.7528
C(algorithm)[T.astar+cadrl_upstream],1.045,0.899,1.192,0.0
C(algorithm)[T.astar+crowdnav_attngraph],0.681,0.535,0.828,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],-0.201,-0.347,-0.054,0.0072
C(algorithm)[T.astar+dijkstra],0.053,-0.094,0.199,0.4805
C(algorithm)[T.astar+lstm_rl],0.03,-0.116,0.177,0.6841
C(algorithm)[T.astar+lstm_rl_upstream],-0.252,-0.399,-0.106,0.0007
C(algorithm)[T.astar+mpc],-0.02,-0.167,0.126,0.7848
C(algorithm)[T.astar+mpc_dompc],0.295,0.149,0.441,0.0001
C(algorithm)[T.astar+orca],0.2,0.053,0.346,0.0075
C(algorithm)[T.astar+orca_heuristic],-0.185,-0.332,-0.039,0.0132
C(algorithm)[T.astar+rrt],-0.073,-0.22,0.073,0.3269
C(algorithm)[T.astar+sarl],0.652,0.505,0.798,0.0
C(algorithm)[T.astar+sarl_upstream],0.102,-0.044,0.249,0.1718
C(algorithm)[T.astar+teb],0.192,0.046,0.339,0.0101
C(algorithm)[T.astar+teb_upstream],0.311,0.164,0.457,0.0
C(algorithm)[T.dijkstra+astar],-0.121,-0.268,0.025,0.1044
C(algorithm)[T.dijkstra+cadrl],-0.041,-0.187,0.106,0.5863
C(algorithm)[T.dijkstra+cadrl_upstream],1.043,0.897,1.19,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],0.673,0.527,0.82,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.218,-0.364,-0.071,0.0035
C(algorithm)[T.dijkstra+dijkstra],0.056,-0.09,0.203,0.4517
C(algorithm)[T.dijkstra+dwa],-0.028,-0.174,0.119,0.7112
C(algorithm)[T.dijkstra+lstm_rl],0.037,-0.109,0.183,0.6206
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.251,-0.398,-0.105,0.0008
C(algorithm)[T.dijkstra+mpc],-0.023,-0.169,0.124,0.7608
C(algorithm)[T.dijkstra+mpc_dompc],0.287,0.141,0.434,0.0001
C(algorithm)[T.dijkstra+orca],0.196,0.05,0.343,0.0086
C(algorithm)[T.dijkstra+orca_heuristic],-0.201,-0.348,-0.055,0.0071
C(algorithm)[T.dijkstra+rrt],-0.083,-0.229,0.064,0.2691
C(algorithm)[T.dijkstra+sarl],0.629,0.483,0.775,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.1,-0.047,0.246,0.1814
C(algorithm)[T.dijkstra+teb],0.195,0.049,0.342,0.009
C(algorithm)[T.dijkstra+teb_upstream],0.309,0.162,0.455,0.0
C(algorithm)[T.rrt+astar],-0.166,-0.315,-0.017,0.029
C(algorithm)[T.rrt+cadrl],-0.086,-0.234,0.063,0.258
C(algorithm)[T.rrt+cadrl_upstream],0.742,0.594,0.89,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],0.408,0.26,0.556,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.434,-0.582,-0.286,0.0
C(algorithm)[T.rrt+dijkstra],-0.14,-0.289,0.009,0.0655
C(algorithm)[T.rrt+dwa],-0.088,-0.236,0.06,0.2413
C(algorithm)[T.rrt+lstm_rl],-0.044,-0.192,0.104,0.5587
C(algorithm)[T.rrt+lstm_rl_upstream],-0.423,-0.572,-0.274,0.0
C(algorithm)[T.rrt+mpc],-0.082,-0.23,0.066,0.2768
C(algorithm)[T.rrt+mpc_dompc],0.214,0.066,0.362,0.0045
C(algorithm)[T.rrt+orca],-0.037,-0.185,0.112,0.6297
C(algorithm)[T.rrt+orca_heuristic],-0.198,-0.346,-0.049,0.0091
C(algorithm)[T.rrt+rrt],-0.405,-0.555,-0.256,0.0
C(algorithm)[T.rrt+sarl],0.37,0.222,0.518,0.0
C(algorithm)[T.rrt+sarl_upstream],-0.145,-0.293,0.003,0.0547
C(algorithm)[T.rrt+teb],-0.654,-0.802,-0.505,0.0
C(algorithm)[T.rrt+teb_upstream],-0.141,-0.289,0.007,0.0622
standardize(task_path_length_m),0.367,,,
standardize(task_n_turns),-0.101,-0.258,0.057,0.2098
standardize(task_min_sidewalk_width_m),0.019,-0.068,0.107,0.6613
standardize(task_n_signalised_junctions),0.03,,,
standardize(demand_total_ph),-0.066,-0.15,0.019,0.1275
map Var,0.044,,,
seed Var,0.031,0.006,0.056,0.0146
task Var,0.085,0.056,0.114,0.0
