term,coef,ci_lo,ci_hi,p
Intercept,5.682,5.411,5.952,0.0
C(algorithm)[T.astar+astar],-0.04,-0.076,-0.005,0.0269
C(algorithm)[T.astar+cadrl],-0.033,-0.067,0.001,0.0559
C(algorithm)[T.astar+cadrl_upstream],0.517,0.477,0.556,0.0
C(algorithm)[T.astar+crowdnav_attngraph],0.389,0.346,0.432,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],-0.022,-0.057,0.013,0.211
C(algorithm)[T.astar+dijkstra],-0.046,-0.081,-0.011,0.0103
C(algorithm)[T.astar+lstm_rl],0.117,0.083,0.152,0.0
C(algorithm)[T.astar+lstm_rl_upstream],-0.04,-0.075,-0.006,0.0222
C(algorithm)[T.astar+mpc],-0.032,-0.065,0.002,0.0624
C(algorithm)[T.astar+mpc_dompc],-0.012,-0.046,0.021,0.4662
C(algorithm)[T.astar+orca],-0.036,-0.07,-0.001,0.0444
C(algorithm)[T.astar+orca_heuristic],-0.01,-0.045,0.024,0.5622
C(algorithm)[T.astar+rrt],-0.05,-0.087,-0.012,0.0092
C(algorithm)[T.astar+sarl],0.377,0.341,0.413,0.0
C(algorithm)[T.astar+sarl_upstream],0.063,0.029,0.096,0.0003
C(algorithm)[T.astar+teb],0.03,-0.006,0.066,0.107
C(algorithm)[T.astar+teb_upstream],-0.037,-0.07,-0.003,0.0304
C(algorithm)[T.dijkstra+astar],-0.04,-0.076,-0.004,0.0298
C(algorithm)[T.dijkstra+cadrl],-0.028,-0.062,0.006,0.1028
C(algorithm)[T.dijkstra+cadrl_upstream],0.502,0.463,0.541,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],0.393,0.35,0.435,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.017,-0.052,0.018,0.3331
C(algorithm)[T.dijkstra+dijkstra],-0.043,-0.079,-0.008,0.0172
C(algorithm)[T.dijkstra+dwa],0.001,-0.033,0.035,0.9353
C(algorithm)[T.dijkstra+lstm_rl],0.122,0.087,0.156,0.0
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.032,-0.067,0.002,0.0669
C(algorithm)[T.dijkstra+mpc],-0.027,-0.06,0.006,0.1117
C(algorithm)[T.dijkstra+mpc_dompc],-0.009,-0.043,0.024,0.5873
C(algorithm)[T.dijkstra+orca],-0.035,-0.07,0.001,0.0537
C(algorithm)[T.dijkstra+orca_heuristic],-0.006,-0.041,0.029,0.737
C(algorithm)[T.dijkstra+rrt],-0.048,-0.086,-0.01,0.0123
C(algorithm)[T.dijkstra+sarl],0.379,0.343,0.415,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.065,0.031,0.099,0.0002
C(algorithm)[T.dijkstra+teb],0.036,0.0,0.072,0.0488
C(algorithm)[T.dijkstra+teb_upstream],-0.032,-0.065,0.001,0.0597
C(algorithm)[T.rrt+astar],0.031,-0.005,0.068,0.0944
C(algorithm)[T.rrt+cadrl],0.057,0.023,0.091,0.0011
C(algorithm)[T.rrt+cadrl_upstream],0.48,0.435,0.525,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],0.401,0.364,0.438,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],0.044,0.009,0.079,0.0143
C(algorithm)[T.rrt+dijkstra],0.03,-0.006,0.067,0.1011
C(algorithm)[T.rrt+dwa],0.09,0.055,0.125,0.0
C(algorithm)[T.rrt+lstm_rl],0.237,0.202,0.272,0.0
C(algorithm)[T.rrt+lstm_rl_upstream],0.022,-0.014,0.059,0.2313
C(algorithm)[T.rrt+mpc],0.049,0.015,0.083,0.0046
C(algorithm)[T.rrt+mpc_dompc],0.073,0.039,0.107,0.0
C(algorithm)[T.rrt+orca],0.026,-0.01,0.061,0.1569
C(algorithm)[T.rrt+orca_heuristic],0.054,0.02,0.088,0.0017
C(algorithm)[T.rrt+rrt],0.046,0.001,0.091,0.0444
C(algorithm)[T.rrt+sarl],0.444,0.408,0.48,0.0
C(algorithm)[T.rrt+sarl_upstream],0.124,0.089,0.158,0.0
C(algorithm)[T.rrt+teb],0.048,0.004,0.092,0.0319
C(algorithm)[T.rrt+teb_upstream],0.065,0.027,0.104,0.0009
standardize(task_path_length_m),0.22,0.206,0.235,0.0
standardize(task_n_turns),-0.015,-0.022,-0.008,0.0001
standardize(task_min_sidewalk_width_m),0.006,0.001,0.011,0.0172
standardize(task_n_signalised_junctions),0.044,0.035,0.054,0.0
standardize(demand_total_ph),-0.023,-0.05,0.003,0.0866
map Var,1.384,-0.497,3.265,0.1493
seed Var,0.004,-0.0,0.008,0.0767
task Var,0.639,0.048,1.23,0.0341
