term,coef,ci_lo,ci_hi,p
Intercept,2.864,2.389,3.34,0.0
C(algorithm)[T.astar+astar],-0.301,-0.467,-0.135,0.0004
C(algorithm)[T.astar+cadrl],-0.052,-0.218,0.114,0.537
C(algorithm)[T.astar+cadrl_upstream],0.888,0.722,1.053,0.0
C(algorithm)[T.astar+crowdnav_attngraph],1.626,1.46,1.791,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],-0.012,-0.177,0.154,0.8918
C(algorithm)[T.astar+dijkstra],-0.138,-0.304,0.027,0.102
C(algorithm)[T.astar+lstm_rl],0.004,-0.162,0.17,0.9599
C(algorithm)[T.astar+lstm_rl_upstream],-0.33,-0.495,-0.164,0.0001
C(algorithm)[T.astar+mpc],-0.026,-0.192,0.14,0.7601
C(algorithm)[T.astar+mpc_dompc],0.127,-0.038,0.293,0.1317
C(algorithm)[T.astar+orca],0.013,-0.153,0.179,0.8795
C(algorithm)[T.astar+orca_heuristic],0.105,-0.061,0.271,0.2143
C(algorithm)[T.astar+rrt],-0.344,-0.51,-0.179,0.0
C(algorithm)[T.astar+sarl],0.806,0.641,0.972,0.0
C(algorithm)[T.astar+sarl_upstream],0.081,-0.085,0.247,0.3385
C(algorithm)[T.astar+teb],-0.094,-0.26,0.072,0.2657
C(algorithm)[T.astar+teb_upstream],0.11,-0.056,0.276,0.1925
C(algorithm)[T.dijkstra+astar],-0.309,-0.475,-0.143,0.0003
C(algorithm)[T.dijkstra+cadrl],-0.052,-0.218,0.114,0.5388
C(algorithm)[T.dijkstra+cadrl_upstream],0.885,0.719,1.05,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],1.617,1.451,1.783,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.03,-0.196,0.136,0.7216
C(algorithm)[T.dijkstra+dijkstra],-0.145,-0.311,0.021,0.0867
C(algorithm)[T.dijkstra+dwa],-0.018,-0.184,0.147,0.827
C(algorithm)[T.dijkstra+lstm_rl],-0.003,-0.169,0.163,0.97
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.324,-0.49,-0.159,0.0001
C(algorithm)[T.dijkstra+mpc],-0.025,-0.191,0.141,0.7691
C(algorithm)[T.dijkstra+mpc_dompc],0.129,-0.037,0.294,0.1282
C(algorithm)[T.dijkstra+orca],0.008,-0.158,0.174,0.9256
C(algorithm)[T.dijkstra+orca_heuristic],0.099,-0.067,0.264,0.2431
C(algorithm)[T.dijkstra+rrt],-0.359,-0.525,-0.193,0.0
C(algorithm)[T.dijkstra+sarl],0.781,0.615,0.946,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.081,-0.085,0.247,0.3379
C(algorithm)[T.dijkstra+teb],-0.078,-0.244,0.087,0.3544
C(algorithm)[T.dijkstra+teb_upstream],0.112,-0.054,0.278,0.1855
C(algorithm)[T.rrt+astar],-0.248,-0.416,-0.079,0.004
C(algorithm)[T.rrt+cadrl],-0.171,-0.339,-0.003,0.0456
C(algorithm)[T.rrt+cadrl_upstream],0.63,0.463,0.798,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],1.045,0.878,1.213,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.389,-0.556,-0.221,0.0
C(algorithm)[T.rrt+dijkstra],-0.227,-0.396,-0.059,0.0083
C(algorithm)[T.rrt+dwa],-0.144,-0.312,0.023,0.0912
C(algorithm)[T.rrt+lstm_rl],-0.112,-0.28,0.055,0.1885
C(algorithm)[T.rrt+lstm_rl_upstream],-0.584,-0.753,-0.416,0.0
C(algorithm)[T.rrt+mpc],-0.117,-0.285,0.05,0.1706
C(algorithm)[T.rrt+mpc_dompc],0.123,-0.044,0.29,0.15
C(algorithm)[T.rrt+orca],-0.205,-0.373,-0.037,0.0168
C(algorithm)[T.rrt+orca_heuristic],-0.091,-0.259,0.077,0.2873
C(algorithm)[T.rrt+rrt],-0.824,-0.994,-0.655,0.0
C(algorithm)[T.rrt+sarl],0.463,0.295,0.63,0.0
C(algorithm)[T.rrt+sarl_upstream],-0.193,-0.36,-0.025,0.0242
C(algorithm)[T.rrt+teb],-1.144,-1.312,-0.976,0.0
C(algorithm)[T.rrt+teb_upstream],-0.39,-0.558,-0.223,0.0
standardize(task_path_length_m),-0.107,-0.172,-0.041,0.0013
standardize(task_n_turns),-0.073,-0.106,-0.04,0.0
standardize(task_min_sidewalk_width_m),0.019,-0.001,0.04,0.0641
standardize(task_n_signalised_junctions),0.002,-0.04,0.044,0.9345
standardize(demand_total_ph),-0.048,-0.168,0.072,0.4344
map Var,0.063,-0.027,0.152,0.1686
seed Var,0.019,0.001,0.037,0.0407
task Var,0.164,0.013,0.316,0.0334
