term,coef,ci_lo,ci_hi,p
Intercept,2.838,2.345,3.331,0.0
C(algorithm)[T.astar+astar],-0.247,-0.409,-0.085,0.0028
C(algorithm)[T.astar+cadrl],-0.047,-0.208,0.115,0.5714
C(algorithm)[T.astar+cadrl_upstream],0.793,0.631,0.954,0.0
C(algorithm)[T.astar+crowdnav_attngraph],1.472,1.311,1.634,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],-0.055,-0.217,0.106,0.5028
C(algorithm)[T.astar+dijkstra],-0.075,-0.236,0.087,0.3651
C(algorithm)[T.astar+lstm_rl],0.044,-0.118,0.206,0.5944
C(algorithm)[T.astar+lstm_rl_upstream],-0.247,-0.408,-0.085,0.0028
C(algorithm)[T.astar+mpc],0.064,-0.097,0.226,0.4359
C(algorithm)[T.astar+mpc_dompc],0.223,0.062,0.385,0.0068
C(algorithm)[T.astar+orca],0.104,-0.057,0.266,0.2065
C(algorithm)[T.astar+orca_heuristic],0.189,0.027,0.35,0.0223
C(algorithm)[T.astar+rrt],-0.26,-0.421,-0.098,0.0016
C(algorithm)[T.astar+sarl],0.741,0.58,0.903,0.0
C(algorithm)[T.astar+sarl_upstream],-0.005,-0.167,0.157,0.9512
C(algorithm)[T.astar+teb],-0.004,-0.165,0.158,0.9648
C(algorithm)[T.astar+teb_upstream],0.205,0.044,0.367,0.0129
C(algorithm)[T.dijkstra+astar],-0.251,-0.413,-0.089,0.0024
C(algorithm)[T.dijkstra+cadrl],-0.04,-0.202,0.122,0.6266
C(algorithm)[T.dijkstra+cadrl_upstream],0.795,0.633,0.957,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],1.461,1.299,1.622,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.07,-0.232,0.092,0.3964
C(algorithm)[T.dijkstra+dijkstra],-0.077,-0.239,0.084,0.3484
C(algorithm)[T.dijkstra+dwa],-0.011,-0.173,0.15,0.8918
C(algorithm)[T.dijkstra+lstm_rl],0.033,-0.128,0.195,0.6866
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.236,-0.398,-0.074,0.0042
C(algorithm)[T.dijkstra+mpc],0.066,-0.096,0.228,0.4231
C(algorithm)[T.dijkstra+mpc_dompc],0.232,0.07,0.393,0.005
C(algorithm)[T.dijkstra+orca],0.102,-0.059,0.264,0.215
C(algorithm)[T.dijkstra+orca_heuristic],0.186,0.024,0.348,0.0243
C(algorithm)[T.dijkstra+rrt],-0.275,-0.436,-0.113,0.0009
C(algorithm)[T.dijkstra+sarl],0.721,0.559,0.883,0.0
C(algorithm)[T.dijkstra+sarl_upstream],-0.002,-0.163,0.16,0.9845
C(algorithm)[T.dijkstra+teb],0.019,-0.143,0.18,0.8223
C(algorithm)[T.dijkstra+teb_upstream],0.212,0.051,0.374,0.0101
C(algorithm)[T.rrt+astar],-0.176,-0.34,-0.011,0.0364
C(algorithm)[T.rrt+cadrl],-0.128,-0.292,0.036,0.1255
C(algorithm)[T.rrt+cadrl_upstream],0.543,0.38,0.707,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],0.912,0.749,1.075,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.425,-0.588,-0.261,0.0
C(algorithm)[T.rrt+dijkstra],-0.155,-0.32,0.01,0.065
C(algorithm)[T.rrt+dwa],-0.15,-0.314,0.013,0.0711
C(algorithm)[T.rrt+lstm_rl],-0.094,-0.257,0.07,0.2621
C(algorithm)[T.rrt+lstm_rl_upstream],-0.522,-0.686,-0.358,0.0
C(algorithm)[T.rrt+mpc],-0.027,-0.19,0.137,0.7493
C(algorithm)[T.rrt+mpc_dompc],0.214,0.05,0.377,0.0104
C(algorithm)[T.rrt+orca],-0.117,-0.28,0.047,0.1636
C(algorithm)[T.rrt+orca_heuristic],-0.023,-0.187,0.141,0.7847
C(algorithm)[T.rrt+rrt],-0.744,-0.909,-0.579,0.0
C(algorithm)[T.rrt+sarl],0.403,0.239,0.566,0.0
C(algorithm)[T.rrt+sarl_upstream],-0.245,-0.408,-0.081,0.0033
C(algorithm)[T.rrt+teb],-1.062,-1.226,-0.898,0.0
C(algorithm)[T.rrt+teb_upstream],-0.313,-0.477,-0.149,0.0002
standardize(task_path_length_m),-0.161,-0.225,-0.097,0.0
standardize(task_n_turns),-0.044,-0.076,-0.012,0.0074
standardize(task_min_sidewalk_width_m),0.024,0.004,0.044,0.0202
standardize(task_n_signalised_junctions),0.051,0.01,0.092,0.0145
standardize(demand_total_ph),-0.01,-0.131,0.111,0.8694
map Var,0.089,-0.041,0.218,0.1793
seed Var,0.012,0.0,0.024,0.045
task Var,0.163,0.012,0.314,0.0349
